"Species"	"Reference"	"n"	"Anesthesia"	"Mode"	"Region"	"CMRgl_umol_100g_min"	"CMRgl_SD"	"CMRO2_umol_100g_min"	"CMRO2_SD"	"CBF_ml_100g_min"	"CBF_SD"	"source"
"Homo"	"(Martinot et al., 1990)"	8	"none"	"PET"	"Auditory Cortex"	38.9	5.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Phillips et al., 1991)"	14	"none"	"PET"	"Auditory Cortex"	37.2	7.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Schapiro et al., 1990)"	13	"none"	"PET"	"Auditory Cortex"	48.2	5.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Tommasino et al., 1995)"	10	"none"	"PET"	"Auditory Cortex"	36.6	4.4	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Schwartzman et al., 1988)"	NA	"6 none"	"Sokoloff"	"Auditory Cortex"	70.3	12.2	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Choki et al., 1984)"	NA	"3 none"	"Sokoloff"	"Auditory Cortex"	79	12	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Blin et al., 1991)"	10	"none"	"Sokoloff"	"Auditory Cortex"	87.3	11.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bryan and Lehman, 1988)"	10	"none"	"Sokoloff"	"Auditory Cortex"	101	9.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Chang et al., 2001)"	8	"none"	"Sokoloff"	"Auditory Cortex"	112	28.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crane and Porrino, 1989)"	6	"none"	"Sokoloff"	"Auditory Cortex"	153	1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crane and Porrino, 1989)"	6	"none"	"Sokoloff"	"Auditory Cortex"	143	6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crosby et al., 1982)"	8	"none"	"Sokoloff"	"Auditory Cortex"	128	11.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crosby et al., 1984)"	5	"none"	"Sokoloff"	"Auditory Cortex"	121	8.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crosby et al., 1984)"	5	"N 20"	"Sokoloff"	"Auditory Cortex"	115	11.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Cudennec et al., 1997)"	7	"none"	"Sokoloff"	"Auditory Cortex"	155	29.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(D am et al., 1990)"	5	"none"	"Sokoloff"	"Auditory Cortex"	134	17.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Dow-Edwards et al., 1986)"	4	"none"	"Sokoloff"	"Auditory Cortex"	166	20	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Duelli et al., 2000)"	5	"none"	"Sokoloff"	"Auditory Cortex"	104.3	10.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Eintrei et al., 1999)"	6	"none"	"Sokoloff"	"Auditory Cortex"	139	12.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Freedland et al., 2002)"	5	"none"	"Sokoloff"	"Auditory Cortex"	140.3	11.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Frietsch et al., 2000)"	12	"none"	"Sokoloff"	"Auditory Cortex"	131	22	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Frietsch et al., 2000)"	12	"Isoflurane"	"Sokoloff"	"Auditory Cortex"	47	6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Grome and McCulloch, 1983)"	6	"none"	"Sokoloff"	"Auditory Cortex"	132	15.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Hakim et al., 1983)"	7	"none"	"Sokoloff"	"Auditory Cortex"	173	23.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ingvar et al., 1980)"	10	"N 20"	"Sokoloff"	"Auditory Cortex"	89	12.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ingvar and Siesjo, 1982)"	6	"none"	"Sokoloff"	"Auditory Cortex"	82	7.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ingvar and Siesjo, 1982)"	10	"N 20"	"Sokoloff"	"Auditory Cortex"	91	12.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Kadekaro et al., 1983)"	7	"none"	"Sokoloff"	"Auditory Cortex"	126	10.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Lenz et al., 1998)"	6	"none"	"Sokoloff"	"Auditory Cortex"	113	10	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(MacNeill and Bryan, 1988)"	10	"none"	"Sokoloff"	"Auditory Cortex"	104	9.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Maekawa et al., 1986)"	6	"none"	"Sokoloff"	"Auditory Cortex"	94	10	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Nehlig et al., 1985)"	6	"none"	"Sokoloff"	"Auditory Cortex"	159	19.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ori et al., 1986)"	6	"none"	"Sokoloff"	"Auditory Cortex"	116	12.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Orzi et al., 1983)"	5	"none"	"Sokoloff"	"Auditory Cortex"	134	17.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Poindessous-Jazat et al., 1998)"	7	"none"	"Sokoloff"	"Auditory Cortex"	117.7	7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Poindessous-Jazat et al., 1998)"	5	"none"	"Sokoloff"	"Auditory Cortex"	103.3	15	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Sakurada et al., 1978)"	5	"N 20"	"Sokoloff"	"Auditory Cortex"	110	6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Schwartz and Crosby, 1985)"	6	"none"	"Sokoloff"	"Auditory Cortex"	149	22	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"("	NA	NA	"Sokoloff"	"Auditory Cortex"	1977	10	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Soncrant et al., 1992)"	16	"none"	"Sokoloff"	"Auditory Cortex"	98	16	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Wechsler et al., 1979)"	5	"none"	"Sokoloff"	"Auditory Cortex"	160	24.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Grome and McCulloch, 1981)"	16	"none"	"Sokoloff"	"Auditory Cortex"	127	8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Whitlow et al., 2002)"	5	"none"	"Sokoloff"	"Auditory Cortex"	148.5	2.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Walker et al., 1999)"	5	"none"	"Sokoloff"	"Auditory Cortex"	122.7	5.5	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Jay et al., 1985)"	8	"none"	"Sokoloff"	"Auditory Cortex"	101	11.3	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Niwa et al., 2002)"	6	"none"	"Sokoloff"	"Auditory Cortex"	151	9	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Niwa et al., 2002)"	6	"none"	"Sokoloff"	"Auditory Cortex"	146	17	NA	NA	NA	NA	"Kaufman__2004"
