"species_sci"	"Species"	"Body_weight"	"Brain_weight_g"	"Neonate_brain_weight_g"	"Neocortex_mm^3"	"GI"	"Ventricle_mm^3"	"Maximum_lifespan_yrs"	"Age_at_first_breeding_F_mnths"	"Age_at_first_breeding_days"	"Female_sexual_maturity_days"	"Male_sexual_maturity_days"	"Gestation_days"	"Litter_size"	"Litters_per_year"	"Inter-litter_interval_days"	"Weaning_period_days"	"Weight_at_birth_g"	"Weight_at_weaning_g"	"Juvenility_primates_years"	"Juvenility_days"	"Max_home_range_ha"	"% Fruit and seeds"	"Activity_timing"	"Diet_breadth"	"Trophic_level"	"Population_group_size"	"Social_group_size"	"Adult_head_body_length_mm"	"Age_at_eye_opening_days"	"Altricial_precocial"	"Basal_metabolic_rate"	"Dispersal_age_days"	"Habitat_breadth"	"Social_system"	"Glia_neuron_ratio"	"Neuronal_density"	"Glial_cell_density"	"Neurogenic_period_days"	"Phylo_rank"
"Galago senegalensis"	"Galago_senegalensis"	178.7	4.8	"2.3"	"2139"	1.17	"40.2"	"17"	"11.4"	"346.75"	"240"	"300"	"130.6666667"	"1.55"	"2"	"242.5"	"87.33333333"	"15.55"	"125"	"0.74"	"259.4166667"	"11"	"0"	"1"	"3"	"2"	"NA"	"3.5"	"160"	"NA"	"2"	"180.225"	"NA"	"NA"	"4"	"0.45"	"338844"	"151356"	"NA"	53
"Otolemur crassicaudatus"	"Otolemur_crassicaudatus"	952.428	10.6	"4"	"4723"	1.255	"147"	"15.66"	"23"	"699.5833333"	"430"	"639"	"134"	"1.533333333"	"1"	"281.3333333"	"121"	"43.96"	"500"	"1.47"	"578.5833333"	"10"	"27"	"1"	"5"	"2"	"NA"	"3.5"	"307"	"NA"	"2"	"457.15"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	54
"Galagoides demidoff"	"Galago_demidoff"	71.5	3.345	"1.199"	"1568"	1.21	"30.4"	"14"	"21.4"	"650.9166667"	"240"	"274"	"110.3333333"	"1.6"	"1.5"	"330"	"45"	"8.466666667"	"NA"	"NA"	"605.9166667"	"1"	"NA"	"1"	"4"	"2"	"NA"	"5.5"	"120"	"NA"	"2"	"59.4"	"NA"	"NA"	"4"	"NA"	"NA"	"NA"	"NA"	55
"Cynocephalus volans"	"Cynocephalus_volans*"	1300	6.2	"NA"	"NA"	1.343	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"105"	"1"	"NA"	"NA"	"193"	"38.5"	"NA"	"NA"	"NA"	"0.07000000000000001"	"NA"	"2"	"4"	"1"	"NA"	"NA"	"379.43"	"NA"	"NA"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	56
"Tupaia glis"	"Tupaia_glis*"	173.3333333	3.034	"0.53"	"NA"	1.062	"NA"	"12.4"	"135"	"4106.25"	"90"	"90"	"46"	"2"	"NA"	"45"	"32"	"11.07"	"100"	"NA"	"4074.25"	"0.87"	"NA"	"3"	"4"	"NA"	"NA"	"NA"	"185"	"10"	"1"	"93.48"	"NA"	"2"	"1"	"0.8100000000000001"	"131826"	"107152"	"NA"	57
"Ovis aries"	"Ovis_aries"	63966.66667	125	"47.825"	"NA"	1.94	"NA"	"22.8"	"24"	"730"	"548"	"914"	"148.655"	"1.58"	"1"	"365"	"182"	"2685"	"17500"	"NA"	"548"	"NA"	"NA"	"3"	"2"	"1"	"NA"	"NA"	"1297.23"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	58
"Capra hircus domestica"	"Capra_hircus_domestica*"	38111.111	106	"53.365"	"NA"	2.278	"NA"	"20.8"	"21.99"	"668.8625"	"406"	"685"	"154.874"	"1.375"	"1"	"451"	"160"	"2215"	"NA"	"NA"	"508.8625"	"4724"	"NA"	"3"	"2"	"1"	"NA"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"NA"	"4"	"NA"	"NA"	"NA"	"NA"	59
"Bos taurus indicus"	"Bos_taurus_indicus"	596666.6667	462	"201"	"NA"	2.53	"NA"	"20"	"NA"	"NA"	"548"	"NA"	"279.6666667"	"1"	"NA"	"NA"	"NA"	"26122.22333"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	60
"Odocoileus virginiatus"	"Odocoileus_virginiatus"	87000	160	"NA"	"NA"	2.27	"NA"	"21.6"	"15.22"	"462.9416667"	"309"	"417"	"198"	"2"	"1"	"304"	"129"	"3000"	"36000"	"NA"	"333.9416667"	"229"	"NA"	"2"	"4"	"1"	"NA"	"2.25"	"1513.69"	"NA"	"NA"	"NA"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	61
"Phocoena phocoena"	"Phocoena_phocoena"	55500	537	"199"	"NA"	4.13	"NA"	"20.4"	"48"	"1460"	"1055"	"1461"	"333.28"	"1"	"1"	"365"	"243"	"6750"	"30000"	"NA"	"1217"	"NA"	"NA"	"NA"	"2"	"3"	"4"	"50"	"1530.07"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	62
"Delphinus delphis"	"Delphinus_delphis"	80000	981	"476"	"NA"	3.99	"NA"	"NA"	"NA"	"NA"	"1754"	"1583"	"301"	"1"	"0.4"	"548"	"301"	"7000"	"40000"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"3"	"365"	"NA"	"2439.99"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	63
"Tursiops truncatus"	"Tursiops_truncatus"	177500	1489	"770"	"NA"	4.76	"NA"	"51.6"	"60"	"1825"	"2831"	"3689"	"362.5"	"1"	"0.5"	"858"	"548"	"19675"	"NA"	"NA"	"1277"	"8499"	"NA"	"NA"	"2"	"3"	"7"	"10"	"3257.91"	"NA"	"2"	"NA"	"NA"	"1"	"3"	"1.55"	"147911"	"229087"	"NA"	64
"Pseudorca crassidens"	"Pseudorca_crassidens"	1360000	4444.5	"NA"	"NA"	4.97	"NA"	"62.5"	"NA"	"NA"	"3468"	"6756"	"451"	"1"	"0.1"	"1096"	"730"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2"	"3"	"50"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	65
"Globicephala macrorhynchus"	"Globicephala_macrorhynchus"	725999.99	2886.296	"NA"	"NA"	5.24	"NA"	"63"	"NA"	"NA"	"3470"	"5332"	"452"	"1"	"0.2"	"1095"	"730"	"60000"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2"	"3"	"15"	"NA"	"6099.99"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	66
"Grampus griseus"	"Grampus_griseus"	425000	1645.168	"NA"	"NA"	4.29	"NA"	"42.5"	"NA"	"NA"	"NA"	"NA"	"365"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1"	"3"	"10"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	67
"Sus scrofa domesticus"	"Sus_scrofa_domesticus"	133600	137.65	"28.3"	"NA"	2.16	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"116.645"	"8"	"5.375"	"NA"	"52.2"	"1215"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"5"	"NA"	"NA"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"3"	"1.45"	"48978"	"70795"	"NA"	68
"Lama glama domesticus"	"Lama_glama_domesticus"	107250	216.7666667	"164.45"	"NA"	2.7	"NA"	"28.9"	"23.98"	"729.3916667"	"800"	"800"	"332.05"	"1"	"1"	"NA"	"152"	"9500"	"29000"	"NA"	"577.3916667"	"NA"	"NA"	"NA"	"2"	"1"	"8"	"NA"	"1595.1"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	69
"Equus burchelli"	"Equus_burchelli"	280000	520.5	"NA"	"NA"	2.94	"NA"	"38"	"42"	"1277.5"	"900"	"900"	"365"	"1"	"0.6"	"556"	"395"	"32000"	"205000"	"NA"	"882.5"	"12007"	"NA"	"NA"	"3"	"1"	"5.1"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	70
"Equus caballus"	"Equus_caballus"	367000	712	"368"	"NA"	2.8	"NA"	"57"	"30"	"912.5"	"914"	"973"	"337"	"1"	"1"	"548"	"274"	"66100"	"NA"	"NA"	"638.5"	"1632"	"NA"	"2"	"1"	"1"	"NA"	"NA"	"NA"	"0"	"NA"	"NA"	"742.3099999999999"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	71
"Mustela putorius"	"Mustela_putorius"	809	8.25	"NA"	"NA"	1.75	"NA"	"11.1"	"NA"	"NA"	"312"	"322"	"42"	"7.5"	"1.5"	"140"	"63"	"9.5"	"NA"	"NA"	"NA"	"54"	"NA"	"1"	"1"	"3"	"NA"	"NA"	"358.92"	"29.08"	"1"	"847.8"	"70"	"1"	"1"	"NA"	"NA"	"NA"	"NA"	72
"Procyon lotor"	"Procyon_lotor"	5916.25	40.02	"4.8"	"NA"	1.85	"NA"	"21"	"NA"	"NA"	"365"	"365"	"63.915"	"3.445"	"1"	"365"	"91"	"88.75"	"1175"	"NA"	"NA"	"490"	"NA"	"2"	"6"	"2"	"NA"	"1"	"484.68"	"20.91"	"1"	"2096.43"	"317.49"	"2"	"1"	"0.78"	"104713"	"83176"	"NA"	73
"Zalophus californianus"	"Zalophus_californianus"	140000	363	"180"	"NA"	2.52	"NA"	"35.7"	"52.47"	"1595.9625"	"1095"	"1826"	"259"	"1.2"	"0.5"	"730"	"315"	"6000"	"25000"	"NA"	"1280.9625"	"NA"	"NA"	"2"	"6"	"2"	"NA"	"NA"	"2018.97"	"0"	"2"	"NA"	"NA"	"2"	"NA"	"1.86"	"30903"	"57544"	"NA"	74
"Phoca vitulina"	"Phoca_vitulina"	115000	273.75	"NA"	"NA"	2.38	"NA"	"47.6"	"36"	"1095"	"1095"	"1460"	"253"	"1"	"1"	"365"	"30"	"11000"	"23945"	"NA"	"1065"	"NA"	"NA"	"2"	"1"	"3"	"NA"	"NA"	"1611.75"	"0"	"2"	"32350.8"	"38.49"	"2"	"NA"	"NA"	"NA"	"NA"	"NA"	75
"Ursus maritimus"	"Ursus_maritimus"	340635	472.68	"11.095"	"NA"	2.04	"NA"	"43.8"	"60"	"1825"	"1734"	"1734"	"235"	"1.71"	"0.4"	"750"	"303"	"641.0033333"	"27000"	"NA"	"1522"	"7727047"	"NA"	"3"	"3"	"2"	"1"	"1"	"1992.55"	"34.12"	"1"	"44346"	"820.99"	"1"	"1"	"2.19"	"44668"	"95499"	"NA"	76
"Canis latrans"	"Canis_latrans"	10750	86.235	"NA"	"NA"	1.8	"NA"	"21.8"	"12"	"365"	"274"	"274"	"63"	"6"	"1"	"365"	"60"	"250"	"1517"	"NA"	"305"	"1991"	"NA"	"2"	"1"	"3"	"NA"	"2.1"	"872.39"	"11.94"	"1"	"10450"	"255"	"1"	"1"	"0.34"	"72444"	"25119"	"NA"	77
"Vulpes vulpes"	"Vulpes_vulpes"	4634.4	45.62666667	"3.82"	"NA"	1.8	"NA"	"31.2"	"9.82"	"298.6916667"	"304"	"304"	"53.3"	"4.9375"	"1"	"365"	"48"	"104.5156675"	"1397"	"NA"	"250.6916667"	"351"	"NA"	"1"	"1"	"3"	"NA"	"3"	"627.12"	"14.01"	"1"	"2152.8"	"225"	"1"	"2"	"0.95"	"81283"	"77625"	"NA"	78
"Panthera leo"	"Panthera_leo"	161833.3333	247.21	"49.5"	"NA"	1.85	"NA"	"27"	"34.44"	"1047.55"	"1095"	"1095"	"108.5"	"2.75"	"2"	"649"	"216"	"1341.95"	"8480"	"NA"	"831.55"	"5519"	"NA"	"1"	"1"	"3"	"NA"	"8.699999999999999"	"1835.16"	"3"	"1"	"27420.6"	"1080"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	79
"Felis catus"	"Felis_catus"	3183.333333	31.18333333	"5.625"	"NA"	1.5	"NA"	"33"	"NA"	"NA"	"327"	"365"	"64"	"4"	"NA"	"NA"	"56"	"107.4375"	"NA"	"NA"	"NA"	"152"	"NA"	"2"	"1"	"3"	"NA"	"NA"	"NA"	"14"	"1"	"NA"	"NA"	"1"	"NA"	"0.2"	"114815"	"22909"	"33.5"	80
"Crocuta crocuta"	"Crocuta_crocuta"	63000	153.265	"NA"	"NA"	1.74	"NA"	"41.1"	"NA"	"NA"	"1095"	"639"	"111.15"	"2"	"1"	"445.02"	"265"	"1425"	"14500"	"NA"	"NA"	"2193"	"NA"	"1"	"1"	"3"	"NA"	"55"	"1300.11"	"0"	"1"	"NA"	"913"	"1"	"3"	"1.26"	"63096"	"79433"	"NA"	81
"Cynictis penicillata"	"Cynictis_penicillata"	627.3033333	12.51	"NA"	"NA"	1.35	"NA"	"15.2"	"NA"	"NA"	"730"	"350.57"	"56"	"1.983333333"	"2"	"365"	"50.5"	"NA"	"NA"	"NA"	"NA"	"2"	"NA"	"3"	"1"	"3"	"NA"	"NA"	"291.87"	"NA"	"1"	"NA"	"365"	"1"	"3"	"0.87"	"141254"	"123027"	"NA"	82
"Pteropus giganteus"	"Pteropus_giganteus*"	1038.75	9	"4.39"	"NA"	1.254	"NA"	"40"	"NA"	"NA"	"365"	"365"	"145"	"1"	"1"	"365"	"120"	"45"	"NA"	"NA"	"NA"	"NA"	"NA"	"2"	"1"	"1"	"900"	"NA"	"230"	"0"	"2"	"379.2"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	83
"Talpa europaea"	"Talpa_europaea"	92.5	1.02	"0.08599999999999999"	"NA"	1	"NA"	"5"	"12"	"365"	"182"	"182"	"28"	"3"	"1.1"	"NA"	"31"	"3.25"	"52.1"	"NA"	"334"	"0.22"	"NA"	"2"	"1"	"3"	"1"	"1"	"129.99"	"22"	"1"	"NA"	"NA"	"2"	"1"	"NA"	"NA"	"NA"	"NA"	84
"Galemys pyrenaicus"	"Galemys_pyrenaicus"	57.5	1.33	"NA"	"NA"	1	"NA"	"4"	"NA"	"NA"	"730"	"730"	"30"	"4"	"2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"0.139"	"NA"	"2"	"2"	"3"	"1.5"	"1"	"125"	"NA"	"NA"	"NA"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	85
"Erinaceus europaeus"	"Erinaceus_europaeus"	801	3.5	"0.313"	"NA"	1	"NA"	"11.7"	"11.49"	"349.4875"	"253"	"253"	"30"	"4.64"	"1.6"	"NA"	"42"	"14.3"	"235"	"NA"	"307.4875"	"7"	"NA"	"2"	"8"	"2"	"NA"	"1"	"237.17"	"NA"	"1"	"404.6"	"NA"	"1"	"1"	"0.66"	"194984"	"128825"	"NA"	86
"Crocidura flavescens"	"Crocidura_flavescens"	45	0.41	"NA"	"NA"	1	"NA"	"2.2"	"NA"	"NA"	"NA"	"NA"	"25"	"3.3"	"NA"	"NA"	"NA"	"2.26"	"20.7"	"NA"	"NA"	"NA"	"NA"	"2"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	"NA"	"44.48"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	87
"Crocidura russala"	"Crocidura_russala"	11.6	0.19	"NA"	"NA"	1	"NA"	"4"	"3.13"	"95.20416667000001"	"75"	"75"	"29"	"4"	"3.5"	"28"	"23"	"0.945"	"7.7"	"NA"	"72.20416667000001"	"0.0235"	"NA"	"NA"	"2"	"3"	"NA"	"NA"	"69.29000000000001"	"10"	"1"	"29.79"	"NA"	"1"	"1"	"NA"	"NA"	"NA"	"NA"	88
"Sorex araneus"	"Sorex_araneus"	9	0.2	"NA"	"NA"	1	"NA"	"3.2"	"NA"	"NA"	"198"	"335"	"21"	"6"	"1.9"	"40"	"25"	"0.44"	"8.5"	"NA"	"NA"	"0.0524"	"NA"	"2"	"5"	"2"	"1"	"1"	"72.78"	"16"	"1"	"60.23"	"NA"	"2"	"NA"	"0.87"	"338844"	"295121"	"NA"	89
"Sorex minutus"	"Sorex_minutus"	7.2	0.11	"NA"	"NA"	1	"NA"	"2"	"9.5"	"288.9583333"	"304"	"NA"	"24"	"6"	"1.5"	"NA"	"22"	"0.235"	"5.1"	"NA"	"266.9583333"	"0.141"	"NA"	"2"	"5"	"2"	"1"	"1"	"57.11"	"NA"	"NA"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	90
"Neomys fodiens"	"Neomys_fodiens"	15	0.32	"NA"	"NA"	1	"NA"	"3.1"	"NA"	"NA"	"106"	"106"	"20"	"5"	"1.8"	"71"	"32"	"0.78"	"10"	"NA"	"NA"	"0.017"	"NA"	"2"	"3"	"2"	"1"	"1"	"81.94"	"22"	"1"	"66.83"	"NA"	"3"	"1"	"NA"	"NA"	"NA"	"NA"	91
"Choloepus didactylus"	"Choloepus_didactylus*"	6250	7.7	"NA"	"NA"	1.377	"NA"	"36.8"	"NA"	"NA"	"1279"	"1644"	"279"	"1"	"1"	"616"	"152"	"356"	"NA"	"NA"	"NA"	"NA"	"NA"	"2"	"3"	"2"	"NA"	"1"	"686.96"	"0"	"2"	"NA"	"NA"	"2"	"1"	"NA"	"NA"	"NA"	"NA"	92
"Dasypus novemcinctus"	"Dasypus_novemcinctus*"	3762	10.75	"3.5"	"NA"	1.07063	"NA"	"22.3"	"16.18"	"492.1416667"	"365"	"365"	"133"	"4"	"1"	"NA"	"137"	"80"	"NA"	"NA"	"355.1416667"	"3"	"NA"	"2"	"5"	"2"	"NA"	"1"	"442.79"	"0"	"2"	"866.97"	"NA"	"2"	"NA"	"NA"	"NA"	"NA"	"NA"	93
"Potamogale velox"	"Potamogale_velox"	670.99	3.88	"NA"	"NA"	1	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.5"	"2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1"	"2"	"3"	"1"	"1"	"320"	"NA"	"NA"	"NA"	"NA"	"3"	"NA"	"NA"	"NA"	"NA"	"NA"	94
"Elephantulus fuscipes"	"Elephantulus_fuscipes"	57	1.33	"NA"	"NA"	1	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"0.96"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	95
"Trichechus manatus"	"Trichechus_manatus*"	797000	382	"160.75"	"NA"	1.019	"NA"	"56"	"NA"	"NA"	"2251"	"2129.33"	"335"	"1"	"NA"	"1247.33"	"456"	"27500"	"NA"	"NA"	"NA"	"NA"	"NA"	"2"	"6"	"2"	"NA"	"1.45"	"3354.92"	"NA"	"2"	"NA"	"NA"	"1"	"3"	"1.91"	"51286"	"97724"	"NA"	96
"Procavia capensis"	"Procavia_capensis*"	3420	19.16666667	"7.75"	"NA"	1.368	"NA"	"14.8"	"71.98999999999999"	"2189.695833"	"500"	"500"	"215"	"3"	"1"	"365"	"116"	"202.3333333"	"500"	"NA"	"2073.695833"	"0.26"	"NA"	"3"	"5"	"1"	"80"	"17"	"467.37"	"0"	"2"	"2325"	"NA"	"2"	"4"	"NA"	"NA"	"NA"	"NA"	97
"Loxodonta africana"	"Loxodonta_africana"	3775000	5253.555556	"1650"	"NA"	3.84	"NA"	"65"	"114"	"3467.5"	"4018"	"3650"	"663"	"1"	"0.2"	"1707"	"1071"	"110333.3333"	"600000"	"NA"	"2396.5"	"3000"	"NA"	"2"	"4"	"1"	"NA"	"19.5"	"NA"	"0"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	98
"Macropus eugenii"	"Macropus_eugenii"	6500	23.7	"NA"	"NA"	1.13	"NA"	"15.1"	"10.5"	"319.375"	"274"	"730"	"28"	"1"	"1"	"365"	"315"	"0.429"	"3000"	"NA"	"4.375"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"8"	"NA"	"NA"	"NA"	"1385.65"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	99
"Macropus fuliginosus"	"Macropus_fuliginosus"	29625	64.8	"NA"	"NA"	1.41	"NA"	"23.2"	"20"	"608.3333333"	"670"	"880"	"30"	"1"	"NA"	"385"	"540"	"0.93443"	"11000"	"NA"	"68.33333333"	"236"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"1585.5"	"NA"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	100
"Notamacropus rufogriseus"	"Macropus_rufogriseus"	15700	37.8	"NA"	"NA"	1.23	"NA"	"15.2"	"16.5"	"501.875"	"395"	"608"	"29"	"1"	"1"	"273"	"187"	"0.598"	"1483"	"NA"	"314.875"	"13"	"NA"	"1"	"NA"	"NA"	"NA"	"1.31"	"NA"	"153.5"	"NA"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	101
"Didelphis virginiana"	"Didelphis_virginiana"	3000	6.72	"NA"	"NA"	1.12	"NA"	"6.6"	"6.11"	"185.8458333"	"184"	"243"	"12"	"8.619999999999999"	"2"	"122"	"102"	"0.147"	"142.5"	"NA"	"83.84583333"	"51"	"NA"	"1"	"4"	"2"	"NA"	"1"	"NA"	"NA"	"NA"	"719.0700000000001"	"107.5"	"2"	"NA"	"NA"	"NA"	"NA"	"10"	102
"¶ See Table S2 for column definitions"	"¶ See Table S2 for column definitions"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calculated from images of Nissl-stained coronal sections from www.brainmuseum.org (see Methods)"	"*Calculated from images of Nissl-stained coronal sections from www.brainmuseum.org (see Methods)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
