"Species"	"Reference"	"n"	"Anesthesia"	"Mode"	"Region"	"CMRgl_umol_100g_min"	"CMRgl_SD"	"CMRO2_umol_100g_min"	"CMRO2_SD"	"CBF_ml_100g_min"	"CBF_SD"	"source"
"Homo"	"(Alkire etal., 1995)"	6	"none"	"PET"	"Temporal Cortex"	30.1	8.3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Baxter et al., 1987)"	7	"none"	"PET"	"Temporal Cortex"	23.2	2.3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Baxter et al., 1987)"	7	"none"	"PET"	"Temporal Cortex"	28.6	0.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Brooks et al., 1987)"	27	"none"	"PET"	"Temporal Cortex"	36.1	6.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Buchsbaum et al., 1989)"	10	"none"	"PET"	"Temporal Cortex"	17.6	4.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Chugani et al., 1987)"	7	"none"	"PET"	"Temporal Cortex"	24	3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(C larketal., 2001)"	32	"none"	"PET"	"Temporal Cortex"	45.7	7.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Delvenne et al., 1997)"	10	"none"	"PET"	"Temporal Cortex"	23.8	1.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Delvenne et al., 1999)"	10	"none"	"PET"	"Temporal Cortex"	30.1	NA	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Duara et al., 1983)"	18	"none"	"PET"	"Temporal Cortex"	23.1	6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hasselbalch et al., 1994)"	9	"none"	"PET"	"Temporal Cortex"	28.9	5.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Haxby et al., 1985)"	26	"none"	"PET"	"Temporal Cortex"	24	5.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(H eissetal., 1985)"	6	"none"	"PET"	"Temporal Cortex"	38.5	2.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hirono et al., 2000)"	15	"none"	"PET"	"Temporal Cortex"	36.4	5.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(H uetal., 2000)"	9	"none"	"PET"	"Temporal Cortex"	42.1	7.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Ishii et al., 1998)"	22	"none"	"PET"	"Temporal Cortex"	39.1	4.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Kaye et al., 1990)"	12	"none"	"PET"	"Temporal Cortex"	31.6	4.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Kuhl et al., 1979)"	8	"none"	"PET"	"Temporal Cortex"	38	2.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Kuhl et al., 1982)"	25	"none"	"PET"	"Temporal Cortex"	36.9	8.3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Martinot et al., 1990)"	8	"none"	"PET"	"Temporal Cortex"	32.8	5.4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Mazziotta et al., 1981)"	7	"none"	"PET"	"Temporal Cortex"	44.1	11.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Perani et a l, 1995)"	15	"none"	"PET"	"Temporal Cortex"	31.6	4.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Phillips et al., 1991)"	14	"none"	"PET"	"Temporal Cortex"	32.5	5.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Redies et al., 1989)"	4	"none"	"PET"	"Temporal Cortex"	32	6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Rudolf et al., 2000)"	16	"none"	"PET"	"Temporal Cortex"	27.2	NA	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Sachs et al., 1986)"	25	"none"	"PET"	"Temporal Cortex"	44.1	5	NA	NA	NA	NA	"Kaufman__2004"
