"code_Baron1983"	"Anatomy_code"	"Species_Baron1983"	"Species_former_synonym"	"n"	"n_note"	"volume_mm3"	"volume_note"	"SEM_pct"	"size_index"	"permille_net_brain"	"permille_telencephalon"
"3244"	"MOB"	"Avahi laniger occidentalis"	NA	2	"*"	70.1	NA	16.7	26	7.7	12
"3247"	"MOB"	"Propithecus verreauxi"	NA	2	"*"	147	NA	16.6	25	5.9	8.7
"3249"	"MOB"	"Indri indri"	NA	2	"*"	168	NA	23.9	20	4.6	6.6
"3251"	"MOB"	"Daubentonia madagascariensis"	NA	1	NA	685	NA	NA	131	16	23
"3253"	"MOB"	"Loris tardigradus"	NA	1	NA	85.8	NA	NA	56	14	19
"3255"	"MOB"	"Nycticebus coucang"	NA	2	NA	159	NA	0.1	62	14	19
"3259"	"MOB"	"Perodicticus potto"	NA	2	NA	310	NA	16	99	23	33
"3265"	"MOB"	"Galago senegalensis"	NA	1	NA	79.2	NA	NA	71	18	26
"3267"	"MOB"	"Otolemur crassicaudatus"	"Galago crassicaudatus"	2	NA	166	NA	9.6	63	17	25
"3275"	"MOB"	"Galagoides demidoff"	"Galago demidovii"	2	"*"	83.1	NA	5.2	120	26	37
"3282"	"MOB"	"Tarsius spp."	NA	2	NA	18.8	NA	12.4	21	5.5	8.3
"3287"	"MOB"	"Callithrix jacchus"	NA	3	NA	22.6	"+"	22.6	16	3.1	4.3
"3289"	"MOB"	"Cebuella pygmaea"	NA	2	NA	12.3	NA	2	13	2.9	4
"3306"	"MOB"	"Saguinus midas"	"Saguinus tamarin"	2	"*"	17.3	NA	6.8	11	1.8	2.5
"3311"	"MOB"	"Saguinus oedipus"	NA	3	"*"	19.1	NA	22.7	11	2	2.7
"3315"	"MOB"	"Callimico goeldii"	NA	1	NA	27	NA	NA	14	2.6	3.5
"3324"	"MOB"	"Cebus spp."	NA	2	"*"	39.9	NA	26.8	7.2	0.6	0.8
"3325"	"MOB"	"Aotus trivirgatus"	NA	3	NA	61	"+"	18.1	23	3.8	5
"3327"	"MOB"	"Callicebus moloch"	NA	2	"*"	19.2	NA	8.1	7	1.1	1.4
"3335"	"MOB"	"Saimiri sciureus"	NA	1	NA	26.8	NA	NA	12	1.2	1.5
"3341"	"MOB"	"Pithecia monachus"	NA	2	NA	34.8	NA	11.2	9.5	1.1	1.4
"3366"	"MOB"	"Alouatta spp."	NA	2	NA	41.4	NA	14.9	5	0.8	1.1
"3371"	"MOB"	"Ateles geoffroyi"	NA	1	NA	90.4	NA	NA	9.5	0.9	1.1
"3379"	"MOB"	"Lagothrix lagothricha"	NA	3	NA	73.4	NA	10.2	9.9	0.8	1
"3391"	"MOB"	"Macaca mulatta"	NA	1	NA	84.3	NA	NA	9	1	1.2
"3407"	"MOB"	"Cercocebus albigena"	NA	1	NA	121	NA	NA	13	1.2	1.6
"3415"	"MOB"	"Papio anubis"	NA	2	"*"	287	NA	5.5	16	1.5	1.9
"3433"	"MOB"	"Cercopithecus ascanius"	NA	1	NA	99.5	NA	NA	17	1.6	1.9
"3453"	"MOB"	"Cercopithecus mitis"	NA	1	NA	117	NA	NA	14	1.7	2.1
"3469"	"MOB"	"Miopithecus talapoin"	"Cercopithecus talapoin"	2	"*"	27.8	NA	25.4	8.6	0.7	0.9
"3473"	"MOB"	"Erythrocebus patas"	NA	2	NA	51.8	NA	26.1	5.5	0.5	0.6
"3477"	"MOB"	"Colobus badius"	NA	2	NA	51.3	NA	1.7	5.8	0.7	0.9
"3493"	"MOB"	"Pygathrix nemaeus"	NA	1	NA	10.7	NA	NA	1.2	0.15	0.2
"3499"	"MOB"	"Nasalis larvatus"	NA	1	NA	30.3	NA	NA	2.3	0.3	0.4
"3539"	"MOB"	"Hylobates lar"	NA	1	NA	43.9	NA	NA	5.6	0.45	0.6
"3549"	"MOB"	"Pan troglodytes"	NA	1	NA	257	NA	NA	10	0.7	0.8
"3551"	"MOB"	"Gorilla gorilla"	NA	1	NA	316	NA	NA	7.7	0.7	0.85
"3553"	"MOB"	"Homo sapiens"	NA	1	NA	114	NA	NA	3.6	0.09	0.1
"7993"	"MOB"	"Elephantulus fuscipes"	NA	2	NA	63.3	NA	4.3	112	51	90
"8011"	"MOB"	"Rhynchocyon cirnei"	"Rhynchocyon stuhlmanni"	2	NA	426	NA	5.1	220	75	128
