table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S3	Visual cortex	Visual cortex	mouse	Mus musculus	False	CMRgl	1.11	0.12	umol/g/min		Quelven et al 2004, estim.
S3	Visual cortex	Visual cortex	rat	Rattus norvegicus	False	CMRgl	0.86	0.14	umol/g/min		Waschke et al 1993
S3	Visual cortex	Visual cortex	rat	Rattus norvegicus	False	CMRgl	0.82	0.12	umol/g/min		Dube et al 2001
S3	Visual cortex	Visual cortex	rat	Rattus norvegicus	False	CMRgl	0.97	0.05	umol/g/min		Nehling et al 1988
S3	Visual cortex	Visual cortex	rat	Rattus norvegicus	False	CMRgl	1.0	0.1	umol/g/min		Nehling et al 2000
S3	Visual cortex	Visual cortex	average rat	Rattus norvegicus	True	CMRgl	0.91	0.11	umol/g/min		
S3	Visual cortex	Visual cortex	rabbit	Oryctolagus cuniculus	False	CMRgl	0.76	0.09	umol/g/min		Passero et al 1981
S3	Visual cortex	Visual cortex	cat	Felis catus	False	CMRgl	0.52	0.03	umol/g/min		Herdman et al 1989
S3	Visual cortex	Visual cortex	cat	Felis catus	False	CMRgl	0.95	0.09	umol/g/min		Sokoloff 1984
S3	Visual cortex	Visual cortex	cat	Felis catus	False	CMRgl	0.89	0.03	umol/g/min		Schwartzman et al 1986
S3	Visual cortex	Visual cortex	average cat	Felis catus	True	CMRgl	0.79	0.05	umol/g/min		
S3	Visual cortex	Visual cortex	monkey	Macaca mulatta	False	CMRgl	0.59	0.02	umol/g/min		Kennedy et al 1978
S3	Visual cortex	Visual cortex	monkey	Macaca mulatta	False	CMRgl	0.66	0.02	umol/g/min		Palombo et al 1990
S3	Visual cortex	Visual cortex	average monkey	Macaca mulatta	True	CMRgl	0.63	0.02	umol/g/min		
S3	Visual cortex	Visual cortex	human	Homo sapiens	False	CMRgl	0.39	0.05	umol/g/min		De Volder et al 1997
S3	Visual cortex	Visual cortex	human	Homo sapiens	False	CMRgl	0.37	0.04	umol/g/min		Heiss et al 1985
S3	Visual cortex	Visual cortex	average human	Homo sapiens	True	CMRgl	0.38	0.05	umol/g/min		
