"Order"	"Species"	"Subspecies_size"	"Sex"	"Body weight (g)"	"Spinal cord weight (mg)"	"Body weight (mg)"	"Spinal cord length (mm) (Dissection//ΣDCL)"	"References (all data for a species come from a single source except where indicated)"
"Primate"	"Daubentonia  madagascarensis"	NA	"U"	"2800 *Martin & MacLarnon (unpublished data collection)"	"—"	"—"	"—/223·15"	"Nayak (1933)"
"Primate"	"Perodicticus  potto"	NA	"U"	"953·5"	"—"	"—"	"—/171·65"	"Nayak (1933)"
"Primate"	"Galago  crassicaudatus"	NA	"M"	"1165 *Martin & MacLarnon (unpublished data collection)"	"1924"	"10 650 *Martin & MacLarnon (unpublished data collection)"	"195·5/161·97"	"Present study (FS  subset)"
"Primate"	"Callithrix  jacchus"	NA	"F"	"287 *Martin & MacLarnon (unpublished data collection)"	"720"	"7980 *Martin & MacLarnon (unpublished data collection)"	"136·0/117·45"	"Present study (non-FS  subset)"
"Primate"	"Saguinus  oedipus"	NA	"M"	"325"	"783"	"9250 *Martin & MacLarnon (unpublished data collection)"	"135·25/112·35"	"Present study (FS  subset)"
"Primate"	"Aotus  trivirgatus"	NA	"F"	"1200"	"2320"	"18 110"	"202·0/180·95"	"Present study (FS  subset)"
"Primate"	"Saimiri  sciureus"	NA	"M"	"805 *Martin & MacLarnon (unpublished data collection)"	"1837"	"24 700 *Martin & MacLarnon (unpublished data collection)"	"181·0/167·45"	"Present study (FS  subset)"
"Primate"	"Lagothrix  lagotricha"	NA	"M"	"8160"	"6733"	"86 200 *Martin & MacLarnon (unpublished data collection)"	"309·25/264·0"	"Present study (FS  subset)"
"Primate"	"Presbytis  obscurus"	NA	"F"	"6360"	"8287"	"60 800 *Martin & MacLarnon (unpublished data collection)"	"310·5/258·65"	"Present study (FS  subset)"
"Primate"	"Miopithecus  talapoin"	NA	"M"	"1460"	"2685"	"37 450"	"—/192·15"	"Present study (FS  subset)"
"Primate"	"Cercopithecus  aethiops"	NA	"M"	"4878"	"6300"	"71 000"	"—"	"Hopf & Claussen  (1971)"
"Primate"	"Cercopithecus  aethiops"	NA	"F"	"3469 *Martin & MacLarnon (unpublished data collection)"	"5000"	"59 000"	"—"	"Hopf & Claussen  (1971)"
"Primate"	"Cercocebus  torquatus"	NA	"F"	"7800"	"8190"	"110 500 *Martin & MacLarnon (unpublished data collection)"	"320·5/267·0"	"Present study (FS  subset)"
"Primate"	"Macaca  fascicularis"	NA	"F"	"3610 *Martin & MacLarnon (unpublished data collection)"	"3790"	"62 100 *Martin & MacLarnon (unpublished data collection)"	"240·3/210·2"	"Present study (non-FS  subset)"
"Primate"	"Papio  anubis"	NA	"M"	"21 750 *Martin & MacLarnon (unpublished data collection)"	"13 231"	"180 900 *Martin & MacLarnon (unpublished data collection)"	"433·0/365·65"	"Present study (non-FS  subset)"
"Primate"	"Papio  hamadryas"	NA	"M"	"17 950 *Martin & MacLarnon (unpublished data collection)"	"9400"	"165 500 *Martin & MacLarnon (unpublished data collection)"	"—"	"Hopf & Claussen  (1971)"
"Primate"	"Papio  hamadryas"	NA	"F"	"10 000 *Martin & MacLarnon (unpublished data collection)"	"9200"	"147 300 *Martin & MacLarnon (unpublished data collection)"	"—"	"Hopf & Claussen  (1971)"
"Primate"	"Theropithecus  gelada"	NA	"M"	"19 410 *Martin & MacLarnon (unpublished data collection)"	"12 500"	"121 000 *Martin & MacLarnon (unpublished data collection)"	"—"	"Hopf & Claussen  (1971)"
"Primate"	"Theropithecus  gelada"	NA	"F"	"11 690 *Martin & MacLarnon (unpublished data collection)"	"10 200"	"114 500 *Martin & MacLarnon (unpublished data collection)"	"—"	"Hopf & Claussen  (1971)"
"Primate"	"Pan  troglodytes"	NA	"F"	"34 100 *Martin & MacLarnon (unpublished data collection)"	"16 853"	"374 000"	"405·0/334·45"	"Present study (FS  subset)"
