"Species Generic Name"	"Species Scientific Name"	"Depth"	"Length"	"Dexterity"	"Arboreality"	"Diet"	"Hand–eye"
"Spider monkey"	"Ateles ater"	"5  [51]"	"8  [53]"	4	4	0	2
"Dog"	"Canis familiaris"	"3  [6]"	"6  [6]"	2	0	2	1
"Goat"	"Capra hircus"	"1  [28]"	"1  [28]"	1	0	0	0
"Capuchin monkey"	"Cebus apella"	"5  [52]"	"8  [53]"	5	3	2	2
"Vervet"	"Cercopithecus pygerythrus"	"5  [52]"	"8  [53]"	6	3	1	2
"Nine-banded armadillo"	"Dasypus novemcinctus"	"3  [18]"	"2  [18]"	1	0	3	1
"Virginia opossum"	"Didelphis virginiana"	"3  [2]"	"2  [42]"	3	2	2	0
"Cat"	"Felis domesticus"	"3  [51]"	"7  [51]"	2	1	4	2
"Greater bushbaby"	"Galago crassicaudatus"	"4  [17]"	"7  [17]"	5	4	2	1
"Human"	"Homo sapiens"	"5  [39]"	"8  [39]"	7	1	2	2
"Gibbon"	"Hylobates lar"	"5  [52]"	"7  [53]"	6	4	0	2
"Woolly monkey"	"Lagothrix lagotricha"	"5  [53]"	"8  [53]"	5	4	1	2
"Rhesus macaque"	"Macaca mulatta"	"5  [52]"	"8  [53]"	6	3	2	2
"Coypu"	"Myocastor coypus"	"1  [25]"	"7  [25]"	3	0	0	1
"Slow  loris"	"Nycticebus coucang"	"5  [8]"	"7  [7]"	5	4	3	2
"Chimpanzee"	"Pan troglodytes"	"5  [53]"	"8  [53]"	6	2	2	2
"Potoroo"	"Potorous tridactylus"	"2  [43]"	"4  [43]"	2	0	0	1
"Kinkajou"	"Potos flavus"	"5  [29]"	"6  [29]"	3	3	1	2
"Raccoon"	"Procyon lotor"	"5  [54]"	"7  [62]"	3	2	2	2
"Norway rat"	"Rattus norvegicus"	"3  [26]"	"7  [26]"	3	1	1	1
"Cotton-top marmoset"	"Saguinus oedipus"	"1  [60]"	"7  [60]"	4	4	2	2
"Squirrel monkey"	"Saimiri sciureus"	"4  [29]"	"7  [64]"	5	4	1	2
"Quokka"	"Setonix brachyurus"	"1  [65]"	"3  [65]"	3	0	0	1
"Brush-tailed possum"	"Trichosurus vulpecula"	"3  [44]"	"4  [44]"	3	2	1	1
"Tree shrew"	"Tupaia glis"	"1  [37]"	"4  [61]"	3	2	3	1
