"code"	"Species_Stephan1984"	"n"	"Corpus_geniculatum_laterale_mm3"
"577"	"Tenrec ecaudatus"	1	1.46
"579"	"Setifer setosus"	1	1.05
"581"	"Hemicentetes semispin."	1	0.37
"585"	"Echinops telfairi"	1	0.37
"689"	"Aethechinus algirus"	1	5.02
"695"	"Erinaceus europaeus"	1	3.9
"715"	"Sorex araneus"	1	0.07
"769"	"Sorex minutus"	1	0.06
"943"	"Crocidura occidentalis"	1	0.28
"1071"	"Crocidura russula"	1	0.08
"1137"	"Suncus murinus"	1	0.18
"1263"	"Tupaia glis"	4	12.9
"1269"	"Tupaia minor"	2	9.88
"1289"	"Urogale everetti"	1	9.98
"3199"	"Microcebus murinus"	5	7.07
"3203"	"Cheirogaleus major"	2	21.5
"3205"	"Cheirogaleus medius"	2	10.8
"3215"	"Lemur albifrons"	2	51.8
"3227"	"Varecia variegata"	1	68.9
"3239"	"Lepilemur ruficaudatus"	3	15.6
"3243"	"Avahi l. laniger"	1	27.6
"3244"	"Avahi l. occidentalis"	2	29.3
"3247"	"Propithecus verreauxi"	2	64.5
"3249"	"Indri indri"	2	94.5
"3251"	"Daubentonia madagascar."	1	58.5
"3253"	"Loris tardigradus"	1	24.6
"3255"	"Nycticebus coucang"	1	35.9
"3259"	"Perodicticus potto"	2	24.3
"3265"	"Galago senegalensis"	1	16
"3267"	"Otolemur crassicaudatus"	1	23.2
"3275"	"Galagoides demidoff"	2	10.9
"3282"	"Tarsius spp."	2	20.8
"3287"	"Callithrix jacchus"	2	25.1
"3311"	"Saguinus oedipus"	1	34.2
"3324"	"Cebus spp."	2	137
"3325"	"Aotus trivirgatus"	2	32.9
"3327"	"Callicebus moloch"	1	54.2
"3335"	"Saimiri sciureus"	1	62.9
"3341"	"Pithecia monachus"	1	76.3
"3366"	"Alouatta spp."	1	87.4
"3371"	"Ateles geoffroyi"	1	151
"3379"	"Lagothrix lagothricha"	1	164
"3391"	"Macaca mulatta"	1	158
"3407"	"Cercocebus albigena"	1	182
"3415"	"Papio anubis"	1	395
"3433"	"Cercopithecus ascanius"	1	147
"3453"	"Cercopithecus mitis"	1	150
"3469"	"Miopithecus talapoin"	1	109
"3477"	"Colobus badius"	2	128
"3539"	"Hylobates lar"	1	175
"3549"	"Pan troglodytes"	1	356
"3551"	"Gorilla gorilla"	1	384
"3553"	"Homo sapiens"	1	416
