"Species"	"Reference"	"n"	"Anesthesia"	"Mode"	"Region"	"CMRgl_umol_100g_min"	"CMRgl_SD"	"CMRO2_umol_100g_min"	"CMRO2_SD"	"CBF_ml_100g_min"	"CBF_SD"	"source"
"Homo"	"(Chugani et al., 1987)"	7	"none"	"PET"	"Sensorimotor Cortex"	23.83	3.44	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Haxby et al., 1985)"	26	"none"	"PET"	"Sensorimotor Cortex"	29.86	7.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Heiss et al., 1985)"	6	"none"	"PET"	"Sensorimotor Cortex"	44.2	3.07	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hirono et al., 2000)"	15	"none"	"PET"	"Sensorimotor Cortex"	42.46	6.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Martinet et al., 1990)"	8	"none"	"PET"	"Sensorimotor Cortex"	36.08	7.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(McNamara et al., 1987)"	14	"none"	"PET"	"Sensorimotor Cortex"	32.17	5.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Schapiro et al., 1990)"	13	"none"	"PET"	"Sensorimotor Cortex"	51.4	8.4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Tommasino et al., 1995)"	10	"none"	"PET"	"Sensorimotor Cortex"	38.9	5.4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"Present Study"	5	"none"	"PET"	"Sensorimotor Cortex"	38	8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Fukuyama et al., 1994)"	9	"none"	"PET"	"Sensorimotor Cortex"	36.21	4.35	111.36	25.19	NA	NA	"Kaufman__2004"
"Homo"	"(Ishii et al., 1996b)"	15	"none"	"PET"	"Sensorimotor Cortex"	NA	NA	151.79	25	NA	NA	"Kaufman__2004"
"Homo"	"(Lenzi et al., 1981)"	27	"none"	"PET"	"Sensorimotor Cortex"	NA	NA	199.78	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Pantano et al., 1984)"	18	"none"	"PET"	"Sensorimotor Cortex"	NA	NA	156.25	26.8	NA	NA	"Kaufman__2004"
"Homo"	"(Perlmutter et al., 1987)"	32	"none"	"PET"	"Sensorimotor Cortex"	NA	NA	122.99	28.13	NA	NA	"Kaufman__2004"
"Papio"	"(Meguro et al., 1999)"	8	"Phencyclidine"	"PET"	"Sensorimotor Cortex"	46.9	7.8	NA	NA	NA	NA	"Kaufman__2004"
"Papio"	"(Millien et al., 2002)"	10	"Phencyclidine"	"PET"	"Sensorimotor Cortex"	45.2	15.8	NA	NA	NA	NA	"Kaufman__2004"
"Papio"	"Present Study"	2	"N20"	"PET"	"Sensorimotor Cortex"	60.3	12.4	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1988)"	3	"none"	"Sokoloff"	"Sensorimotor Cortex"	47	3.5	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1990)"	4	"none"	"Sokoloff"	"Sensorimotor Cortex"	46	4	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Porrino et al., 1987)"	3	"none"	"Sokoloff"	"Sensorimotor Cortex"	47	4	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Lyons et al., 1996)"	3	"none"	"Sokoloff"	"Sensorimotor Cortex"	56	5.2	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Schwartzman et al., 1988)"	6	"none"	"Sokoloff"	"Sensorimotor Cortex"	48.9	3.4	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Deuel and Collins, 1984)"	4	"none"	"Sokoloff"	"Sensorimotor Cortex"	64.75	NA	NA	NA	NA	NA	"Kaufman__2004"
"Lepus"	"(Passero et al., 1981)"	5	"none"	"Sokoloff"	"Sensorimotor Cortex"	82.65	15.3	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Choki e ta l, 1983)"	6	"none"	"Sokoloff"	"Sensorimotor Cortex"	67.2	16.7	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Choki et al., 1984)"	3	"N 20"	"Sokoloff"	"Sensorimotor Cortex"	102	32	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bassant et al., 1996)"	7	"none"	"PET"	"Sensorimotor Cortex"	96	8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bassant et al., 1996)"	8	"none"	"PET"	"Sensorimotor Cortex"	96	13	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Blin et al., 1991)"	10	"none"	"PET"	"Sensorimotor Cortex"	74.4	9.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bryan and Lehman, 1988)"	10	"none"	"PET"	"Sensorimotor Cortex"	91	9.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Chang et al., 2001)"	8	"none"	"PET"	"Sensorimotor Cortex"	93	22.6	NA	NA	NA	NA	"Kaufman__2004"
