"Animal"	"Species"	"Species_as_printed"	"species_basis"	"Digital dexterity"	"Body weight kg"	"Number of fibers per tract"	"Number of fibers per tract ref"	"Largest fiber diameter µm"	"Largest fiber diameter µm ref"	"Average fiber size x 10ˆ5 K"	"Area of tract mmˆ2"	"Area of tract mmˆ2 ref"	"Penetration down spinal cord"	"Penetration down spinal cord ref"	"Lamina of axon terminals deepest"	"Lamina of axon terminals deepest ref"	"Lamina of axon terminals densest"	"Lamina of axon terminals densest ref"
"Aardvark"	"Orycteropus afer"	"Orycteropus afer"	"as_printed"	2	60	NA	NA	NA	NA	NA	0.53	NA	"Upper C"	"VERHAART, 1970"	NA	NA	NA	NA
"Anteater"	"Myrmecophaga jubata"	"Myrmecophaga jubata"	"as_printed"	1	20	NA	NA	10	"VERHAART, 1970"	NA	0.6	NA	NA	NA	NA	NA	NA	NA
"Armadillo"	"Dasypus novemcinctus"	"Dasypus novemcinctus"	"as_printed"	1	5	NA	NA	2	"VERHAART, 1970"	NA	0.6	NA	"T3"	"FISHER el al., 1969"	8	"FISHER el al., 1969"	6	NA
"Bat (vampire)"	"Desmodus rufus"	"Desmodus rufus"	"as_printed"	1	0.033	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	NA
"Bat (Indian tuber nose)"	"Horpyiocepalus leucogostra"	"Horpyiocepalus leucogostra"	"as_printed"	1	0.01	NA	NA	NA	NA	NA	0.04	NA	NA	NA	NA	NA	NA	NA
"Bat"	"Myotis"	"Myotis"	"as_printed"	1	0.03	NA	NA	NA	NA	NA	0.01	NA	"S"	"BROERE, 1966"	NA	NA	NA	NA
"Bat (India Kalong)"	"Pteropus edulis"	"Pteropus edulis"	"as_printed"	1	0.9	NA	NA	NA	NA	NA	0.12	NA	NA	NA	NA	NA	NA	NA
"Bat (horseshoe)"	"Rhinolophus"	"Rhinolophus"	"as_printed"	1	0.016	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	NA
"Bat"	"Tadarida cynocephala"	"Tasarida cynocephala"	"spelling_correction"	1	1.3	8000	NA	NA	NA	0.25	0.02	NA	NA	NA	NA	NA	NA	NA
"Bear (assume Brown)"	NA	NA	"unspecified_in_source"	2	200	NA	NA	NA	NA	NA	9.21	NA	NA	NA	NA	NA	NA	NA
"Beaver"	"Castor canadensis"	"Castor canadiensis"	"spelling_correction"	3	13	NA	NA	NA	NA	NA	NA	NA	"S"	"DOUGLAS and BARR, 1950"	NA	NA	NA	NA
"Bushbaby"	"Galago crassicaudatus"	"Galago crassicaudatus"	"as_printed"	5	1.14	NA	NA	NA	NA	NA	NA	NA	"S"	"FERRER, 1971"	9	"FERRER, 1971"	6	"FERRER, 1971"
"Bushbaby"	"Galago senegalensis"	"Galago senegalensis"	"as_printed"	5	0.26	NA	NA	2.5	"VERHAART, 1966"	NA	NA	NA	"Lower L"	"VERHAART, 1966"	NA	NA	NA	NA
"Camel"	"Camelus"	"Camelus"	"as_printed"	1	570	NA	NA	6	"VERHAART, 1970"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cat (domestic)"	"Felis catus"	"Felis catus"	"as_printed"	2	3.5	186000	"LASSEK and RASMUSSEN, 1940"	5	"SCHIEBEL and SCHIEBEL, 1966"	0.6	1.13	NA	"S"	"NYBERG-HANSEN and BRODAL, 1963"	8	"NYBERG-HANSEN and BRODAL, 1963"	6	"NYBERG-HANSEN and BRODAL, 1963"
"Chimpanzee"	"Pan troglodytes"	"Pan troglodytes"	"as_printed"	6	44	807000	"LASSEK and WHEATLEY, 1945"	NA	NA	0.96	7.77	NA	"coccygeal"	"PETRAS, 1968"	10	"PETRAS, 1968"	6	"PETRAS, 1968"
"Chipmunk"	"Tamias striatus"	"Tamias striatus"	"as_printed"	3	0.1	NA	NA	NA	NA	NA	0.26	NA	"S"	"SIMPSON, 1914"	NA	NA	NA	NA
"Cow (unspecified)"	NA	NA	"unspecified_in_source"	1	500	540000	"LASSEK, 1942"	5	"VERHAART, 1970"	0.55	2.97	NA	"Upper C"	"LASSEK, 1942"	NA	NA	NA	NA
"Coypu rat"	"Myocastor coypus"	"Myocastor coypus"	"as_printed"	3	5	NA	NA	8	"GOLDBY and KACKER, 1963"	NA	0.37	NA	"S"	"GOLDBY and KACKER, 1963"	6	"GOLDBY and KACKER, 1963"	NA	NA
"Deer (unspecified)"	NA	NA	"unspecified_in_source"	1	200	490000	"LASSEK, 1942"	6	"VERHAART, 1970"	0.58	2.89	NA	"Upper C"	"LASSEK, 1942"	NA	NA	NA	NA
"Dog (domestic)"	"Canis familiaris"	"Canis familiaris"	"as_printed"	2	11	285500	"LASSEK and RASMUSSEN, 1940"	NA	NA	1.22	3.49	NA	"L5"	"BUXTON and GOODMAN, 1967"	8	"BUXTON and GOODMAN, 1967"	NA	NA
"Elephant (Indian)"	"Elephas maximus"	"Elephus maximus"	"spelling_correction"	1	6000	NA	NA	8	"VERHAART, 1963"	NA	5.13	NA	"Middle T"	"VERHAART, 1963"	NA	NA	NA	NA
"Ferret"	"Putorius furo"	"Putorius furo"	"as_printed"	3	0.9	90000	"NOORDUYN, 1959"	10	"NOORDUYN, 1959"	NA	1.5	NA	NA	NA	NA	NA	NA	NA
"Gibbon"	"Hylobates lar"	"Hylobates lar"	"as_printed"	6	6	315000	"VERHAART, 1948b"	12	"VERHAART, 1970"	1.09	3.44	NA	"S"	"PETRAS, 1968"	10	"PETRAS, 1968"	6	"PETRAS, 1968"
"Gibbon"	"Hylobates syndactylus"	"Hylobates syndactylus"	"as_printed"	6	10	239700	"VERHAART, 1948b"	NA	NA	1.35	3.25	NA	NA	NA	NA	NA	NA	NA
"Goat (domestic)"	"Capra hircus"	"Capra hircus"	"as_printed"	1	80	260000	"LASSEK, 1942"	5	"VERHAART, 1970"	0.21	0.569	NA	"C7"	"HAARTSEN and VERHAART, 1967"	6	"HAARTSEN and VERHAART, 1967"	NA	NA
"Gopher"	"Spermophilus tridecemlineatus"	"Spermophillus tridecemlineatus"	"spelling_correction"	3	0.65	NA	NA	NA	NA	NA	NA	NA	"L3"	"SIMPSON,1915"	NA	NA	NA	NA
"Guinea Pig"	"Cavia aperea"	"Cavia aperea"	"as_printed"	2	0.6	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA
"Hamster"	"Cricetus auratus"	"Cricetus auratus"	"as_printed"	3	0.5	480000	"DOUGLAS and BARR, 1950"	NA	NA	NA	NA	NA	"S"	"DOUGLAS and BARR, 1950"	NA	NA	NA	NA
"Hedgehog"	"Erinaceus"	"Erinaceous"	"spelling_correction"	2	0.75	NA	NA	NA	NA	NA	0.02	NA	"Upper C"	"VERHAART, 1970"	NA	NA	NA	NA
"Hedgehog"	"Paraechinus"	"Paraechinus"	"as_printed"	2	0.5	NA	NA	NA	NA	NA	NA	NA	"Upper C"	"ROBARDS, personal commun.; CAMPBELL, 1967"	NA	NA	NA	NA
"Hog (domestic)"	"Sus scrofa"	"Sus scrofa"	"as_printed"	1	90	210000	"LASSEK, 1942"	5	"VERHAART, 1970"	0.85	1.8	NA	NA	NA	NA	NA	NA	NA
"Horse (domestic)"	"Equus caballus"	"Equus caballus"	"as_printed"	1	350	NA	NA	5	"VERHAART, 1970"	NA	2.68	NA	NA	NA	NA	NA	NA	NA
"Kinkajou"	"Potos flavus"	"Potos flavus"	"as_printed"	3	2.1	NA	NA	NA	NA	NA	NA	NA	"Lower L"	"HARTING and NOBACK, 1970"	10	"HARTING and NOBACK, 1970"	NA	NA
"Lemur"	"Lemur catta"	"Lemur catta"	"as_printed"	5	2.1	NA	NA	3	"VERHAART, 1966"	NA	NA	NA	"Lower L"	"VERHAART, 1966"	NA	NA	NA	NA
"Man"	"Homo sapiens"	"Homo sapiens"	"as_printed"	7	70	1101000	"LASSEK and RASMUSSEN, 1940"	22	"TRUEX and CARPENTER, 1969"	1.03	11.43	NA	"coccygeal"	"TRUEX and CARPENTER, 1969"	NA	NA	NA	NA
"Mole"	"Scalopus aquaticus"	"Scalopus aquaticus"	"as_printed"	1	0.1	NA	NA	4	"BISHOP et al., 1971"	NA	0.01	NA	"Upper T"	"LINOWIECKI, 1914"	NA	NA	NA	NA
"Monkey (spider)"	"Ateles ater"	"Ateleus ater"	"Iwaniuk_etal_1999"	4	6	505000	"LASSEK, 1943"	12	"LASSEK, 1943"	0.63	3.23	NA	"coccygeal"	"PETRAS, 1968"	10	"PETRAS, 1969"	6	"PETRAS, 1968"
"Monkey (capucin)"	"Cebus apella"	"Cebus apella"	"as_printed"	5	1.25	NA	NA	NA	NA	NA	2	NA	"coccygeal"	"PETRAS, 1968"	10	"PETRAS, 1969"	6	"PETRAS, 1968"
"Monkey (vervet)"	"Cercopithecus pygerythrus"	"Cercopithecus pygerythrus"	"as_printed"	6	4	NA	NA	NA	NA	NA	NA	NA	"coccygeal"	"PETRAS, 1968"	10	"PETRAS, 1969"	6	"PETRAS, 1968"
"Monkey (wooly)"	"Lagothrix lagotricha"	"Lagothrix lagotricha"	"as_printed"	5	6	NA	NA	NA	NA	NA	NA	NA	"coccygeal"	"PETRAS, 1968"	10	"PETRAS, 1968"	6	"PETRAS, 1968"
"Monkey (macaque)"	"Macaca irus"	"Macaca ira"	"spelling_correction"	6	5	195000	"VERHAART, 1948a"	NA	NA	0.6	1.18	NA	NA	NA	NA	NA	NA	NA
"Monkey (macaque)"	"Macaca mulatta"	"Macaca mulatta"	"as_printed"	6	8.3	400000	"DEMEYER and RUSSEL, 1958"	NA	NA	0.72	2.89	NA	"coccygeal"	"PETRAS, 1968"	10	"PETRAS, 1969"	6	"PETRAS, 1968"
"Monkey (baboon)"	"Papio papio"	"Papio papio"	"as_printed"	6	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	"PHILLIPS, 1967"	NA	NA
"Monkey (marmoset)"	"Saguinus oedipus"	"Saquinas oedipus"	"Iwaniuk_etal_1999"	4	0.4	NA	NA	NA	NA	NA	NA	NA	"S"	"SHRIVER and MATZKE, 1965"	6	"SHRIVER and MATZKE, 1965"	NA	NA
"Monkey (squirrel)"	"Saimiri sciureus"	"Saimiri sciureus"	"as_printed"	5	0.75	NA	NA	8	"VERHAART, 1970"	NA	0.7	NA	"S"	"VERHAART, 1966"	9	"HARTING AND NOBACK, 1970"	6	"HARTING AND NOBACK, 1970"
"Mouse (unspecified)"	NA	NA	"unspecified_in_source"	3	0.025	32300	"LASSEK and RASMUSSEN, 1940"	NA	NA	0.21	0.07	NA	NA	NA	NA	NA	NA	NA
"Mule"	"Equus"	"Equus"	"as_printed"	1	250	412000	"LASSEK, 1942"	5	"VERHAART, 1970"	0.9	3.74	NA	NA	NA	NA	NA	NA	NA
"Opossum"	"Didelphis virginiana"	"Didelphis"	"Iwaniuk_etal_1999_imputed"	3	3.7	48100	"TOWE, 1973"	NA	NA	0.45	0.22	NA	"Upper T"	"BAUTISTA and MATZKE, 1965"	8	"MARTIN and FISHER, 1968"	5	"MARTIN and FISHER, 1968"
"Orangutan"	"Pongo pygmaeus"	"Pongo pygmaeus"	"as_printed"	6	60	NA	NA	NA	NA	NA	2.61	NA	NA	NA	NA	NA	NA	NA
"Pangolin"	"Manis pentadactyla"	"Manis pentadactyla"	"as_printed"	1	18	NA	NA	2.5	"VERHAART, 1970"	NA	0.16	NA	NA	NA	NA	NA	NA	NA
"Phalanger"	"Trichosurus vulpecula"	"Trichosurus vulpecula"	"as_printed"	3	3.5	NA	NA	NA	NA	NA	0.54	NA	"Lower T"	"REES and HORE, 1970; MARTIN et al., 1970"	8	"REES and HORE, 1970; MARTIN et al., 1970"	6	"REES and HORE, 1970; MARTIN et al., 1970"
"Pygmy shrew"	"Microsorex hoyi"	"Microsorex hoyi"	"as_printed"	2	0.003	NA	NA	1	"VERHAART, 1970"	NA	0.02	NA	NA	NA	NA	NA	NA	NA
"Quokka wallaby"	"Setonix brachyurus"	"Setonix brachyurus"	"as_printed"	3	3.5	NA	NA	NA	NA	NA	0.1	NA	"T7"	"WATSON, 1971"	6	"WATSON, 1971"	5	"WATSON, 1971"
"Rabbit (domestic)"	"Oryctolagus cuniculus"	"Oryctolagus cuniculus"	"as_printed"	2	1.8	101700	"LASSEK and RASMUSSEN, 1940"	4	"VERHAART, 1970"	0.27	0.28	NA	"C4"	"VERHAART, 1970"	NA	NA	NA	NA
"Raccoon"	"Procyon lotor"	"Procyon lotor"	"as_printed"	3	12	NA	NA	NA	NA	NA	NA	NA	"S"	"SIMPSON, 1912"	10	"PETRAS and LEHMAN, 1966"	NA	NA
"Rat (unspecified)"	"Rattus norvegicus"	NA	"Iwaniuk_etal_1999_imputed"	3	0.4	137000	"BROWN, 1971"	5	"BISHOP et al., 1971"	0.1	0.14	NA	"S"	"GOODMAN et al., 1966"	8	"GOODMAN et al., 1966"	5	"BROWN, 1971"
"Rock hyrax"	"Procavia capensis"	"Procavia capensis"	"as_printed"	2	17	NA	NA	9	"VERHAART, 1967"	NA	0.72	NA	"S"	"VERHAART, 1967"	NA	NA	6	"VERHAART, 1967"
"Seal"	"Callorhinus ursinus"	"Callorhinus ursinus"	"as_printed"	1	52	748000	"LASSEK and KARLSBERG, 1956"	25	"LASSEK and KARLSBERG, 1956"	0.27	2.08	NA	NA	NA	NA	NA	NA	NA
"Sheep (domestic)"	"Ovis aries"	"Ovis aries"	"as_printed"	1	80	238000	"LASSEK, 1942"	5	"VERHAART, 1970"	0.59	1.42	NA	"C1"	"KING, 1911"	NA	NA	6	"KING, 1911"
"Slow loris"	"Nycticebus coucang"	"Nycticebus coucang"	"as_printed"	5	1.3	NA	NA	4.5	"VERHAART, 1970"	NA	0.28	NA	"S"	"CAMPBELL, 1967"	10	"CAMPBELL et al., 1966"	6	"CAMPBELL et al., 1966"
"Spiney anteater"	"Tachyglossus aculeatus"	"Tachyglossus aculeata"	"spelling_correction"	2	4.2	NA	NA	NA	NA	NA	0.39	NA	"T16"	"GOLDBY, 1939"	NA	NA	NA	NA
"Squirrel"	"Sciurus hudsonius"	"Sciurrrus hudsonius"	"spelling_correction"	3	0.6	NA	NA	NA	NA	NA	0.4	NA	"S"	"SIMPSON, 1914"	NA	NA	NA	NA
"Tapir (unspecified)"	"Tapirus"	"Tapirus"	"as_printed"	1	250	NA	NA	5	"VERHAART, 1970"	NA	1.48	NA	NA	NA	NA	NA	NA	NA
"Tarsier"	"Tarsius"	"Tarsius"	"as_printed"	4	0.12	NA	NA	NA	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA
"Tasmanian potoroo"	"Potorous apicalis"	"Potorous apicalis"	"as_printed"	2	1.35	NA	NA	NA	NA	NA	NA	NA	"T12"	"MARTIN et al., 1972"	7	"MARTIN et al., 1972"	5	"MARTIN et al., 1972"
"Tree shrew"	"Tupaia glis"	"Tupaia glis"	"as_printed"	3	0.16	NA	NA	2	"VERHAART, 1966"	NA	0.12	NA	"Lower T"	"SHRIVER and NOBACK, 1967"	6	"JANE et al., 1969"	5	"CAMPBELL, 1967"
"Whale (porpoise)"	"Phocoena phocoena"	"Phocaena phocoena"	"spelling_correction"	1	60	NA	NA	5	"VERHAART, 1970"	NA	1.27	NA	NA	NA	NA	NA	NA	NA
"Woodchuck"	"Marmota monax"	"Marmota monax"	"as_printed"	NA	5.3	NA	NA	NA	NA	NA	0.37	NA	"S"	"DOUGLAS and BARR, 1950"	NA	NA	NA	NA
