"species"	"Ventral.half"	"Dorsal.half"	"Total"	"source"
"Gorilla"	331.33	203.27	534.6	"Matano__2001"
"Pan"	284.47	171.36	455.83	"Matano__2001"
"Humans"	791.69	375.21	1166.9	"Matano__2001"
