"Region"	"Region_code"	"Group"	"n"	"taxon"	"Oligodendrocyte_density.per.mm3"	"Oligodendrocyte_density.per.mm3.SD"	"Oligodendrocyte_pct_of_glia"
"Caudate nucleus (dorsal)"	"dC"	"WS"	5	"Homo sapiens"	33810	3742	57.41
"Caudate nucleus (dorsal)"	"dC"	"TD"	5	"Homo sapiens"	25281	1343	53.77
"Caudate nucleus (medial)"	"mC"	"WS"	5	"Homo sapiens"	40605	3161	62.2
"Caudate nucleus (medial)"	"mC"	"TD"	5	"Homo sapiens"	27375	2566	50.55
