"species_sci"	"Taxon"	"Diet"	"References"	"Notes"	"Reference from 38 (see last tab)"
"Alouatta caraya"	"Alouatta_caraya"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Alouatta palliata"	"Alouatta_palliata"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Alouatta seniculus"	"Alouatta_seniculus"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Aotus trivirgatus"	"Aotus_trivirgatus"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Ateles geoffroyi"	"Ateles_geoffroyi"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Ateles paniscus"	"Ateles_paniscus"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Avahi laniger"	"Avahi_laniger"	"Folivore"	"38"		"Kappeler & Heymann 1996"
"Avahi occidentalis"	"Avahi_occidentalis"	"Folivore"	"38"		"Kappeler & Heymann 1996"
"Callicebus moloch"	"Callicebus_moloch"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Callimico goeldii"	"Callimico_goeldii"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Callithrix jacchus"	"Callithrix_jacchus"	"Omnivore"	"69"	"Frugivore in [38]; Updated here following [68]"	
"Callithrix pygmaea"	"Callithrix_pygmaea"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Cebus albifrons"	"Cebus_albifrons"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Sapajus apella"	"Cebus_apella"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Cercocebus agilis"	"Cercocebus_agilis"	"Frugivore"	"38"		"Shah 2003"
"Cercocebus torquatus"	"Cercocebus_torquatus_atys"	"Frugivore"	"38"		"Kappeler & Heymann 1996"
"Cercopithecus ascanius"	"Cercopithecus_ascanius"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Cercopithecus mitis"	"Cercopithecus_mitis"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Cercopithecus nictitans"	"Cercopithecus_nictitans"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Cheirogaleus major"	"Cheirogaleus_major"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Cheirogaleus medius"	"Cheirogaleus_medius"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Colobus angolensis"	"Colobus_angolensis"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Daubentonia madagascariensis"	"Daubentonia_madagascariensis"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Erythrocebus patas"	"Erythrocebus_patas"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Eulemur fulvus"	"Eulemur_fulvus_fulvus"	"Frugivore"	"38"	"Frugivore/folivore in [38]"	"Kappeler & Heymann 1996"
"Eulemur mongoz"	"Eulemur_mongoz"	"Frugivore"	"38"	"Frugivore/folivore in [38]"	"Kappeler & Heymann 1996"
"Galago senegalensis"	"Galago_senegalensis"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Galagoides demidoff"	"Galagoides_demidoff"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Gorilla beringei"	"Gorilla_beringei"	"Folivore"	"38"		"Rothman et al. 2007"
"Gorilla sp."	"Gorilla_gorilla_gorilla"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Gorilla gorilla graueri"	"Gorilla_gorilla_graueri"	"Folivore"	"Genus-level"		
"Hylobates lar"	"Hylobates_lar"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Hylobates muelleri"	"Hylobates_muelleri"	"Frugivore"	"38"	"Frugivore/folivore in [38]"	"Kappeler & Heymann 1996"
"Indri indri"	"Indri_indri"	"Folivore"	"38"		"Kappeler & Heymann 1996"
"Lagothrix lagothricha"	"Lagothrix_lagotricha"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Lemur catta"	"Lemur_catta"	"Frugivore"	"38"		"Kappeler & Heymann 1996"
"Leontopithecus rosalia"	"Leontopithecus_rosalia"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Lepilemur ruficaudatus"	"Lepilemur_ruficaudatus"	"Folivore"	"38"		"Kappeler & Heymann 1996"
"Lophocebus albigena"	"Lophocebus_albigena"	"Frugivore"	"38"		"Kappeler & Heymann 1996"
"Loris tardigradus"	"Loris_tardigradus"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Macaca fascicularis"	"Macaca_fascicularis"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Macaca maura"	"Macaca_maura"	"Frugivore"	"Genus-level"		
"Macaca mulatta"	"Macaca_mulatta"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Mandrillus sphinx"	"Mandrillus_sphinx"	"Frugivore"	"75"		"Kappeler & Heymann 1996"
"Microcebus murinus"	"Microcebus_murinus"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Miopithecus talapoin"	"Miopithecus_talapoin"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Nasalis larvatus"	"Nasalis_larvatus"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Nomascus concolor"	"Nomascus_concolor"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Nycticebus coucang"	"Nycticebus_coucang"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Otolemur crassicaudatus"	"Otolemur_crassicaudatus"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Pan paniscus"	"Pan_paniscus"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Pan troglodytes"	"Pan_troglodytes_troglodytes"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Papio anubis"	"Papio_anubis"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Papio cynocephalus"	"Papio_cynocephalus"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Papio hamadryas"	"Papio_hamadryas"	"Frugivore"	"38"	"Frugivore/folivore in [38]"	"Plavcan & van Schaik 1997"
"Perodicticus potto"	"Perodicticus_potto"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Piliocolobus badius"	"Piliocolobus_badius"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Pithecia monachus"	"Pithecia_monachus"	"Frugivore"	"Genus-level"		
"Pithecia pithecia"	"Pithecia_pithecia"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Pongo sp."	"Pongo_abelii"	"Frugivore"	"38"		"Fox et al. 2004"
"Pongo pygmaeus"	"Pongo_pygmaeus"	"Frugivore"	"38"		"Plavcan & van Schaik 1997"
"Propithecus verreauxi"	"Propithecus_verreauxi"	"Folivore"	"38"		"Kappeler & Heymann 1996"
"Pygathrix nemaeus"	"Pygathrix_nemaeus"	"Folivore"	"38"		"Kappeler & Heymann 1996"
"Saguinus geoffroyi"	"Saguinus_geoffroyi"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Saguinus midas"	"Saguinus_midas"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Saguinus oedipus"	"Saguinus_oedipus"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Saimiri sciureus"	"Saimiri_sciureus"	"Omnivore"	"38"		"Plavcan & van Schaik 1997"
"Semnopithecus entellus"	"Semnopithecus_entellus"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Symphalangus syndactylus"	"Symphalangus_syndactylus"	"Folivore"	"38"		"Plavcan & van Schaik 1997"
"Tarsius syrichta"	"Tarsius_syrichta"	"Omnivore"	"38"		"Kappeler & Heymann 1996"
"Trachypithecus francoisi"	"Trachypithecus_francoisi"	"Folivore"	"Genus-level"		
"Varecia variegata"	"Varecia_variegata_variegata"	"Frugivore"	"38"		"Kappeler & Heymann 1996"
