"note_id"	"variable"	"taxon_group"	"data_source"	"note_text"	"source"
1	"Brain volume; Cerebellum volume"	"Old and New World monkeys and pongids (extant)"	"MRI"	"Brain and cerebellar volumes for Old and New World Monkeys and Pongids from MRIs"	"Weaver__2001"
2	"Brain volume; Body mass"	"Recent Homo sapiens"	"Beals et al. 1984"	"Brain Volume and Body Mass for recent Homo sapiens from (Beals et al. 1984)"	"Weaver__2001"
3	"Cerebellum volume"	"Recent Homo sapiens"	"mean of Riedel et al. 1989; Rilling & Insel 1998; Semendeferi & Damasio 2000; Snyder et al. 1995"	"Cerebellar Volume for recent Homo sapiens = mean published volumes from Riedel et al. (1989); Rilling and Insel (1998); Semendeferi and Damasio (2000); and Snyder et al. (1995)."	"Weaver__2001"
4	"Conversion formula (cranial capacity -> brain volume -> brain mass)"	"Fossil hominids (all)"	"Ruff et al. 1997"	"Formula for conversion of Cranial capacity to Brain Volume and for Brain Volume to Brain Mass: (Ruff et al. 1997)"	"Weaver__2001"
5	"Body mass"	"Homo erectus; early and late archaic Homo sapiens; early modern Homo sapiens"	"Ruff et al. 1997"	"Body Mass for Homo erectus, early and late archaic Homo sapiens, and early modern Homo sapiens from (Ruff et al. 1997)"	"Weaver__2001"
6	"Cerebellum volume; endocranial volume"	"Fossil hominids"	"3-D virtual scanned models (Weaver, this study)"	"Cerebellar and endocranial volumes for fossil hominids from 3-D virtual scanned models"	"Weaver__2001"
7	"Body mass"	"Australopithecines; Homo habilis"	"McHenry 1992b"	"Body mass for australopithecines and Homo habilis from (McHenry 1992b)"	"Weaver__2001"
