species	species_as_published	moesm3_row	N	brain_volume_mm3	thalamus_mm3	source	provenance
Gorilla beringei	Gorilla_beringei	94	1	460600	8300	Sherwood et al. 2004 (Am J Primatol 63:149-164); individuals provided by author (Sherwood 2018 pers. comm.) via DeCasien & Higham 2019 MOESM3 (ref 64); NOT in published Table I	unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla	Gorilla_gorilla_gorilla	125	1	459400	11400	Sherwood et al. 2004 (Am J Primatol 63:149-164); individuals provided by author (Sherwood 2018 pers. comm.) via DeCasien & Higham 2019 MOESM3 (ref 64); NOT in published Table I	unpublished_via_DeCasien_MOESM3
