"Region"	"Group"	"n"	"taxon"	"Volume_bilateral.mm3"	"Volume_bilateral.cm3"	"Volume_per_hemisphere.cm3"	"Volume_bilateral_SD.mm3"
"Cerebral cortex"	"Normative"	262	"Homo sapiens"	517426	517.426	258.713	66685
"Thalamus"	"Normative"	262	"Homo sapiens"	14002	14.002	7.001	1518
"Caudate"	"Normative"	262	"Homo sapiens"	7848	7.848	3.924	981
"Putamen"	"Normative"	262	"Homo sapiens"	12507	12.507	6.2535	1400
"Pallidum"	"Normative"	262	"Homo sapiens"	3638	3.638	1.819	452
"Hippocampus"	"Normative"	262	"Homo sapiens"	8214	8.214	4.107	889
"Amygdala"	"Normative"	262	"Homo sapiens"	3540	3.54	1.77	459
"Nucleus Accumbens"	"Normative"	262	"Homo sapiens"	1492	1.492	0.746	266
"Total brain volume"	"Normative"	262	"Homo sapiens"	1176723	1176.723	588.3615	125178
