"Species"	"Species_alt"	"Species_MS"	"Clade"	"Family"	"vocal_repertoire_size_MS2005"	"vocal_repertoire_size_updated"	"repertoire_update_reference"	"source"
"Alouatta palliata"	NA	"Alouatta palliata"	"Platyrrhine"	"Atelidae"	"22"	"22"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Arctocebus calabarensis"	NA	"Arctocebus calabarensis"	"Strepsirrhine"	"Lorisidae"	"2"	"2"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Callicebus moloch"	"Plecturocebus moloch"	"Callicebus moloch"	"Platyrrhine"	"Pitheciidae"	"11"	"10"	"Muir, J., Ravuri, A., Meissner, E., Hawes, J. E., Dufourq, E., O’Mahoney, T., & Dunn, J. C. (2025). Detection and classification of captive coppery titi monkey calls. Bioacoustics, 34(4), 400–418. https://doi.org/10.1080/09524622.2025.2496497"	"Schniter_Penaherrera-Aguirre_2026"
"Callimico goeldii"	NA	"Callimico goeldii"	"Platyrrhine"	"Callitrichidae"	"28"	"28"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Callithrix jacchus"	NA	"Callithrix jacchus"	"Platyrrhine"	"Callitrichidae"	"13"	"8"	"Bosshard, A. B., Burkart, J. M., Merlo, P., Cathcart, C., Townsend, S. W., & Bickel, B. (2024). Beyond bigrams: Call sequencing in the common marmoset (Callithrix jacchus) vocal system. Royal Society Open Science, 11(11), 240218. https://doi.org/10.1098/rsos.240218"	"Schniter_Penaherrera-Aguirre_2026"
"Cebuella pygmaea"	"Callithrix pygmaea"	"Cebuella pygmaea"	"Platyrrhine"	"Callitrichidae"	"16"	"16"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Cebus olivaceus"	"Sapajus olivaceus"	"Cebus olivaceus"	"Platyrrhine"	"Cebidae"	"11"	"11"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Cercocebus torquatus"	NA	"Cercocebus torquatus"	"Cercopithecoid"	"Cercopithecidae"	"18"	"8"	"Bouchet, H., Pellier, A.-S., Blois-Heulin, C., & Lemasson, A. (2010). Sex differences in the vocal repertoire of adult red-capped mangabeys (Cercocebus torquatus): A multi-level acoustic analysis. American Journal of Primatology, 72(4), 360–375. https://doi.org/10.1002/ajp.20791"	"Schniter_Penaherrera-Aguirre_2026"
"Cercopithecus cephus"	NA	"Cercopithecus cephus"	"Cercopithecoid"	"Cercopithecidae"	"16"	"16"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Chlorocebus aethiops"	"Chlorocebus pygerythrus, Cercopithecus pygerythrus"	"Cercopithecus aethiops"	"Cercopithecoid"	"Cercopithecidae"	"25"	"25"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Daubentonia madagascariensis"	NA	"Daubentonia madagascariensis"	"Strepsirrhine"	"Daubentoniidae"	"9"	"9"	NA	"Schniter_Penaherrera-Aguirre_2026"
