"species_sci"	"Binomial"	"order"	"family"	"genus"	"species"	"Sample_size.brain"	"Sample_size.body"	"Sex"	"Mean_brain_mass_g"	"Mean_body_mass_g"	"BrainReference1"	"BrainReference2"	"Brain.resid"	"T_resid"
"Chrysochloris stuhlmanni"	"Chrysochloris_stuhlmanni"	"Afrosoricida"	"Chrysochloridae"	"Chrysochloris"	"stuhlmanni"	">2,<12"	NA	"Both"	"1.06"	"50.05"	"Boddy2012"	"Stephanetal.1981; Mace.etal.1981"	"0.010717303"	"0.172364142"
"Microgale cowani"	"Microgale_cowani"	"Afrosoricida"	"Tenrecidae"	"Microgale"	"cowani"	"1"	NA	NA	"0.42"	"15.2"	"Boddy2012"	"Stephanetal.1981"	"-0.003165331"	"0.041995912"
"Nesogale dobsoni"	"Microgale_dobsoni"	"Afrosoricida"	"Tenrecidae"	"Microgale"	"dobsoni"	"1"	NA	NA	"0.56"	"32.6"	"Boddy2012"	"Stephanetal.1981"	"-0.12675939"	"-0.007016914"
"Oryzorictes hova"	"Oryzorictes_hova"	"Afrosoricida"	"Tenrecidae"	"Oryzorictes"	"hova"	"1"	NA	NA	"0.58"	"44.2"	"Boddy2012"	"Stephanetal.1981"	"-0.210673837"	"-0.061176503"
"Echinops telfairi"	"Echinops_telfairi"	"Afrosoricida"	"Tenrecidae"	"Echinops"	"telfairi"	"2"	NA	NA	"0.62"	"87.5"	"Boddy2012"	"Stephanetal.1981"	"-0.404151525"	"-0.187902628"
"Chrysochloris asiatica"	"Chrysochloris_asiatica"	"Afrosoricida"	"Chrysochloridae"	"Chrysochloris"	"asiatica"	"1"	NA	NA	"0.7"	"49"	"Boddy2012"	"Stephanetal.1981"	"-0.162584458"	"-0.003010033"
"Nesogale talazaci"	"Microgale_talazaci"	"Afrosoricida"	"Tenrecidae"	"Microgale"	"talazaci"	"1"	NA	NA	"0.79"	"50.4"	"Boddy2012"	"Stephanetal.1981"	"-0.119231333"	"0.04309666"
"Micropotamogale lamottei"	"Micropotamogale_lamottei"	"Afrosoricida"	"Tenrecidae"	"Micropotamogale"	"lamottei"	NA	NA	NA	"0.8"	"69.59"	"Patzke.etal.2015/Pantheria"	"Baronetal.1996"	"-0.218856629"	"-0.024993133"
"Hemicentetes semispinosus"	"Hemicentetes_semispinosus"	"Afrosoricida"	"Tenrecidae"	"Hemicentetes"	"semispinosus"	"1"	NA	NA	"0.83"	"110"	"Boddy2012"	"Stephanetal.1981"	"-0.352004282"	"-0.113387221"
"Microgale mergulus"	"Limnogale_mergulus"	"Afrosoricida"	"Tenrecidae"	"Limnogale"	"mergulus"	"1"	NA	NA	"1.15"	"92"	"Boddy2012"	"Stephanetal.1981"	"-0.152180355"	"0.068970442"
"Setifer setosus"	"Setifer_setosus"	"Afrosoricida"	"Tenrecidae"	"Setifer"	"setosus"	"2"	NA	NA	"1.51"	"248"	"Boddy2012"	"Stephanetal.1981"	"-0.35690211"	"-0.038823251"
"Tenrec ecaudatus"	"Tenrec_ecaudatus"	"Afrosoricida"	"Tenrecidae"	"Tenrec"	"ecaudatus"	"3"	NA	NA	"2.84"	"907"	"Boddy2012"	"Stephanetal.1981"	"-0.504931307"	"-0.060104914"
"Potamogale velox"	"Potamogale_velox"	"Afrosoricida"	"Tenrecidae"	"Potamogale"	"velox"	"3"	NA	NA	"4.05"	"650"	"Boddy2012"	"Stephan.etal1981,Stolzenburg1989"	"-0.242273177"	"0.16998744"
"Tragelaphus scriptus"	"Tragelaphus_scriptus"	"Artiodactyla"	"Bovidae"	"Tragelaphus"	"scriptus"	"2"	NA	"Both"	"165"	"44225"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995"	"-0.006822764"	"-0.161779463"
"Rangifer tarandus"	"Rangifer_tarandus"	"Artiodactyla"	"Cervidae"	"Rangifer"	"tarandus"	"4"	NA	"Both"	"278"	"71700"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995"	"0.062348154"	"-0.094057929"
"Syncerus caffer"	"Syncerus_caffer"	"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"2"	NA	"Both"	"647.5"	"665440"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995; Quiring 1938"	"-0.296155855"	"0.046343583"
"Odocoileus virginianus"	"Odocoileus_virginianus"	"Artiodactyla"	"Cervidae"	"Odocoileus"	"virginianus"	"4"	NA	"F or both"	"210"	"65090"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995"	"-0.027973394"	"-0.113572186"
"Damaliscus pygargus"	"Damaliscus_pygargus"	"Artiodactyla"	"Bovidae"	"Damaliscus"	"pygargus"	"1"	NA	"Female"	"254.6"	"62500"	"Boddy2012"	"Sherwoodetal.2008; Myers 2006"	"0.068891523"	"-0.102912366"
"Tragelaphus eurycerus"	"Tragelaphus_eurycerus"	"Artiodactyla"	"Bovidae"	"Tragelaphus"	"eurycerus"	"1"	NA	"Female"	"389"	"253000"	"Boddy2012"	"Sherwoodetal.2008; Silva & Downing 1995"	"-0.202451842"	"-0.051649192"
"Hippopotamus amphibius"	"Hippopotamus_amphibius"	"Artiodactyla"	"Hippopotamidae"	"Hippopotamus"	"amphibius"	"1"	NA	"Female"	"720"	"1351000"	"Boddy2012"	"Crile & Quiring 1940"	"-0.480725087"	"0.081529715"
"Tragelaphus imberbis"	"Tragelaphus_imberbis"	"Artiodactyla"	"Bovidae"	"Tragelaphus"	"imberbis"	NA	NA	"Female"	"219"	"145000"	"IslerVanSchaik2012"	NA	"-0.270641272"	"-0.110823358"
"Kobus leche"	"Kobus_leche"	"Artiodactyla"	"Bovidae"	"Kobus"	"leche"	NA	NA	"Female"	"222.7"	"123000"	"IslerVanSchaik2012"	NA	"-0.209767508"	"-0.109742654"
"Dama dama"	"Dama_dama"	"Artiodactyla"	"Cervidae"	"Dama"	"dama"	NA	NA	"Female"	"224.5"	"37195"	"IslerVanSchaik2012"	NA	"0.183297615"	"-0.10502598"
"Tragelaphus angasii"	"Tragelaphus_angasii"	"Artiodactyla"	"Bovidae"	"Tragelaphus"	"angasii"	NA	NA	"Female"	"230"	"137000"	"IslerVanSchaik2012"	NA	"-0.230871804"	"-0.103654229"
"Lama glama"	"Lama_glama"	"Artiodactyla"	"Camelidae"	"Lama"	"glama"	NA	NA	"Female"	"264.2"	"90217"	"IslerVanSchaik2012"	NA	"-0.034591436"	"-0.101668657"
"Hippotragus niger"	"Hippotragus_niger"	"Artiodactyla"	"Bovidae"	"Hippotragus"	"niger"	NA	NA	"Female"	"282"	"165000"	"IslerVanSchaik2012"	NA	"-0.202923622"	"-0.093801768"
"Alcelaphus buselaphus"	"Alcelaphus_buselaphus"	"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	NA	NA	"Female"	"284.9"	"114750"	"IslerVanSchaik2012"	NA	"-0.080180755"	"-0.076639966"
"Damaliscus lunatus"	"Damaliscus_lunatus"	"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	NA	NA	"Female"	"290.6"	"111000"	"IslerVanSchaik2012"	NA	"-0.060755208"	"-0.069620978"
"Oryx gazella"	"Oryx_gazella"	"Artiodactyla"	"Bovidae"	"Oryx"	"gazella"	NA	NA	"Female"	"292"	"165000"	"IslerVanSchaik2012"	NA	"-0.187789879"	"-0.068228309"
"Tragelaphus buxtoni"	"Tragelaphus_buxtoni"	"Artiodactyla"	"Bovidae"	"Tragelaphus"	"buxtoni"	NA	NA	"Female"	"330"	"280000"	"IslerVanSchaik2012"	NA	"-0.30691594"	"-0.06615222"
"Tragelaphus strepsiceros"	"Tragelaphus_strepsiceros"	"Artiodactyla"	"Bovidae"	"Tragelaphus"	"strepsiceros"	NA	NA	"Female"	"361"	"280000"	"IslerVanSchaik2012"	NA	"-0.267922678"	"-0.056239023"
"Hippotragus equinus"	"Hippotragus_equinus"	"Artiodactyla"	"Bovidae"	"Hippotragus"	"equinus"	NA	NA	"Female"	"387.9"	"238375"	"IslerVanSchaik2012"	NA	"-0.184286624"	"-0.054181779"
"Taurotragus oryx"	"Taurotragus_oryx"	"Artiodactyla"	"Bovidae"	"Taurotragus"	"oryx"	NA	NA	"Female"	"440"	"4.00E+05"	"IslerVanSchaik2012"	NA	"-0.298154742"	"-0.041972457"
"Bos taurus"	"Bos_taurus"	"Artiodactyla"	"Bovidae"	"Bos"	"taurus"	NA	NA	"Female"	"452.8"	"46100"	"IslerVanSchaik2012"	NA	"0.418074773"	"-0.027385076"
"Bison bison"	"Bison_bison"	"Artiodactyla"	"Bovidae"	"Bison"	"bison"	NA	NA	"Female"	"458"	"431500"	"IslerVanSchaik2012"	NA	"-0.305432774"	"-0.021365042"
"Taurotragus derbianus"	"Taurotragus_derbianus"	"Artiodactyla"	"Bovidae"	"Taurotragus"	"derbianus"	NA	NA	"Female"	"534"	"9.00E+05"	"IslerVanSchaik2012"	NA	"-0.47820548"	"-0.00515188"
"Camelus dromedarius"	"Camelus_dromedarius"	"Artiodactyla"	"Camelidae"	"Camelus"	"dromedarius"	NA	NA	"Female"	"762"	"4.00E+05"	"IslerVanSchaik2012"	NA	"-0.059652447"	"0.104700001"
"Madoqua kirkii"	"Madoqua_kirkii"	"Artiodactyla"	"Bovidae"	"Madoqua"	"kirkii"	"1"	NA	"Male"	"37"	"4570"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995"	"0.083215547"	"-0.335198125"
"Eudorcas thomsonii"	"Eudorcas_thomsonii"	"Artiodactyla"	"Bovidae"	"Eudorcas"	"thomsonii"	"2"	NA	"Male"	"91.8"	"24370"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995"	"-0.067353007"	"-0.238592583"
"Phacochoerus aethiopicus"	"Phacochoerus_aethiopicus"	"Artiodactyla"	"Suidae"	"Phacochoerus"	"aethiopicus"	"1"	NA	"Male"	"125"	"65320"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995"	"-0.254431615"	"-0.192234679"
"Aepyceros melampus"	"Aepyceros_melampus"	"Artiodactyla"	"Bovidae"	"Aepyceros"	"melampus"	"2"	NA	"Male"	"175"	"57610"	"Boddy2012"	"Crile & Quiring 1940, Silva & Downing 1995"	"-0.067391977"	"-0.126951465"
"Axis axis"	"Axis_axis"	"Artiodactyla"	"Cervidae"	"Axis"	"axis"	"1"	NA	"Male"	"219"	"88450"	"Boddy2012"	"Crile & Quiring 1940; Silva & Downing 1995"	"-0.109637167"	"-0.111675767"
"Kobus ellipsiprymnus"	"Kobus_ellipsiprymnus"	"Artiodactyla"	"Bovidae"	"Kobus"	"ellipsiprymnus"	"1"	NA	"Male"	"290"	"188200"	"Boddy2012"	"Quiring 1938; Silva & Downing 1995"	"-0.233626883"	"-0.071506023"
"Connochaetes taurinus"	"Connochaetes_taurinus"	"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"2"	NA	"Male"	"443"	"212230"	"Boddy2012"	"Quiring 1938; Silva & Downing 1995"	"-0.088761881"	"-0.041483852"
"Giraffa camelopardalis"	"Giraffa_camelopardalis"	"Artiodactyla"	"Giraffidae"	"Giraffa"	"camelopardalis"	"2"	NA	"Male"	"700"	"1209000"	"Boddy2012"	"Crile & Quiring 1940; Quiring 1937; Silva & Downing 1995"	"-0.456787425"	"0.052666149"
"Tragulus javanicus"	"Tragulus_javanicus"	"Artiodactyla"	"Tragulidae"	"Tragulus"	"javanicus"	NA	NA	NA	"15.8"	"2037"	"IslerVanSchaik2012"	NA	"-0.02313279"	"-0.723395326"
"Moschiola meminna"	"Moschiola_meminna"	"Artiodactyla"	"Tragulidae"	"Moschiola"	"meminna"	"4"	NA	NA	"16.93"	"1997"	"Boddy2012"	"Warncke 1908"	"0.013326863"	"-0.541711662"
"Tragulus napu"	"Tragulus_napu"	"Artiodactyla"	"Tragulidae"	"Tragulus"	"napu"	"1"	NA	NA	"18.5"	"2510"	"Boddy2012"	"Warncke 1908"	"-0.022630794"	"-0.5100075"
"Hyemoschus aquaticus"	"Hyemoschus_aquaticus"	"Artiodactyla"	"Tragulidae"	"Hyemoschus"	"aquaticus"	NA	NA	NA	"25.2"	"10800"	"IslerVanSchaik2012"	NA	"-0.363718879"	"-0.45767788"
"Neotragus moschatus"	"Neotragus_moschatus"	"Artiodactyla"	"Bovidae"	"Neotragus"	"moschatus"	NA	NA	NA	"32"	"3250"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"0.131189452"	"-0.361083115"
"Philantomba maxwellii"	"Philantomba_maxwellii"	"Artiodactyla"	"Bovidae"	"Philantomba"	"maxwellii"	NA	NA	NA	"38"	"3357"	"IslerVanSchaik2012"	NA	"0.195271988"	"-0.324401208"
"Philantomba monticola"	"Philantomba_monticola"	"Artiodactyla"	"Bovidae"	"Philantomba"	"monticola"	NA	NA	NA	"48"	"5650"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"0.127155239"	"-0.317913259"
"Raphicerus campestris"	"Raphicerus_campestris"	"Artiodactyla"	"Bovidae"	"Raphicerus"	"campestris"	NA	NA	NA	"51.3"	"10200"	"IslerVanSchaik2012"	NA	"-0.036384196"	"-0.300707596"
"Hydropotes inermis"	"Hydropotes_inermis"	"Artiodactyla"	"Cervidae"	"Hydropotes"	"inermis"	NA	NA	NA	"52"	"11300"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.063857228"	"-0.300332494"
"Raphicerus melanotis"	"Raphicerus_melanotis"	"Artiodactyla"	"Bovidae"	"Raphicerus"	"melanotis"	NA	NA	NA	"55"	"10100"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.002929743"	"-0.287767607"
"Mazama americana"	"Mazama_americana"	"Artiodactyla"	"Cervidae"	"Mazama"	"americana"	NA	NA	NA	"56"	"3500"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"0.350088766"	"-0.278703123"
"Ourebia ourebi"	"Ourebia_ourebi"	"Artiodactyla"	"Bovidae"	"Ourebia"	"ourebi"	NA	NA	NA	"58.3"	"14617"	"IslerVanSchaik2012"	NA	"-0.098027641"	"-0.270578044"
"Oreotragus oreotragus"	"Oreotragus_oreotragus"	"Artiodactyla"	"Bovidae"	"Oreotragus"	"oreotragus"	NA	NA	NA	"59.4"	"11000"	"IslerVanSchaik2012"	NA	"0.002690273"	"-0.268692193"
