"Species"	"Frontal_GM_L_cm3"	"Frontal_GM_R_cm3"	"Frontal_WM_L_cm3"	"Frontal_WM_R_cm3"	"Temporal_GM_L_cm3"	"Temporal_GM_R_cm3"	"Temporal_WM_L_cm3"	"Temporal_WM_R_cm3"	"ParOcc_GM_L_cm3"	"ParOcc_GM_R_cm3"	"ParOcc_WM_L_cm3"	"ParOcc_WM_R_cm3"	"Insula_L_cm3"	"Insula_R_cm3"	"Claustrum_L_cm3"	"Claustrum_R_cm3"	"CerebellumHem_L_cm3"	"CerebellumHem_R_cm3"	"CerebellumVermis_cm3"	"Amygdala_L_cm3"	"Amygdala_R_cm3"	"Hippocampus_L_cm3"	"Hippocampus_R_cm3"	"Striatum_L_cm3"	"Striatum_R_cm3"	"Thalamus_cm3"	"Cerebellum_mm3"	"Neocortex_GMWM_mm3"	"Neocortex_GM_mm3"	"Striatum_mm3"	"Hippocampus_mm3"	"Amygdala_mm3"	"Insula_mm3"	"Thalamus_mm3"	"subjects"	"digitized_from"	"source"
"Gorilla beringei"	31	30	18.5	20.5	15	15.5	8.5	9	33	32	17.5	18	1.4	1.3	1	1	19.5	19	6	0.6	0.6	1.5	1.5	4.5	4.2	4.8	44500	248500	156500	8700	3000	1200	2700	4800	"all subjects"	"Fig 4A"	"Barks et al. 2014 AJPA 156:252-262, Fig 4A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
"Gorilla gorilla"	30.5	31	21.5	21	15	16	8.5	9	34.5	34.5	24.5	24	1.3	1.2	1.1	1	25	24.5	8	0.7	0.6	2	1.9	4.4	4.2	5.5	57500	270000	161500	8600	3900	1300	2500	5500	"all subjects"	"Fig 4A"	"Barks et al. 2014 AJPA 156:252-262, Fig 4A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
