species	body_weight_g	brain_weight_mg	total_brain_net_mm3	medulla_oblongata_mm3	cerebellum_mm3	mesencephalon_mm3	diencephalon_mm3	telencephalon_mm3	bulbus_olfactorius_mm3	palaeocortex_plus_amygdala_mm3	septum_mm3	striatum_mm3	schizocortex_mm3	hippocampus_mm3	neocortex_mm3	source
Loris gracilis	322	6600	6269	233	728	220	538	4551	88.1	256	41.1	351	99.7	191	3524	Stephan_etal_1970
Nycticebus coucang	800	12500	11755	528	1310	345	1077	8495	164	510	92	760	212	566	6192	Stephan_etal_1970
Perodicticus potto	1150	14000	13212	680	1699	391	1024	9418	312	661	114	712	328	607	6683	Stephan_etal_1970
Galago demidovii	81	3380	3203	169	413	135	246	2240	84.4	181	25.7	169	59.9	152	1568	Stephan_etal_1970
Galago senegalensis	186	4800	4512	254	672	205	382	2997	81.8	163	35.7	210	107	261	2139	Stephan_etal_1970
Galago crassicaudatus	850	10300	9602	477	1361	350	748	6666	180	405	70.6	504	178	412	4919	Stephan_etal_1970
Tarsius syrichta	87.5	3630	3416	185	422	171	279	2359	18.1	95	20.9	133	64.3	138	1890	Stephan_etal_1970
Callithrix jacchus	260	7600	7248	334	754	295	549	5316	28.4	224	49.7	332	85.2	238	4357	Stephan_etal_1970
Saguinus oedipus	405	10000	9576	345	958	340	729	7203	24.6	282	68.6	420	99.6	259	6050	Stephan_etal_1970
Saguinus tamarin	340	10300	9459	434	962	319	706	7038	16.8	203	43.6	415	113	278	5969	Stephan_etal_1970
Aotes trivirgatus	850	16000	15229	641	1661	427	1086	11414	60.3	394	92.9	779	255	479	9354	Stephan_etal_1970
Callicebus moloch	650	15500	14434	683	1287	469	1101	10894	16.8	425	64.7	721	212	481	8973	Stephan_etal_1970
Pithecia monacha	1500	35000	32836	1026	3961	782	2167	24901	38.2	699	123	1642	283	850	21266	Stephan_etal_1970
Alouatta seniculus	6400	51000	47749	1840	6349	1039	3217	35303	45.2	943	154	2566	428	1325	29843	Stephan_etal_1970
Cebus sp.	2600	73000	68672	1844	8560	1153	3999	53116	49.6	1186	212	3295	436	892	47045	Stephan_etal_1970
