table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S21	Globus pallidus	Globus pallidus	mouse	Mus musculus	FALSE	CMRgl	0.76	0.03	umol/g/min	NA	Bouilleret et al 2000
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	FALSE	CMRgl	0.46	0.02	umol/g/min	NA	Nehling et al 1988
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	FALSE	CMRgl	0.42	0.04	umol/g/min	NA	Dube et al 2001
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	FALSE	CMRgl	0.45	0.05	umol/g/min	NA	Waschke et al 1993
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	FALSE	CMRgl	0.44	0.06	umol/g/min	NA	Nehling et al 2000
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	FALSE	CMRgl	0.57	0.05	umol/g/min	NA	Zocchi et al 2001
S21	Globus pallidus	Globus pallidus	rat	Rattus norvegicus	FALSE	CMRgl	0.44	0.04	umol/g/min	NA	Levant et al 2004
S21	Globus pallidus	Globus pallidus	average rat	Rattus norvegicus	TRUE	CMRgl	0.46	0.04	umol/g/min	NA	
S21	Globus pallidus	Globus pallidus	rabbit	Oryctolagus cuniculus	FALSE	CMRgl	0.42	0.02	umol/g/min	NA	Passero et al 1981
S21	Globus pallidus	Globus pallidus	cat	Felis catus	FALSE	CMRgl	0.38	0.04	umol/g/min	NA	Schwartzman et al 1986
S21	Globus pallidus	Globus pallidus	cat	Felis catus	FALSE	CMRgl	0.44	0.1	umol/g/min	NA	Chugani et al 1991
S21	Globus pallidus	Globus pallidus	cat	Felis catus	FALSE	CMRgl	0.36	0.02	umol/g/min	NA	Sokoloff 1984
S21	Globus pallidus	Globus pallidus	average cat	Felis catus	TRUE	CMRgl	0.39	0.05	umol/g/min	NA	
S21	Globus pallidus	Globus pallidus	monkey	Macaca mulatta	FALSE	CMRgl	0.31	0.04	umol/g/min	NA	Porrino et al 2002
S21	Globus pallidus	Globus pallidus	monkey	Macaca mulatta	FALSE	CMRgl	0.26	0.02	umol/g/min	NA	Kennedy et al 1978
S21	Globus pallidus	Globus pallidus	monkey	Macaca mulatta	FALSE	CMRgl	0.27	0.02	umol/g/min	NA	Palombo et al 1990
S21	Globus pallidus	Globus pallidus	average monkey	Macaca mulatta	TRUE	CMRgl	0.28	0.03	umol/g/min	NA	
