"species"	"specimen"	"sex"	"sample"	"brain_volume_cm3"	"cerebellum_volume_cm3"	"vermis_volume_cm3"	"hemisphere_volume_cm3"	"stephan_collection"	"section_plane"	"brainweight_known"	"source"
"Cebus apella"	"Cebus apella (Binkey)"	"F"	"Yerkes"	60.1	5.4	1.7	3.7	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Cebus apella"	"Cebus apella (Diva)"	"F"	"Yerkes"	55.2	5.1	1.4	3.7	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Cebus apella"	"Cebus apella (Andy)"	"M"	"Yerkes"	73.2	7.7	2	5.7	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Cebus apella"	"Cebus apella (Vincent)"	"M"	"Yerkes"	77.3	7.6	2.2	5.5	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Macaca mulatta"	"Macaca mulatta (153C)"	"M"	"Yerkes"	72.8	6.3	1.8	4.5	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Macaca mulatta"	"Macaca mulatta (RAI5)"	"M"	"Yerkes"	82.3	7.7	2.8	4.9	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Macaca mulatta"	"Macaca mulatta (REG3)"	"M"	"Yerkes"	85.4	7.5	2.3	5.2	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Macaca mulatta"	"Macaca mulatta (RUL1)"	"M"	"Yerkes"	84.4	7.6	2.2	5.4	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Macaca mulatta"	"Macaca mulatta (RPE1)"	"M"	"Yerkes"	99.5	8.3	3	5.2	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Macaca mulatta"	"Macaca mulatta (RAK5)"	"NA"	"Yerkes"	NA	6	1.9	4.1	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Cercocebus torquatus atys"	"Cercocebus torquatus atys (FYF)"	"M"	"Yerkes"	97.9	10.6	2.9	7.7	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Cercocebus torquatus atys"	"Cercocebus torquatus atys (FSO)"	"M"	"Yerkes"	96.2	8.1	2.3	5.9	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Cercocebus torquatus atys"	"Cercocebus torquatus atys (FFK)"	"F"	"Yerkes"	97.8	7.4	1.9	5.5	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Cercocebus torquatus atys"	"Cercocebus torquatus atys (FWJ)"	"M"	"Yerkes"	103.5	8.5	2.1	6.4	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Saimiri sciureus"	"Saimiri sciureus (93M)"	"M"	"Yerkes"	23.6	2.1	1	1.1	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Saimiri sciureus"	"Saimiri sciureus (93I)"	"F"	"Yerkes"	23.7	1.9	0.8	1.1	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Saimiri sciureus"	"Saimiri sciureus (S104)"	"M"	"Yerkes"	20.8	2	0.8	1.2	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
"Saimiri sciureus"	"Saimiri sciureus (S105)"	"M"	"Yerkes"	24.3	2.2	0.9	1.2	"FALSE"	"coronal"	"TRUE"	"MacLeod_etal_2003"
