species	brain_volume_mm3	area10_volume_mm3	area10_hemisphere	n	source	note
Homo sapiens	1158300	14217.7	right	1	Semendeferi_etal_2001	
Pan troglodytes	393000	2239.2	right	1	Semendeferi_etal_2001	
Pan paniscus	378400	2804.9	right	1	Semendeferi_etal_2001	
Gorilla gorilla	362900	1942.5	right	1	Semendeferi_etal_2001	area 10 = frontal pole cortex
Pongo pygmaeus	356200	1611.1	right	1	Semendeferi_etal_2001	
Hylobates lar	88800	203.5	right	1	Semendeferi_etal_2001	
