species	Cerebellum	Neocortex_GMWM	Neocortex_GM	Striatum	Hippocampus	Amygdala	Insula_GM	n_decasien_entries	source
Gorilla beringei	44135.0942	251206.0682	159055.4235	8658.0126	2969.4748	1198.4802	2714.7171	14	Barks_etal_2014_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 65)
Gorilla gorilla	57953.0908	275074.1287	164322.0256	8614.96	3927.9239	1312.923	2491.8503	19	Barks_etal_2014_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 65)
