"species"	"primary_visual_surface"	"prefrontal_surface"	"other_association_surface"	"frontal_motor_surface"	"source"
"Callithrix_jacchus"	341	148	993	167	"Smaers_etal_2017"
"Saimiri_sciureus"	744	NA	NA	NA	"Smaers_etal_2017"
"Cebus_apella"	1786	1260	8814	1822	"Smaers_etal_2017"
"Macaca_mulatta"	1866	1733	9892	1817	"Smaers_etal_2017"
"Papio_cynocephalus"	2559	2111	13506	2200	"Smaers_etal_2017"
"Papio_hamadryas"	2130	1967	13599	2898	"Smaers_etal_2017"
"Mandrillus_sphinx"	3537	2168	23422	2194	"Smaers_etal_2017"
"Hylobates_lar"	1899	1839	10912	1651	"Smaers_etal_2017"
"Pan_troglodytes_troglodytes"	3212	6719	24252	5389	"Smaers_etal_2017"
"Homo_sapiens"	3495	30234	68355	6117	"Smaers_etal_2017"
