"species"	"weighting"	"region"	"measure"	"units"	"N"	"Mean"	"SD"	"CV"	"CVstar"	"note"
"Homo"	"unweighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	22	29.31	4.42	15.07	15.24	NA
"Homo"	"weighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	216	29.98	5.28	17.61	17.63	NA
"Macaca"	"unweighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	5	43.15	11.6	26.88	28.22	NA
"Macaca"	"weighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	28	40.66	11.05	27.18	27.42	NA
"Canis"	"unweighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	1	44.5	5	11.24	14.04	NA
"Canis"	"weighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	8	44.5	5	11.24	11.59	NA
"Rattus"	"unweighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	13	75.24	13.01	17.29	17.62	NA
"Rattus"	"weighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	205	76.89	19.83	25.79	25.82	NA
"Mus"	"unweighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	4	68.03	8.42	12.38	13.15	NA
"Mus"	"weighted"	"Whole Brain"	"CMRgl"	"umol/100g/min"	37	67.53	8.88	13.15	13.24	NA
"Homo"	"unweighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	37	156.92	18.64	11.88	11.96	NA
"Homo"	"weighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	358	155.44	27.19	17.49	17.5	NA
"Macaca"	"unweighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	4	244.19	74.13	30.36	32.25	NA
"Macaca"	"weighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	22	214.93	57.89	26.93	27.24	NA
"Canis"	"unweighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	1	205.4	22.3	10.86	13.57	NA
"Canis"	"weighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	8	205.4	22.3	10.86	11.2	NA
"Rattus"	"unweighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	7	428.71	69.91	16.31	16.89	NA
"Rattus"	"weighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	106	429.41	76.12	17.73	17.77	NA
"Lepus"	"unweighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	1	205.4	17.9	8.71	10.89	NA
"Lepus"	"weighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	38	205.4	17.9	8.71	8.77	NA
"Ovis"	"unweighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	3	223.8	20.44	9.14	9.9	NA
"Ovis"	"weighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	18	217.93	47.49	21.79	22.09	NA
"Capra"	"unweighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	2	173.43	26.83	15.47	17.4	NA
"Capra"	"weighted"	"Whole Brain"	"CMRO2"	"umol/100g/min"	23	182.5	14.03	7.69	7.77	NA
"Homo"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	35	53.06	7.04	13.27	13.36	NA
"Homo"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	335	53.25	9.14	17.16	17.18	NA
"Macaca"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	4	74.93	23.84	31.82	33.81	NA
"Macaca"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	22	67.33	11.55	17.15	17.35	NA
"Canis"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	1	30.8	6.6	21.43	26.79	NA
"Canis"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	12	30.8	6.6	21.43	21.88	NA
"Rattus"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	7	101.86	7.9	7.76	8.04	NA
"Rattus"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	106	103.08	18.73	18.17	18.21	NA
"Mus"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	1	117	20	17.09	21.37	NA
"Mus"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	5	117	20	17.09	17.95	NA
"Lepus"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	1	48	18.5	38.54	48.18	NA
"Lepus"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	38	48	18.5	38.54	38.8	NA
"Meriones"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	1	102	12.6	12.35	15.44	NA
"Meriones"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	10	102	12.6	12.35	12.66	NA
"Ovis"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	4	64.85	9.93	15.31	16.27	NA
"Ovis"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	30	62.01	11.39	18.37	18.52	NA
"Capra"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	1	77	7	9.09	11.36	NA
"Capra"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	17	77	7	9.09	9.22	NA
"Equus"	"unweighted"	"Whole Brain"	"CBF"	"mL/100g/min"	2	65.4	4.81	7.35	8.27	NA
"Equus"	"weighted"	"Whole Brain"	"CBF"	"mL/100g/min"	18	64.27	14.17	22.05	22.35	NA
"Homo"	"unweighted"	"Cortex"	"CMRgl"	"umol/100g/min"	49	35.68	6.4	17.94	18.03	NA
"Homo"	"weighted"	"Cortex"	"CMRgl"	"umol/100g/min"	650	36.78	6.88	18.7	18.71	NA
"Macaca"	"unweighted"	"Cortex"	"CMRgl"	"umol/100g/min"	10	50.45	7.95	15.76	16.15	NA
"Macaca"	"weighted"	"Cortex"	"CMRgl"	"umol/100g/min"	46	49.99	6.02	12.04	12.11	NA
"Rattus"	"unweighted"	"Cortex"	"CMRgl"	"umol/100g/min"	49	99.14	15.53	15.67	15.75	NA
"Rattus"	"weighted"	"Cortex"	"CMRgl"	"umol/100g/min"	360	98.91	12.37	12.51	12.52	NA
"Mus"	"unweighted"	"Cortex"	"CMRgl"	"umol/100g/min"	8	97.88	26.83	27.41	28.27	NA
"Mus"	"weighted"	"Cortex"	"CMRgl"	"umol/100g/min"	43	98.9	11.99	12.12	12.19	NA
"Lepus"	"unweighted"	"Cortex"	"CMRgl"	"umol/100g/min"	1	77.42	17.9	23.12	28.9	NA
"Lepus"	"weighted"	"Cortex"	"CMRgl"	"umol/100g/min"	5	77.42	17.9	23.12	24.28	NA
"Felis"	"unweighted"	"Cortex"	"CMRgl"	"umol/100g/min"	2	62.3	21.64	34.73	39.07	NA
"Felis"	"weighted"	"Cortex"	"CMRgl"	"umol/100g/min"	11	66.47	12.19	18.34	18.76	NA
"Meriones"	"unweighted"	"Cortex"	"CMRgl"	"umol/100g/min"	3	78.51	16.38	20.87	22.61	NA
"Meriones"	"weighted"	"Cortex"	"CMRgl"	"umol/100g/min"	13	73.35	15.62	21.29	21.7	NA
"Homo"	"unweighted"	"Cortex"	"CMRO2"	"umol/100g/min"	13	150.73	20.23	13.42	13.68	NA
