"Species"	"Reference"	"n"	"Anesthesia"	"Mode"	"Region"	"CMRgl_umol_100g_min"	"CMRgl_SD"	"CMRO2_umol_100g_min"	"CMRO2_SD"	"CBF_ml_100g_min"	"CBF_SD"	"source"
"Homo"	"(Bartlett et al., 1994)"	9	"none"	"PET"	"Cerebellum"	34.5	4.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Bromberg et al., 1990)"	12	"none"	"PET"	"Cerebellum"	32.4	6.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Brooks et al., 1987)"	27	"none"	"PET"	"Cerebellum"	30.6	6.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Clark et al., 2001)"	32	"none"	"PET"	"Cerebellum"	44.6	6.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Duara et al., 1983)"	18	"none"	"PET"	"Cerebellum"	25.1	6.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Gilman et al., 1990)"	13	"none"	"PET"	"Cerebellum"	28.8	6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Gilman et al., 1990)"	10	"none"	"PET"	"Cerebellum"	33.1	6.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Heiss et al., 1985)"	6	"none"	"PET"	"Cerebellum"	32.9	6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hirono et al., 2000)"	15	"none"	"PET"	"Cerebellum"	38.4	4.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hu et al., 2000)"	9	"none"	"PET"	"Cerebellum"	29.4	7.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Ludolph et al., 1992)"	12	"none"	"PET"	"Cerebellum"	37.1	9.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Perani et al., 1995)"	15	"none"	"PET"	"Cerebellum"	33.9	3.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Phillips et al., 1991)"	14	"none"	"PET"	"Cerebellum"	29.3	6.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Rudolf et al., 2000)"	16	"none"	"PET"	"Cerebellum"	33.1	4.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Rudolf et al., 2002)"	9	"none"	"PET"	"Cerebellum"	28	NA	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Sachs et al., 1986)"	25	"none"	"PET"	"Cerebellum"	43.3	6.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Schapiro et al., 1990)"	13	"none"	"PET"	"Cerebellum"	40.4	7.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Tommasino et al., 1995)"	10	"none"	"PET"	"Cerebellum"	32.5	5.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Volkow et al., 1992)"	11	"none"	"PET"	"Cerebellum"	31.8	4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Wu et al., 1992)"	15	"none"	"PET"	"Cerebellum"	19.2	5.4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"Present Study"	5	"none"	"PET"	"Cerebellum"	34.9	6.4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(De Voider et al., 1997)"	3	"none"	"PET"	"Cerebellum"	33.1	4.7	167.7	23	52.7	8.6	"Kaufman__2004"
"Homo"	"(Yamaguchi et a l, 1992a)"	14	"none"	"PET"	"Cerebellum"	NA	NA	183.5	32.6	51.1	9.2	"Kaufman__2004"
"Homo"	"(Leenders et al., 1990)"	34	"none"	"PET"	"Cerebellum"	NA	NA	150.5	21.9	49.4	9.9	"Kaufman__2004"
"Homo"	"(Ishii et al., 1996b)"	14	"none"	"PET"	"Cerebellum"	NA	NA	246.4	54.5	87.1	19.1	"Kaufman__2004"
"Homo"	"(Kaisti et al., 2003)"	8	"none"	"PET"	"Cerebellum"	NA	NA	210.3	21.9	48.4	3.6	"Kaufman__2004"
"Homo"	"(Kaisti et al., 2003)"	8	"Sevoflurane"	"PET"	"Cerebellum"	NA	NA	118.8	9.4	35.4	NA	"Kaufman__2004"
"Homo"	"(Bums and Tyrrell, 1992)"	4	"none"	"PET"	"Cerebellum"	NA	NA	171	21	NA	NA	"Kaufman__2004"
"Homo"	"(Langsjo et al., 2003)"	10	"none"	"PET"	"Cerebellum"	NA	NA	175	29.5	NA	NA	"Kaufman__2004"
"Homo"	"(Mintun et al., 1984)"	5	"none"	"PET"	"Cerebellum"	NA	NA	163	26.8	NA	NA	"Kaufman__2004"
"Papio"	"(Meguro et al., 1999)"	8	"Phencyclidine, N 20"	"PET"	"Cerebellum"	35.2	6.7	NA	NA	NA	NA	"Kaufman__2004"
"Papio"	"Present Study"	2	"N20"	"PET"	"Cerebellum"	41.2	5.2	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Brownell et al., 1994)"	2	"Ketamine"	"PET"	"Cerebellum"	36	2	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Cross et al., 2000)"	6	"none"	"PET"	"Cerebellum"	30.8	5.9	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1988)"	3	"none"	"Sokoloff"	"Cerebellum"	25.5	2.6	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1990)"	4	"none"	"Sokoloff"	"Cerebellum"	24.5	4	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Porrino et al., 1987)"	3	"none"	"Sokoloff"	"Cerebellum"	25	3	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Noda et al., 2002)"	6	"none"	"PET"	"Cerebellum"	26.8	5.9	NA	NA	47.8	NA	"Kaufman__2004"
"M fascic"	"(Brownell et al., 1994)"	1	"Ketamine"	"PET"	"Cerebellum"	48	4	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Lyons et al., 1996)"	3	"none"	"Sokoloff"	"Cerebellum"	36	1.7	NA	NA	NA	NA	"Kaufman__2004"
"Saimiri"	"(Delgado-Zygmunt et al., 1993)"	4	"Fentanyl, N 20"	"Sokoloff"	"Cerebellum"	68	5	NA	NA	NA	NA	"Kaufman__2004"
"Sus"	"(Miller et al., 1987)"	4	"Pentobarbital"	"Microspheres"	"Cerebellum"	NA	NA	NA	NA	42	NA	"Kaufman__2004"
"Sus"	"(Manohar, 1986)"	6	"none"	"Microspheres"	"Cerebellum"	NA	NA	NA	NA	88.8	NA	"Kaufman__2004"
"Sus"	"(Manohar, 1986)"	6	"Sevoflurane"	"Microspheres"	"Cerebellum"	NA	NA	NA	NA	70	NA	"Kaufman__2004"
"Sus"	"(Manohar, 1986)"	6	"Sevoflurane"	"Microspheres"	"Cerebellum"	NA	NA	NA	NA	89.8	NA	"Kaufman__2004"
"Felis"	"(Petitjean et al., 1982)"	4	"awake"	"Sokoloff"	"Cerebellum"	31.5	6	NA	NA	NA	NA	"Kaufman__2004"
"Felis"	"(Triolo et al., 1990)"	6	"N 20"	"Sokoloff"	"Cerebellum"	26.2	2.7	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Choki et al., 1983)"	6	"none"	"Sokoloff"	"Cerebellum"	44.4	14.4	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Choki et al., 1984)"	3	"N 20"	"Sokoloff"	"Cerebellum"	56	23	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Suzuki et al., 1983)"	7	"Halothane"	"Sokoloff"	"Cerebellum"	NA	NA	NA	NA	137	NA	"Kaufman__2004"
"Meriones"	"(Van Uitert and Levy, 1978)"	10	"none"	"Sokoloff"	"Cerebellum"	NA	NA	NA	NA	93	NA	"Kaufman__2004"
"Rattus"	"(B linetal., 1991)"	10	"none"	"Sokoloff"	"Cerebellum"	39.5	6.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bryan and Lehman, 1988)"	10	"none"	"Sokoloff"	"Cerebellum"	55	9.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crane and Porrino, 1989)"	6	"none"	"Sokoloff"	"Cerebellum"	46.5	0.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crane and Porrino, 1989)"	6	"none"	"Sokoloff"	"Cerebellum"	45.5	2.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crosby et al., 1982)"	8	"none"	"Sokoloff"	"Cerebellum"	54	7.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Davis et al., 1986)"	10	"none"	"Sokoloff"	"Cerebellum"	67.5	13.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Duelli et al., 2000)"	5	"none"	"Sokoloff"	"Cerebellum"	37.5	3.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Eintrei et al., 1999)"	6	"none"	"Sokoloff"	"Cerebellum"	47	3.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Freedland et al., 2002)"	5	"none"	"Sokoloff"	"Cerebellum"	70.6	6.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Frietsch et al., 2000)"	12	"none"	"Sokoloff"	"Cerebellum"	35	4.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Frietsch et al., 2000)"	12	"Isoflurane"	"Sokoloff"	"Cerebellum"	18.5	4.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Grome and McCulloch, 1983)"	6	"none"	"Sokoloff"	"Cerebellum"	51	11.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Hakim etal., 1983)"	7	"none"	"Sokoloff"	"Cerebellum"	59.5	7.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Hawkins et al., 1979)"	19	"none"	"Sokoloff"	"Cerebellum"	62.5	15.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Hawkins et al., 1985)"	9	"none"	"Sokoloff"	"Cerebellum"	73.7	8.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ingvar and Siesjo, 1982)"	6	"none"	"Sokoloff"	"Cerebellum"	39	2.4	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ingvar and Siesjo, 1982)"	10	"N 20"	"Sokoloff"	"Cerebellum"	39	3.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Lear etal., 1981)"	4	"none"	"Sokoloff"	"Cerebellum"	55	8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Lenzetal., 1998)"	6	"none"	"Sokoloff"	"Cerebellum"	50	8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Lu et al., 1983)"	10	"none"	"Sokoloff"	"Cerebellum"	61	11.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(MacNeill and Bryan, 1988)"	10	"none"	"Sokoloff"	"Cerebellum"	79	6.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Maekawa et al., 1986)"	6	"none"	"Sokoloff"	"Cerebellum"	34.5	6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(O rzietal., 1983)"	5	"none"	"Sokoloff"	"Cerebellum"	39	8.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Savaki et al., 1983)"	7	"none"	"Sokoloff"	"Cerebellum"	44	23.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Schwartz and Crosby, 1985)"	6	"none"	"Sokoloff"	"Cerebellum"	64.5	8.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"("	NA	NA	"Sokoloff"	"Cerebellum"	1977	10	61	2	NA	NA	"Kaufman__2004"
"Rattus"	"(Soncrant et al., 1992)"	16	"none"	"Sokoloff"	"Cerebellum"	54	4	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Wechsler et al., 1979)"	5	"none"	"Sokoloff"	"Cerebellum"	55	6.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Whitlow et al., 2002)"	5	"none"	"Sokoloff"	"Cerebellum"	70.5	11.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Walker et al., 1999)"	5	"none"	"Sokoloff"	"Cerebellum"	59.2	3.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Cremer and Seville, 1983)"	8	"none"	"Sokoloff"	"Cerebellum"	NA	NA	NA	NA	89	NA	"Kaufman__2004"
"Rattus"	"(Dahlgren et al., 1981a)"	6	"none"	"Sokoloff"	"Cerebellum"	NA	NA	NA	NA	144	NA	"Kaufman__2004"
"Mus"	"(Ito et al., 1994)"	5	"none"	"Sokoloff"	"Cerebellum"	80	8.9	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Jay etal., 1985)"	8	"none"	"Sokoloff"	"Cerebellum"	98	14.1	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Niwa et al., 2002)"	6	"none"	"Sokoloff"	"Cerebellum"	93	9	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Niwa et al., 2002)"	6	"none"	"Sokoloff"	"Cerebellum"	91	14	NA	NA	NA	NA	"Kaufman__2004"
