"Species"	"Reference"	"n"	"Anesthesia"	"Mode"	"Region"	"CMRgl_umol_100g_min"	"CMRgl_SD"	"CMRO2_umol_100g_min"	"CMRO2_SD"	"CBF_ml_100g_min"	"CBF_SD"	"source"
"Homo"	"(Alkire et al., 1995)"	6	"none"	"PET"	"Parietal Cortex"	37.2	11.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Baxter et al., 1987)"	7	"none"	"PET"	"Parietal Cortex"	23	1.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Baxter et al., 1987)"	7	"none"	"PET"	"Parietal Cortex"	29.3	5.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Bokde et al., 2001)"	18	"none"	"PET"	"Parietal Cortex"	45	7.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Brooks et al., 1987)"	27	"none"	"PET"	"Parietal Cortex"	36.1	7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Buchsbaum et al., 1989)"	10	"none"	"PET"	"Parietal Cortex"	23.2	6.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Chugani et al., 1987)"	7	"none"	"PET"	"Parietal Cortex"	24.2	3.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Clark et al., 2001)"	32	"none"	"PET"	"Parietal Cortex"	51.5	8.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Delvenne et al., 1997)"	10	"none"	"PET"	"Parietal Cortex"	32.3	2.4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Delvenne et al., 1997)"	10	"none"	"PET"	"Parietal Cortex"	32.2	2.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Duara et al., 1983)"	18	"none"	"PET"	"Parietal Cortex"	31	7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hasselbalch et al., 1994)"	9	"none"	"PET"	"Parietal Cortex"	26.6	5.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Haxby et al., 1985)"	26	"none"	"PET"	"Parietal Cortex"	28.1	7.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Heiss et al., 1985)"	6	"none"	"PET"	"Parietal Cortex"	38.5	2.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hirono et al., 2000)"	15	"none"	"PET"	"Parietal Cortex"	41.2	5.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hu et al., 2000)"	9	"none"	"PET"	"Parietal Cortex"	58.5	7.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Ishii et al., 1998)"	22	"none"	"PET"	"Parietal Cortex"	42.6	5.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Kaye et al., 1990)"	12	"none"	"PET"	"Parietal Cortex"	31.4	5.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Kuhl et al., 1979)"	8	"none"	"PET"	"Parietal Cortex"	35.7	4.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Kuhl et al., 1982)"	25	"none"	"PET"	"Parietal Cortex"	35.7	7.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Mazziotta et al., 1981)"	7	"none"	"PET"	"Parietal Cortex"	43.1	9.9	NA	NA	NA	NA	"Kaufman__2004"
