Species	BV	Amygdala	n_decasien_entries	source
Pan paniscus	312532.175	1397.5133	6	Stimpson_etal_2015_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 58)
Pan troglodytes	338375.6205	1702.5314	7	Stimpson_etal_2015_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 58)
