"Specimen"	"Specimen_printed"	"Group_code"	"Group_label"	"n"	"CBLM_cc"	"CBLM_Vol.mm3"	"BoMass_kg"	"Body_Mass.g"	"BrMass_g"	"Brain_Mass.mg"	"NetBrain_g"	"NetBrain_Mass.mg"	"CQ"	"EQ"	"source"
"KNM-ER 1470"	"KNM-ER 1470"	"09-HH"	"Homo habilis"	NA	69.65	69650	52	52000	710.95	710950	641.29	641290	1.03	3.15	"Weaver__2001"
"Zh Loc E /III"	"Zh Loc E /III"	"10-HE"	"Homo erectus"	NA	98.37	98370	61.8	61800	859.54	859540	761.17	761170	1.25	3.34	"Weaver__2001"
"KNM-WT 15000"	"KNM-WT 15000"	"10-HE"	"Homo erectus"	NA	77.73	77730	68	68000	823.52	823520	745.79	745790	1	2.97	"Weaver__2001"
"Pith VIII /Sangiran 17"	"Pith VIII /Sangiran 17"	"10-HE"	"Homo erectus"	NA	90.05	90050	61.8	61800	949.01	949010	858.96	858960	1.02	3.68	"Weaver__2001"
"KNM-ER 3733"	"KNM-ER 3733"	"10-HE"	"Homo erectus"	NA	89.11	89110	61.8	61800	765.1	765100	675.99	675990	1.26	2.97	"Weaver__2001"
"KNM-ER 3883"	"KNM-ER 3883"	"10-HE"	"Homo erectus"	NA	64.29	64290	61.8	61800	722.47	722470	658.19	658190	0.93	2.8	"Weaver__2001"
"Trinil 2/Pith I"	"Trinil 2/Pith I"	"10-HE"	"Homo erectus"	NA	98.32	98320	61.8	61800	928.2	928200	829.89	829890	1.15	3.6	"Weaver__2001"
"Zhoukoudian Locus LI"	"Zhoukoudian Locus LI"	"10-HE"	"Homo erectus"	NA	92.59	92590	61.8	61800	1162.65	1162650	1070.06	1070060	0.86	4.51	"Weaver__2001"
"Broken Hill/Kabwe"	"Broken Hill/Kabwe"	"11-EAH"	"Early Archaic Homo sapiens"	NA	116.48	116480	65.6	65600	1205.39	1205390	1088.92	1088920	1.06	4.47	"Weaver__2001"
"Swanscombe"	"Swanscombe"	"11-EAH"	"Early Archaic Homo sapiens"	NA	82.58	82580	65.6	65600	1184.63	1184630	1102.06	1102060	0.74	4.39	"Weaver__2001"
"La Chapelle I"	"La Chapelle I"	"12-LAH"	"Late Archaic Homo sapiens (Neanderthals)"	NA	119.01	119010	76.41	76410	1516.76	1516760	1397.74	1397740	0.86	5.01	"Weaver__2001"
"La Ferrassie I"	"La Ferrassie I"	"12-LAH"	"Late Archaic Homo sapiens (Neanderthals)"	NA	118.33	118330	84.99	84990	1575.83	1575830	1457.5	1457500	0.82	4.8	"Weaver__2001"
"Gibraltar/Forbes Quarry"	"Gibraltar/Forbes Quarry"	"12-LAH"	"Late Archaic Homo sapiens (Neanderthals)"	NA	81.71	81710	76	76000	1185.58	1185580	1103.87	1103870	0.74	3.93	"Weaver__2001"
"Cro-Magnon"	"Cro-Magnon"	"13-EMH"	"Early Modern Homo sapiens"	NA	118.92	118920	67.55	67550	1477.34	1477340	1358.42	1358420	0.88	5.36	"Weaver__2001"
"Homo sapiens (MRI)"	"Homo sapiens (MRI)"	"14-RH"	"Recent Homo sapiens"	NA	140.5	140500	58.2	58200	1302	1302000	1161.5	1161500	1.21	5.29	"Weaver__2001"
