Species,Species_Sherwood_2005,Number_Sherwood2005,Medulla_oblongata_2005,Medulla_oblongata_SD,Vmo,Vmo_SD,VII,VII_SD,XII,XII_SD,,,,,,,,,,               
AAAAA,Sherwood_2005,N,Medulla volume Mean,Medulla volume SD,Vmo volume Mean, Vmo volume SD,VII volume Mean,VII volume SD,XII volume Mean,XII volume SD,,,,,,,,,,
Microcebus murinus,Microcebus murinus,6,99.03,12.49,0.13,0.02,0.29,0.06,0.25,0.03,,,,,,,,,,
Cheirogaleus major,Cheirogaleus major,2,381.62,17.17,0.52,0.12,0.78,0.01,0.92,0.28,,,,,,,,,,
Cheirogaleus medius,Cheirogaleus medius,2,202.38,5.62,0.3,0.06,0.52,0.01,0.57,0.06,,,,,,,,,,
Eulemur fulvus,Eulemur fulvus,3,909.39,93.37,1.04,0.2,1.39,0.15,1.52,0.26,,,,,,,,,,
Varecia variegata,Varecia variegata,1,1420,-,1.61,-,2.65,-,3.13,-,,,,,,,,,,
Lepilemur ruficaudatus,Lepilemur ruficaudatus,3,449.28,48.21,0.69,0.09,0.91,0.08,1.15,0.23,,,,,,,,,,
Avahi laniger,Avahi laniger laniger,2,553.35,27.87,0.88,0.12,1.07,0.08,0.74,0.03,,,,,,,,,,
Avahi occidentalis,Avahi laniger occidentalis,2,508.46,57.67,0.82,0.06,0.81,0,0.62,0.01,,,,,,,,,,
Propithecus verreauxi,Propithecus verreauxi,2,1222.63,32.91,1.68,0.32,1.96,0.01,1.62,0.13,,,,,,,,,,
Indri indri,Indri indri,2,1342.01,47.53,1.72,0.21,2.45,0.3,1.84,0.18,,,,,,,,,,
Daubentonia madagascariensis,Daubentonia madagascariensis,1,1517.1,-,1.91,-,2,-,2.19,-,,,,,,,,,,
Loris tardigradus,Loris tardigradus,2,287.23,77.13,0.53,0.14,0.56,0.1,0.47,0.02,,,,,,,,,,
Nycticebus coucang,Nycticebus coucang,2,528.14,27.69,1.04,0.27,0.95,0.12,0.76,0.21,,,,,,,,,,
Perodicticus potto,Perodicticus potto,2,679.74,8.71,1.11,0.22,1.29,0.31,1.28,0.19,,,,,,,,,,
Galago senegalensis,Galago senegalensis,1,254.3,-,0.29,-,0.59,-,0.35,-,,,,,,,,,,
Otolemur crassicaudatus,Otolemur crassicaudatus,2,539.87,89.56,0.87,0.05,1.41,0.19,0.81,0.26,,,,,,,,,,
Galagoides demidoff,Galagoides demidoff,2,169.13,14.08,0.22,0.02,0.48,0.01,0.28,0.04,,,,,,,,,,
Tarsius sp.,Tarsius syrichta,2,206.85,32.59,0.36,0.05,0.75,0.18,0.28,0.08,,,,,,,,,,
Callithrix jacchus,Callithrix jacchus,4,318.24,39.74,0.47,0.07,0.54,0.1,0.44,0.04,,,,,,,,,,
Callithrix pygmaea,Cebuella pygmaea,2,185,10.47,0.28,0.07,0.27,0,0.28,0.05,,,,,,,,,,
Saguinus midas,Saguinus midas,2,428.47,8.48,0.52,0.02,0.63,0.03,0.56,0.04,,,,,,,,,,
Saguinus oedipus,Saguinus oedipus,3,413.31,64.68,0.54,0.09,0.5,0.1,0.62,0.07,,,,,,,,,,
Callimico goeldii,Callimico goeldii,1,460.1,-,0.55,-,0.48,-,0.54,-,,,,,,,,,,
Cebus albifrons,Cebus albifrons,2,1738.26,78.27,2.16,0.13,2.47,0.55,1.98,0.25,,,,,,,,,,
Aotus trivirgatus,Aotus trivirgatus,4,675.3,54.99,0.86,0.12,1.24,0.34,0.87,0.13,,,,,,,,,,
Callicebus moloch,Callicebus moloch,2,786.82,71.55,1,0.14,1.18,0.13,0.98,0.01,,,,,,,,,,
Saimiri sciureus,Saimiri sciureus,1,721.53,-,0.76,-,0.84,-,0.82,-,,,,,,,,,,
Pithecia monachus,Pithecia monachus,2,1008.88,24.08,1.32,0.18,1.34,0.1,1.36,0.19,,,,,,,,,,
Alouatta seniculus,Alouatta seniculus,2,1593.25,400.5,2.26,0.58,1.73,0.62,1.62,0.42,,,,,,,,,,
Ateles geoffroyi,Ateles geoffroyi,1,1833.67,-,1.8,-,1.65,-,1.78,-,,,,,,,,,,
Lagothrix lagothricha,Lagothrix lagothricha,3,2109.54,323.24,2.56,0.47,2.68,0.34,2.13,0.34,,,,,,,,,,
