Species,Species_Frahm98,Number_MT_Frahm98,Body_weight,Brain_weight,Area_striata_grey_matter_98,Area_striata_new,Middle_temporal_visual_area,Corpus_geniculatum_laterale,Corpus_geniculatum_laterale_new
AAAAanatomy,Frahm_1998,Frahm_1998,BoW,BrW,AS,Frahm_1998,MT,CGL,Frahm_1998
Microcebus murinus,Microcebus murinus,,54,1780,136,,13.2,7.1,
Cheirogaleus major,Cheirogaleus major,,450,6800,433,,52.1,21.5,
Indri indri,Indri indri,,6250,38300,1648,,161.6,94.5,
Loris tardigradus,Loris tardigradus,,322,6600,529,,32.9,24.6,
Galago senegalensis,Galago senegalensis,,186,4800,301,,39.8,16,
Otolemur crassicaudatus,Otolemur crassicaudatus,,850,10300,479,,47.5,23.2,
Galagoides demidoff,Galagoides demidoff,2,81,3380,214,,19.7,10.9,
Tarsius sp.,Tarsius spec.,,125,3600,349,,49.7,20.8,
Callithrix jacchus,Callithrix jacchus,3,280,7600,566,,68.2,25.1,
Cebuella pygmaea,Cebuella pygmaea,,120,4150,363,,41.9,16.9,
Saguinus midas,Saguinus midas,,340,10300,841,,91,36,
Saguinus oedipus,Saguinus oedipus,,380,10000,807,,103.1,34.2,
Callimico goeldii,Callimico goeldii,,480,11000,987,x,113.7,31.7,x
Cebus albifrons,Cebus spec.,,3100,71000,3764,,152.4,137,
Aotus trivirgatus,Aotus trivirgatus,,830,17100,996,,99.5,32.9,
Callicebus moloch,Callicebus moloch,2,900,19000,1201,,92.1,54.2,
Pithecia monachus,Pithecia monachus,,1500,35000,1679,,103.2,76.3,
Alouatta seniculus,Alouatta seniculus,,6400,52000,1918,,220,87.4,
Macaca mulatta,Macaca mulatta,,7800,93000,5343,,332,158,
Lophocebus albigena,Cercocebus albigena,,7900,104000,5420,,362.7,182,
Papio anubis,Papio anubis,,25000,201000,10001,,1052.6,395,
Cercopithecus ascanius,Cercopithecus ascanius,,3400,67000,4272,,237.1,147,
Cercopithecus mitis,Cercopithecus mitis,,6300,75000,4232,,242.8,150,
Miopithecus talapoin,Miopithecus talapoin,,1200,40000,2339,,136.4,109,
Erythrocebus patas,Erythrocebus patas,,7800,108000,7775,,335.4,266.8,x
Nasalis larvatus,Nasalis larvatus,,14000,97000,4609,x,364.9,156.6,x
Pan troglodytes,Pan troglodytes,,46000,405000,10593,,1567.1,356,
