Species,Order_Baron1990,Species_Baron1990,Complexus_sensorius_trigeminalis
Solenodon paradoxus,Insectivora,Solenodon paradoxus,69.2
Tenrec ecaudatus,Insectivora,Tenrec ecaudatus,49.3
Setifer setosus,Insectivora,Setifer setosus,27.5
Hemicentetes semispinosus,Insectivora,Hemicentetes semispinosus,17.2
Echinops telfairi,Insectivora,Echinops telfairi,12.7
Nesogale talazaci,Insectivora,Microgale talazaci,13.8
Potamogale velox,Insectivora,Potamogale velox,151.4
Micropotamogale ruwenzorii,Insectivora,Micropotamogale ruwenzorii,47.6
Chrysochloris stuhlmanni,Insectivora,Chrysochloris stuhlmanni,14.4
Echinosorex gymnura,Insectivora,Echinosorex gymnura,90.5
Hylomys suillus,Insectivora,Hylomys suillus,14.5
Atelerix algirus,Insectivora,Atelerix algirus,39.9
Erinaceus europaeus,Insectivora,Erinaceus europaeus,44.8
Hemiechinus auritus,Insectivora,Hemiechinus auritus,23.9
Sorex araneus,Insectivora,Sorex araneus,5.99
Sorex cinereus,Insectivora,Sorex cinereus,4.22
Microsorex hoyi,Insectivora,Microsorex hoyi,2.15
Neomys fodiens,Insectivora,Neomys fodiens,9.66
Blarina brevicauda,Insectivora,Blarina brevicauda,8.09
Crocidura flavescens,Insectivora,Crocidura flavescens,10.8
Crocidura hildegardeae,Insectivora,Crocidura hildegardeae,6.81
Crocidura russula,Insectivora,Crocidura russula,5.29
Suncus etruscus,Insectivora,Suncus etruscus,2.33
Suncus murinus,Insectivora,Suncus murinus,9.8
Suncus megalura,Insectivora,Sylvisorex megalura,4.88
Ruwenzorisorex suncoides,Insectivora,Ruwenzorisorex suncoides,12
Scutisorex somereni,Insectivora,Scutisorex somereni,15.5
Desmana moschata,Insectivora,Desmana moschata,97
Galemys pyrenaicus,Insectivora,Galemys pyrenaicus,32.3
Talpa europaea,Insectivora,Talpa europea,13.3
Tupaia glis,Scadentia,Tupaia glis,15.5
Tupaia minor,Scadentia,Tupaia minor,11.1
Urogale everetti,Scadentia,Urogale everetti,22.5
Microcebus murinus,Prosimians,Microcebus murinus,7.84
Cheirogaleus major,Prosimians,Cheirogaleus major,25.6
Cheirogaleus medius,Prosimians,Cheirogaleus medius,14.3
Eulemur albifrons,Prosimians,Lemur albifrons,36.6
Varecia variegata,Prosimians,Varecia variegata,71.6
Lepilemur ruficaudatus,Prosimians,Lepilemur ruficaudatus,22.2
Avahi laniger,Prosimians,Avahi laniger laniger,26.3
Avahi occidentalis,Prosimians,Avahi laniger occidentalis,25.9
Propithecus verreauxi,Prosimians,Propithecus verreauxi,56
Indri indri,Prosimians,Indri indri,65.6
Daubentonia madagascariensis,Prosimians,Daubentoni madagascar.,71.9
Loris tardigradus,Prosimians,Loris tardigradus,15.6
Nycticebus coucang,Prosimians,Nycticebus coucang,36.6
Perodicticus potto,Prosimians,Perodicticus potto,54.8
Galago senegalensis,Prosimians,Galago senegalensis,16.7
Otolemur crassicaudatus,Prosimians,Otolemur crassicaudatus,28.1
Galagoides demidoff,Prosimians,Galagoides demidoff,12.2
Tarsius sp.,Prosimians,Tarsius spp.,14.4
Callithrix jacchus,Simians,Callithrix jacchus,16.3
Cebuella pygmaea,Simians,Cebuella pygmaea,10.8
Saguinus midas,Simians,Saguinus midas,20.8
Saguinus oedipus,Simians,Saguinus oedipus,20
Callimico goeldii,Simians,Callimico goeldii,23.2
Cebus albifrons,Simians,Cebus albifrons,74.2
Aotus trivirgatus,Simians,Aotus trivirgatus,33.5
Callicebus moloch,Simians,Callicebus moloch,36.2
Saimiri sciureus,Simians,Saimiri sciureus,29.9
Pithecia monachus,Simians,Pithecia monachus,53.9
Alouatta seniculus,Simians,Alouatta seniculus,79.1
Ateles geoffroyi,Simians,Ateles geoffroyi,89.2
Lagothrix lagothricha,Simians,Lagothrix lagothricha,107
Macaca mulatta,Simians,Macaca mulatta,107.5
Cercocebus albigena,Simians,Cercocebus albigena,108.7
Papio anubis,Simians,Papio anubis,205.3
Cercopithecus ascanius,Simians,Cercopithecus ascanius,68
Cercopithecus mitis,Simians,Cercopithecus mitis,84.5
Miopithecus talapoin,Simians,Miopithecus talapoin,48.1
Erythrocebus patas,Simians,Erythrocebus patas,89.5
Procolobus badius,Simians,Colobus badius,78.2
Pygathrix nemaeus,Simians,Pygathrix nemaeus,82.3
Nasalis larvatus,Simians,Nasalis larvatus,113.7
Hylobates lar,Simians,Hylobates lar,103.2
Pan troglodytes,Simians,Pan troglodytes,199.6
Gorilla gorilla,Simians,Gorilla gorilla,353
Homo sapiens,Simians,Homo sapiens,400.9
