Species,Order_Matano1985b,Code_Matano1985b,Species_Matano1985b,Number_cerebellar_nuclei,Body_weight_85b,Cerebellar_nuclei_total,Medial_cerebellar_nuclei,Interpositus_cerebellar_nuclei,Lateral_cerebellar_nuclei
AAAAA_Matano85b,Matano85b,Matano85b,Matano85b,Matano85b,BoW,Matano85b,Matano85b,Matano85b,Matano85b
Daubentonia madagascariensis,Prosimians,3251,Daubentonia madagasc.,1,"2,800",126.08,28.94,36.11,61.03
Loris tardigradus,Prosimians,3253,Loris tardigradus,2,322,17.99,6.65,5.58,5.76
Nycticebus coucang,Prosimians,3255,Nycticebus coucang,2,800,33.75,10.96,8.76,14.03
Perodicticus potto,Prosimians,3259,Perodicticus potto,2,"1,150",29.44,8.76,8.43,12.25
Galago senegalensis,Prosimians,3265,Galago senegalensis,2,186,12.6,4.43,3.77,4.4
Otolemur crassicaudatus,Prosimians,3267,Otolemur crassicaudatus,2,850,25.9,9.63,6.63,9.64
Galagoides demidoff,Prosimians,3275,Galagoides demidoff,2,81,8.22,3.08,2.08,3.06
Tarsius sp.,Prosimians,3282,Tarsius spp.,4,125,8.06,2.87,1.82,3.37
Callithrix jacchus,Simians,3287,Callithrix jacchus,2,280,20.96,7.59,5.44,7.93
Cebuella pygmaea,Simians,3289,Cebuella pygmaea,2,120,11.48,3.93,3.2,4.35
Saguinus midas,Simians,3305,Saguinus midas,2,340,21.57,6.88,6.94,7.75
Saguinus oedipus,Simians,3311,Saguinus oedipus,2,380,24.6,8.61,7.19,8.8
Cebus albifrons,Simians,3317,Cebus albifrons,1,"3,100",173.18,34.68,38.98,99.52
Aotus trivirgatus,Simians,3325,Aotus trivirgatus,2,830,41.45,13.01,11.42,17.02
Callicebus moloch,Simians,3327,Callicebus moloch,2,900,61.41,20.7,19.47,21.24
Saimiri sciureus,Simians,3335,Saimiri sciureus,2,660,73.22,24.09,21.93,27.2
Pithecia monachus,Simians,3341,Pithecia monachus,2,"1,500",109.36,23.91,31.78,53.67
Alouatta seniculus,Simians,3363,Alouatta seniculus,2,"6,400",113.79,27.47,26.57,59.75
Ateles geoffroyi,Simians,3371,Ateles geoffroyi,1,"8,000",209.17,34.63,59.75,114.79
Lagothrix lagothricha,Simians,3379,Lagothrix lagothricha,2,"5,200",212.95,44.15,60.23,108.57
Macaca mulatta,Simians,3391,Macaca mulatta,2,"7,800",235.31,53.24,75.13,106.94
Lophocebus albigena,Simians,3407,Cercocebus albigena,2,"7,900",232.63,44.7,74.6,113.33
Papio anubis,Simians,3415,Papio anubis,2,"25,000",379.04,58.78,99.91,220.35
Cercopithecus ascanius,Simians,3433,Cercopithecus ascanius,2,"3,400",143.98,34.61,41.7,67.67
Cercopithecus mitis,Simians,3453,Cercopithecus mitis,1,"6,300",171.16,34.23,54.55,82.38
Miopithecus talapoin,Simians,3469,Miopithecus talapoin,2,"1,200",78.95,18.69,26.42,33.84
Erythrocebus patas,Simians,3473,Erythrocebus patas,2,"7,800",295.09,73.71,95.07,126.31
Procolobus badius,Simians,3477,Colobus badius,2,"7,000",190.92,34.64,57.76,98.52
Pygathrix nemaeus,Simians,3493,Pygathrix nemaeus,1,"7,500",265.75,47.94,80.76,137.05
Nasalis larvatus,Simians,3499,Nasalis larvatus,1,"14,000",340.36,85.55,105.48,149.33
Hylobates lar,Simians,3539,Hylobates lar,1,"5,700",242.09,35.41,65.6,141.08
Pan troglodytes,Simians,3549,Pan troglodytes,1,"46,000",601.42,58.32,87.27,455.83
Gorilla gorilla,Simians,3551,Gorilla gorilla,2,"105,000",740.4,93.44,112.36,534.6
Homo sapiens,Simians,3553,Homo sapiens,2,"65,000","1,513.78",156.4,190.48,"1,166.90"
