Species,Species_desousa2013,Number_of_individuals_Brain_weight_13,Brain_weight_13,Number_of_individuals_Corpus_geniculatum_laterale_13,Corpus_geniculatum_laterale_13
AAAA_desousa_2013,desousa_2013,no.,Brain wt. (mg),no.,LGN vol. (mm3)
Homo sapiens,Homo sapiens,10,1303700,10,335
Pan troglodytes,Pan troglodytes,6,406500,3,344
Pan paniscus,Pan paniscus,2,364500,2,282.3
Gorilla gorilla,Gorilla gorilla,1,376000,1,300.1
Pongo pygmaeus,Pongo pygmaeus,5,384667,3,259.1
Hylobates lar,Hylobates lar,2,106000,2,166.2
Hylobates muelleri,Hylobates muelleri,1,101800,1,161.6
Symphalangus syndactylus,Symphalangus syndactylus,1,138700,1,
Cercopithecus ascanius,Cercopithecus ascanius,1,61500,1,147
Cercopithecus mitis,Cercopithecus mitis,2,73300,2,167.2
Erythrocebus patas,Erythrocebus patas,1,94200,1,266.8
Lophocebus albigena,Lophocebus albigena,1,110500,1,182
Macaca fascicularis,Macaca fascicularis,1,57600,1,91.9
Macaca mulatta,Macaca mulatta,1,78000,1,158
Miopithecus talapoin,Miopithecus talapoin,1,41100,1,109
Papio anubis,Papio anubis,1,206500,2,395
Nasalis larvatus,Nasalis larvatus,1,64250,1,156.6
Pygathrix nemaeus,Pygathrix nemaeus,1,69000,1,114.8
Piliocolobus badius,Piliocolobus badius,2,76850,2,128
Colobus angolensis,Colobus angolensis,1,74400,1,103
