Species,Species_Frahm94,Body_weight,Hippocampus_total ,HP+HS+fibers,Hippocampus_retrocomm.,Subiculum,CA1,CA2,CA3,Hilus,Fascia_dentata
Alouatta seniculus,Alouatta seniculus,6400,1319.79,315.03,1004.76,117.67,362.93,56.59,236.05,67.88,163.64
Aotus trivirgatus,Aotus trivirgatus,830,538.8,133.49,405.31,27.43,150.16,20.83,97.14,33.52,76.23
Ateles geoffroyi,Ateles geoffroyi,8000,1366.01,370.37,995.64,72.63,388.3,51.79,263.35,69.29,150.28
Avahi laniger laniger,Avahi laniger laniger,1285,526.25,67.7,458.55,48.13,178.89,15.29,112.49,24.93,78.82
Avahi laniger occidentalis,Avahi l. occidentalis,860,475.58,56.15,419.43,41.61,175.41,9.13,90.39,30.86,72.03
Callicebus moloch,Callicebus moloch,900,588.29,101.92,486.37,42.71,174.88,22.9,129.11,37.33,79.44
Callimico goeldii,Callimico goeldi,480,280.9,49.34,231.56,17.57,83.53,7.84,60.81,12.08,49.73
Callithrix jacchus,Callithrix jacchus,280,221.12,40.63,180.49,11.48,73.07,7.49,42.82,12.29,33.34
Cebuella pygmaea,Cebuella pygmaea,120,122.34,22.84,99.5,7.45,38.83,4.11,26.95,4.49,17.67
Cebus albifrons,Cebus albifrons,3100,890.4,313.85,576.55,43.85,210.19,30.29,146.01,35.87,110.34
Cercocebus albigena,Cercocebus albigena,7900,1464.21,426.37,1037.84,73.47,395.87,38.15,304.2,69.9,156.25
Cercopithecus ascanius,Cercopithecus ascanius,3400,1189,249.6,939.4,77.57,362.05,23.02,240.6,85.7,150.46
Cercopithecus mitis,Cercopithecus mitis,6300,1366.39,379.53,986.86,77.48,378.84,30.44,288.47,86.05,125.58
Cheirogaleus major,Cheirogaleus major,450,347.35,45.57,301.78,18.9,107.42,8.32,92.66,13.22,61.26
Cheirogaleus medius,Cheirogaleus medius,117,174.36,23.75,150.61,9.97,54.4,4.72,44.89,6.19,30.44
Daubentonia madagascariensis,Daubentonia madagascariensis,2800,1776.1,328.2,1447.9,100.01,577.11,35.54,316.55,94.14,324.55
Echinops telfairi,Echinops telfairi,87.5,46.66,4.65,42.01,2,12.21,3.11,13.67,2.3,8.72
Erythrocebus patas,Erythrocebus patas,7800,1590.53,504.92,1085.61,76.65,345.54,39.46,327.74,101.09,195.13
Eulemur albifrons,Lemur fulvus,1400,752.1,96.46,655.64,62.23,258.65,19.52,171.72,37.46,106.06
Galago senegalensis,Galago senegalensis,186,260.78,15.47,245.31,23.14,99.58,5.96,52.43,13.48,50.72
Galagoides demidoff,Galagoides demidoff,81,152.24,21.76,130.48,13.4,53.7,3.08,28.64,7,24.66
Gorilla gorilla,Gorilla gorilla,105000,4780.48,1475.05,3305.43,191.7,1405.57,130.65,951.51,210.02,415.98
Hemicentetes semispinosus,Hemicentetes semispinosus,116,63.11,10.35,52.76,1.34,12.1,2.81,19.03,3.32,14.16
Homo sapiens,Homo sapiens,65000,10287.38,2853.78,7433.6,821.76,2793.05,229.52,2357.63,397.17,834.47
Hylobates lar,Hylobates lar,5700,2672.56,444.65,2227.91,139.39,866.51,76.73,547,226.25,372.03
Indri indri,Indri indri,6250,1529.38,358.58,1170.8,98.11,477.66,35.77,336.04,57.87,165.35
Lagothrix lagothricha,Lagothrix lagothricha,5200,1585.69,458.9,1126.79,78.34,400.11,49.57,332.56,73.93,192.28
Lepilemur ruficaudatus,Lepilemur ruficaudatus,915,392.28,72.73,319.55,31.58,128.48,7.28,78.29,12.62,61.3
Loris tardigradus,Loris tardigradus,322,191.14,24.56,166.58,12.96,57.6,4.87,49.81,8,33.34
Microcebus murinus,Microcebus murinus,54,100.35,12.38,87.97,5.99,30.45,2.33,23.82,4.48,20.9
Miopithecus talapoin,Miopithecus talapoin,1200,704.87,190.75,514.12,41.31,183.4,15.31,134.6,51.91,87.59
Nasalis larvatus,Nasalis larvatus,14000,1965.93,518.83,1447.1,113.27,546.36,69.39,370.1,142.29,205.69
Nycticebus coucang,Nycticebus coucang,800,565.77,67.06,498.71,52.63,178.14,17.34,135.76,23.62,91.22
Otolemur crassicaudatus,Otolemur crassicaudatus,850,460.88,73.43,387.45,42.22,164.58,9.6,78.22,28.14,64.69
Pan troglodytes,Pan troglodytes,46000,3778.69,1015.23,2763.46,266.58,1166.33,85.7,622.88,235.43,386.54
