"file","package"
"Andelin_etal_2019_Table4.R","rJava"
"Andelin_etal_2019_Table4.R","tabulapdf"
"Andelin_etal_2019_Table4.R","tidyverse"
"Andelin_etal_2019_Table4.R","stringr"
"Andelin_etal_2019_Table4.R","readxl"
"Ashwell__2020_SupplementaryTable.R","readxl"
"Ashwell__2020_SupplementaryTable.R","dplyr"
"Ashwell__2020_SupplementaryTable.R","stringr"
"AvelinodeSouza_etal_2025_TABLE1.R","here"
"AvelinodeSouza_etal_2025_TABLE1.R","readxl"
"AvelinodeSouza_etal_2025_TABLE1.R","rJava"
"AvelinodeSouza_etal_2025_TABLE1.R","tabulapdf"
"AvelinodeSouza_etal_2025_TABLE1.R","tidyverse"
"AvelinodeSouza_etal_2025_TABLE1.R","dplyr"
"AvelinodeSouza_etal_2025_TABLE1.R","tidyr"
"BarbeitoAndres_etal_2019.R","readxl"
"BarbeitoAndres_etal_2019.R","readr"
"BarbeitoAndres_etal_2019.R","dplyr"
"BarbeitoAndres_etal_2019.R","tidyr"
"BarbeitoAndres_etal_2019.R","stringr"
"Barks_etal_2014_TABLE1.R","tidyverse"
"Barks_etal_2014_TABLE1.R","readxl"
"Barks_etal_2014_TABLE1.R","dplyr"
"Barks_etal_2014_TABLE1.R","stringr"
"Barks_etal_2014_TABLE1.R","readr"
"Baron_etal_1983_Table1.R","readxl"
"Baron_etal_1983_Table1.R","readr"
"Baron_etal_1983_Table1.R","dplyr"
"Baron_etal_1983_Table1.R","tidyr"
"Baron_etal_1983_Table1.R","stringr"
"Baron_etal_1983_Table1_compare_to_Baron_1983_csv.R","readxl"
"Baron_etal_1983_Table1_compare_to_Baron_1983_csv.R","readr"
"Baron_etal_1983_Table1_compare_to_Baron_1983_csv.R","dplyr"
"Baron_etal_1983_Table1_compare_to_Baron_1983_csv.R","tidyr"
"Baron_etal_1983_Table1_compare_to_Baron_1983_csv.R","stringr"
"Baron_etal_1987_Table1.R","readxl"
"Baron_etal_1987_Table1.R","readr"
"Baron_etal_1987_Table1.R","dplyr"
"Baron_etal_1987_Table1.R","tidyr"
"Baron_etal_1987_Table1.R","stringr"
"Baron_etal_1987_Table1_compare_to_baron_etal_1987_csv.R","readxl"
"Baron_etal_1987_Table1_compare_to_baron_etal_1987_csv.R","readr"
"Baron_etal_1987_Table1_compare_to_baron_etal_1987_csv.R","dplyr"
"Baron_etal_1987_Table1_compare_to_baron_etal_1987_csv.R","tidyr"
"Baron_etal_1987_Table1_compare_to_baron_etal_1987_csv.R","stringr"
"Baron_etal_1988_Table1.R","readxl"
"Baron_etal_1988_Table1.R","readr"
"Baron_etal_1988_Table1.R","dplyr"
"Baron_etal_1988_Table1.R","tidyr"
"Baron_etal_1988_Table1.R","stringr"
"Baron_etal_1988_Table1_compare_to_Baron_1988_csv.R","readxl"
"Baron_etal_1988_Table1_compare_to_Baron_1988_csv.R","readr"
"Baron_etal_1988_Table1_compare_to_Baron_1988_csv.R","dplyr"
"Baron_etal_1988_Table1_compare_to_Baron_1988_csv.R","tidyr"
"Baron_etal_1988_Table1_compare_to_Baron_1988_csv.R","stringr"
"Baron_etal_1990_Table1.R","readxl"
"Baron_etal_1990_Table1.R","readr"
"Baron_etal_1990_Table1.R","dplyr"
"Baron_etal_1990_Table1.R","stringr"
"Baron_etal_1990_Table1_compare_to_Baron_1990_csv.R","readxl"
"Baron_etal_1990_Table1_compare_to_Baron_1990_csv.R","readr"
"Baron_etal_1990_Table1_compare_to_Baron_1990_csv.R","dplyr"
"Baron_etal_1990_Table1_compare_to_Baron_1990_csv.R","tidyr"
"Baron_etal_1990_Table1_compare_to_Baron_1990_csv.R","stringr"
"Bauernfeind_etal_2013_Table1.R","readxl"
"Bauernfeind_etal_2013_Table1.R","readr"
"Bauernfeind_etal_2013_Table1.R","dplyr"
"Bauernfeind_etal_2013_Table1.R","tidyr"
"Bauernfeind_etal_2013_Table1.R","stringr"
"Bauernfeind_etal_2013_Table2.R","readxl"
"Bauernfeind_etal_2013_Table2.R","readr"
"Bauernfeind_etal_2013_Table2.R","dplyr"
"Bauernfeind_etal_2013_Table2.R","tidyr"
"Bauernfeind_etal_2013_Table2.R","stringr"
"Bauernfeind_etal_2013_Table3.R","readxl"
"Bauernfeind_etal_2013_Table3.R","readr"
"Bauernfeind_etal_2013_Table3.R","dplyr"
"Bauernfeind_etal_2013_Table3.R","tidyr"
"Bauernfeind_etal_2013_Table3.R","stringr"
"Bauernfeind_etal_2013_Table1_compare_to_Bauernfeind_2013_csv.R","readxl"
