Reference,variant_name,accepted_name,note
Stephan_etal_1970_Tables1-6,Galago crassicaudatus,Otolemur crassicaudatus,from token Stephan1970
Stephan_etal_1970_Tables1-6,Galago demidovii,Galagoides demidoff,from token Stephan1970
Stephan_etal_1970_Tables1-6,Lagothrix logotricha,Lagothrix lagothricha,from token Stephan1970
Stephan_etal_1970_Tables1-6,Lemur fulvus,Eulemur fulvus,from token Stephan1970
Stephan_etal_1970_Tables1-6,Lemur variegatus,Varecia variegata,from token Stephan1970
Stephan_etal_1970_Tables1-6,Limnogale mergulus,Microgale mergulus,from token Stephan1970
Stephan_etal_1970_Tables1-6,Loris gracilis,Loris tardigradus,from token Stephan1970
Stephan_etal_1970_Tables1-6,Pithecia monacha,Pithecia monachus,from token Stephan1970
Stephan_etal_1970_Tables1-6,Saguinus tamarin,Saguinus midas,from token Stephan1970
Stephan_etal_1981_Table1,Aethechinus algirus,Atelerix algirus,from token Stephan1981
Stephan_etal_1981_Table1,Alouatta sp.,Alouatta seniculus,from token Stephan1981
Stephan_etal_1981_Table1,Avahi l. laniger,Avahi laniger,from token Stephan1981
Stephan_etal_1981_Table1,Avahi laniger occidentalis,Avahi occidentalis,from token Stephan1981
Stephan_etal_1981_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Stephan1981
Stephan_etal_1981_Table1,Cebus sp.,Cebus albifrons,from token Stephan1981
Stephan_etal_1981_Table1,Cercocebus albigena,Lophocebus albigena,from token Stephan1981
Stephan_etal_1981_Table1,Cercopithecus talapoin,Miopithecus talapoin,from token Stephan1981
Stephan_etal_1981_Table1,Chlorotalpa stuhlmanni,Chrysochloris stuhlmanni,from token Stephan1981
Stephan_etal_1981_Table1,Colobus badius,Piliocolobus badius,from token Stephan1981
Stephan_etal_1981_Table1,Crocidura occidentalis,Crocidura flavescens,from token Stephan1981
Stephan_etal_1981_Table1,Daubentonia madagascar.,Daubentonia madagascariensis,from token Stephan1981
Stephan_etal_1981_Table1,Galago crassicaudatus,Otolemur crassicaudatus,from token Stephan1981
Stephan_etal_1981_Table1,Galago demidovii,Galagoides demidoff,from token Stephan1981
Stephan_etal_1981_Table1,Gorilla gorilla,Gorilla sp.,from token Stephan1981
Stephan_etal_1981_Table1,Homo sapiens sapiens,Homo sapiens,from token Stephan1981
Stephan_etal_1981_Table1,Lagothrix lagotricha,Lagothrix lagothricha,from token Stephan1981
Stephan_etal_1981_Table1,Lemur fulvus,Eulemur fulvus,from token Stephan1981
Stephan_etal_1981_Table1,Lemur variegatus,Varecia variegata,from token Stephan1981
Stephan_etal_1981_Table1,Limnogale mergulus,Microgale mergulus,from token Stephan1981
Stephan_etal_1981_Table1,Oryzorictes talpoides,Oryzorictes hova,from token Stephan1981
Stephan_etal_1981_Table1,Pithecia monacha,Pithecia monachus,from token Stephan1981
Stephan_etal_1981_Table1,Pongo abelii,Pongo sp.,from token Stephan1981
Stephan_etal_1981_Table1,Rhynchocyon stuhlmanni,Rhynchocyon cirnei,from token Stephan1981
Stephan_etal_1981_Table1,Saguinus tamarin,Saguinus midas,from token Stephan1981
Stephan_etal_1982_Table1,Alouatta sp.,Alouatta seniculus,from token Stephan1982
Stephan_etal_1982_Table1,Avahi laniger lan.,Avahi laniger,from token Stephan1982
Stephan_etal_1982_Table1,Avahi laniger occ.,Avahi occidentalis,from token Stephan1982
Stephan_etal_1982_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Stephan1982
Stephan_etal_1982_Table1,Cebus sp.,Cebus albifrons,from token Stephan1982
Stephan_etal_1982_Table1,Chrysochl. stuhlm.,Chrysochloris stuhlmanni,from token Stephan1982
Stephan_etal_1982_Table1,Chrysochloris asiat.,Chrysochloris asiatica,from token Stephan1982
Stephan_etal_1982_Table1,Crocidura flavesc.,Crocidura flavescens,from token Stephan1982
Stephan_etal_1982_Table1,Daubentonia madagas.,Daubentonia madagascariensis,from token Stephan1982
Stephan_etal_1982_Table1,Elephantulus fuscip.,Elephantulus fuscipes,from token Stephan1982
Stephan_etal_1982_Table1,Erinaceus algirus,Atelerix algirus,from token Stephan1982
Stephan_etal_1982_Table1,Galagoides demid.,Galagoides demidoff,from token Stephan1982
Stephan_etal_1982_Table1,Hemicentetes semisp.,Hemicentetes semispinosus,from token Stephan1982
Stephan_etal_1982_Table1,Lagothrix lagothr.,Lagothrix lagothricha,from token Stephan1982
Stephan_etal_1982_Table1,Lemur albifrons,Eulemur fulvus,from token Stephan1982
Stephan_etal_1982_Table1,Lepilemur ruficaud.,Lepilemur ruficaudatus,from token Stephan1982
Stephan_etal_1982_Table1,Limnogale mergulus,Microgale mergulus,from token Stephan1982
Stephan_etal_1982_Table1,Microgale dobsoni,Nesogale dobsoni,from token Stephan1982
Stephan_etal_1982_Table1,Microgale talazaci,Nesogale talazaci,from token Stephan1982
Stephan_etal_1982_Table1,Micropotamogale lam.,Micropotamogale lamottei,from token Stephan1982
Stephan_etal_1982_Table1,Oryzorictes talpoid.,Oryzorictes hova,from token Stephan1982
Stephan_etal_1982_Table1,Otolemur crassic.,Otolemur crassicaudatus,from token Stephan1982
Stephan_etal_1982_Table1,Propithecus verreau.,Propithecus verreauxi,from token Stephan1982
Stephan_etal_1984_Table1,Aethechinus algirus,Atelerix algirus,from token Stephan1984
Stephan_etal_1984_Table1,Alouatta spp.,Alouatta seniculus,from token Stephan1984
Stephan_etal_1984_Table1,Avahi l. laniger,Avahi laniger,from token Stephan1984
Stephan_etal_1984_Table1,Avahi l. occidentalis,Avahi occidentalis,from token Stephan1984
Stephan_etal_1984_Table1,Cebus spp.,Cebus albifrons,from token Stephan1984
Stephan_etal_1984_Table1,Cercocebus albigena,Lophocebus albigena,from token Stephan1984
Stephan_etal_1984_Table1,Colobus badius,Piliocolobus badius,from token Stephan1984
Stephan_etal_1984_Table1,Crocidura occidentalis,Crocidura flavescens,from token Stephan1984
Stephan_etal_1984_Table1,Daubentonia madagascar.,Daubentonia madagascariensis,from token Stephan1984
Stephan_etal_1984_Table1,Gorilla gorilla,Gorilla sp.,from token Stephan1984
Stephan_etal_1984_Table1,Hemicentetes semispin.,Hemicentetes semispinosus,from token Stephan1984
Stephan_etal_1984_Table1,Lemur albifrons,Eulemur fulvus,from token Stephan1984
Stephan_etal_1984_Table1,Tarsius spp.,Tarsius sp.,from token Stephan1984
Stephan_etal_1987_Table1,Aotus trivirgatua,Aotus trivirgatus,from token Stephan1987
Stephan_etal_1987_Table1,Avahi l. laniger,Avahi laniger,from token Stephan1987
Stephan_etal_1987_Table1,Avahi l. occidentalis,Avahi occidentalis,from token Stephan1987
Stephan_etal_1987_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Stephan1987
Stephan_etal_1987_Table1,Cercocebus albigena,Lophocebus albigena,from token Stephan1987
Stephan_etal_1987_Table1,Colobus badius,Piliocolobus badius,from token Stephan1987
Stephan_etal_1987_Table1,Daubentonia madagasc.,Daubentonia madagascariensis,from token Stephan1987
Stephan_etal_1987_Table1,Erinaceus algirus,Atelerix algirus,from token Stephan1987
Stephan_etal_1987_Table1,Gorilla gorilla,Gorilla sp.,from token Stephan1987
Stephan_etal_1987_Table1,Lemur albifrons,Eulemur fulvus,from token Stephan1987
Stephan_etal_1987_Table1,Limnogale mergulus,Microgale mergulus,from token Stephan1987
Stephan_etal_1987_Table1,Microgale dobsoni,Nesogale dobsoni,from token Stephan1987
Stephan_etal_1987_Table1,Microgale talazaci,Nesogale talazaci,from token Stephan1987
Stephan_etal_1987_Table1,Oryzorictes talpoides,Oryzorictes hova,from token Stephan1987
Stephan_etal_1987_Table1,Saguinus midas tamarin,Saguinus midas,from token Stephan1987
Stephan_etal_1987_Table1,Scutisorex somereni,ScutisorexÃsomereni,from token Stephan1987
Stephan_etal_1987_Table1,Sylvisorex megalura,Suncus megalura,from token Stephan1987
Stephan_etal_1987_Table1,Tarsius spp.,Tarsius sp.,from token Stephan1987
Stimpson_etal_2015_viaDeCasien,Eulemur fulvus fulvus,Eulemur fulvus,from token DeCasien
Stimpson_etal_2015_viaDeCasien,Gorilla gorilla gorilla,Gorilla sp.,from token DeCasien
Stimpson_etal_2015_viaDeCasien,Lagothrix lagotricha,Lagothrix lagothricha,from token DeCasien
Stimpson_etal_2015_viaDeCasien,Pan troglodytes troglodytes,Pan troglodytes,from token DeCasien
Stimpson_etal_2015_viaDeCasien,Tarsius syrichta,Tarsius sp.,from token DeCasien
Stimpson_etal_2015_viaDeCasien,Varecia variegata variegata,Varecia variegata,from token DeCasien
deSousa_etal_2010_Table1,Cebuella pygmaea,Callithrix pygmaea,from token deSousa2010
deSousa_etal_2010_Table1,Cercopithecus mitus,Cercopithecus mitis,from token deSousa2010
deSousa_etal_2010_Table1,Gorilla gorilla,Gorilla sp.,from token deSousa2010
deSousa_etal_2010_Table1,Lagothix lagathricha,Lagothrix lagothricha,from token deSousa2010
deSousa_etal_2010_Table1,Pongo pygmaeus,Pongo sp.,from token deSousa2010
deSousa_etal_2010_Table1,Procolobus badius,Piliocolobus badius,from token deSousa2010
deSousa_etal_2010_Table1,Sanguinus midas,Saguinus midas,from token deSousa2010
deSousa_etal_2010_Table1,Sanguinus oedipus,Saguinus oedipus,from token deSousa2010
deSousa_etal_2010_Table1,Tarsius syrichta,Tarsius sp.,from token deSousa2010
deSousa_etal_2013_Table1,Gorilla gorilla,Gorilla sp.,from token deSousa2013
deSousa_etal_2013_Table1,Pongo pygmaeus,Pongo sp.,from token deSousa2013
