Reference,variant_name,accepted_name,note
Ashwell__2020_SupplementaryTable,Aotus trivirgata,Aotus trivirgatus,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Canis familiaris,Canis lupus familiaris,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Cercarteus concinnus,Cercartetus concinnus,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Chincella lanigera,Chinchilla laniger,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Equus quagga burchellii,Equus burchelli,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Erithizon dorsatum,Erethizon dorsatum,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Felis cattus,Felis catus,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Galictis vittata,Galictis vittatus,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Macropus parma,Notamacropus parma,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Macropus rufus,Osphranter rufus,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Myrmecophagia tridactyla,Myrmecophaga tridactyla,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Neovison vison,Mustela vison,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Pecaru tacaju,Tayassu tajacu,from token Ashwell2020
Ashwell__2020_SupplementaryTable,Sarcophilus harissii,Sarcophilus harrisii,from token Ashwell2020
Barger_etal_2007_TABLE1,Gorilla gorilla,Gorilla sp.,from token Barger2007
Barger_etal_2007_TABLE1,Pongo pygmaeus,Pongo sp.,from token Barger2007
Barks_etal_2014_viaDeCasien,Eulemur fulvus fulvus,Eulemur fulvus,from token DeCasien
Barks_etal_2014_viaDeCasien,Gorilla gorilla gorilla,Gorilla sp.,from token DeCasien
Barks_etal_2014_viaDeCasien,Lagothrix lagotricha,Lagothrix lagothricha,from token DeCasien
Barks_etal_2014_viaDeCasien,Pan troglodytes troglodytes,Pan troglodytes,from token DeCasien
Barks_etal_2014_viaDeCasien,Tarsius syrichta,Tarsius sp.,from token DeCasien
Barks_etal_2014_viaDeCasien,Varecia variegata variegata,Varecia variegata,from token DeCasien
Baron_etal_1983_Table1,Alouatta spp.,Alouatta seniculus,from token Baron1983
Baron_etal_1983_Table1,Avahi I. occidentalis,Avahi occidentalis,from token Baron1983
Baron_etal_1983_Table1,Avahi laniger laniger,Avahi laniger,from token Baron1983
Baron_etal_1983_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Baron1983
Baron_etal_1983_Table1,Cebus spp.,Cebus albifrons,from token Baron1983
Baron_etal_1983_Table1,Cercocebus albigena,Lophocebus albigena,from token Baron1983
Baron_etal_1983_Table1,Colobus badius,Piliocolobus badius,from token Baron1983
Baron_etal_1983_Table1,Daubentonia madagascar.,Daubentonia madagascariensis,from token Baron1983
Baron_etal_1983_Table1,Erinaceus algirus,Atelerix algirus,from token Baron1983
Baron_etal_1983_Table1,Gorilla gorilla,Gorilla sp.,from token Baron1983
Baron_etal_1983_Table1,Hemicentetes semispin.,Hemicentetes semispinosus,from token Baron1983
Baron_etal_1983_Table1,Lemur albifrons,Eulemur fulvus,from token Baron1983
Baron_etal_1983_Table1,Limnogale mergulus,Microgale mergulus,from token Baron1983
Baron_etal_1983_Table1,Microgale dobsoni,Nesogale dobsoni,from token Baron1983
Baron_etal_1983_Table1,Microgale talazaci,Nesogale talazaci,from token Baron1983
Baron_etal_1983_Table1,Oryzoricles talpoides,Oryzorictes hova,from token Baron1983
Baron_etal_1983_Table1,Tarsius spp.,Tarsius sp.,from token Baron1983
Baron_etal_1987_Table1,Avahi l. laniger,Avahi laniger,from token Baron1987
Baron_etal_1987_Table1,Avahi l. occidentalis,Avahi occidentalis,from token Baron1987
Baron_etal_1987_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Baron1987
Baron_etal_1987_Table1,Cercocebus albigena,Lophocebus albigena,from token Baron1987
Baron_etal_1987_Table1,Colobus badius,Piliocolobus badius,from token Baron1987
Baron_etal_1987_Table1,Crocidura hildegardea,Crocidura hildegardeae,from token Baron1987
Baron_etal_1987_Table1,Daubentonia madagasc.,Daubentonia madagascariensis,from token Baron1987
Baron_etal_1987_Table1,Erinaceus algirus,Atelerix algirus,from token Baron1987
Baron_etal_1987_Table1,Gorilla gorilla,Gorilla sp.,from token Baron1987
Baron_etal_1987_Table1,Lemur albifrons,Eulemur fulvus,from token Baron1987
Baron_etal_1987_Table1,Limnogale mergulus,Microgale mergulus,from token Baron1987
Baron_etal_1987_Table1,Microgale dobsoni,Nesogale dobsoni,from token Baron1987
Baron_etal_1987_Table1,Microgale talazaci,Nesogale talazaci,from token Baron1987
Baron_etal_1987_Table1,Microsoex hoyi,Microsorex hoyi,from token Baron1987
Baron_etal_1987_Table1,Oryzorictes talpoides,Oryzorictes hova,from token Baron1987
Baron_etal_1987_Table1,Ruwensorisorex suncoides,Ruwenzorisorex suncoides,from token Baron1987
Baron_etal_1987_Table1,Saguinus midas tamarin,Saguinus midas,from token Baron1987
Baron_etal_1987_Table1,Scuisorex somereni,ScutisorexÃsomereni,from token Baron1987
Baron_etal_1987_Table1,Tarsius spp.,Tarsius sp.,from token Baron1987
Baron_etal_1988_Table1,Avahi laniger laniger,Avahi laniger,from token Baron1988
Baron_etal_1988_Table1,Avahi laniger occidentalis,Avahi occidentalis,from token Baron1988
Baron_etal_1988_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Baron1988
Baron_etal_1988_Table1,Cercocebus albigena,Lophocebus albigena,from token Baron1988
Baron_etal_1988_Table1,Colobus badius,Piliocolobus badius,from token Baron1988
Baron_etal_1988_Table1,Daubentoni madagascar.,Daubentonia madagascariensis,from token Baron1988
Baron_etal_1988_Table1,Erinaceus algirus,Atelerix algirus,from token Baron1988
Baron_etal_1988_Table1,Gorilla gorilla,Gorilla sp.,from token Baron1988
Baron_etal_1988_Table1,Lemur albifrons,Eulemur fulvus,from token Baron1988
Baron_etal_1988_Table1,Microgale talazaci,Nesogale talazaci,from token Baron1988
Baron_etal_1988_Table1,Saguinus midas tamarin,Saguinus midas,from token Baron1988
Baron_etal_1988_Table1,Sylvisorex megalura,Suncus megalura,from token Baron1988
Baron_etal_1988_Table1,Tarsius spp.,Tarsius sp.,from token Baron1988
Baron_etal_1990_Table1,Avahi laniger laniger,Avahi laniger,from token Baron1990
Baron_etal_1990_Table1,Avahi laniger occidentalis,Avahi occidentalis,from token Baron1990
Baron_etal_1990_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Baron1990
Baron_etal_1990_Table1,Cercocebus albigena,Lophocebus albigena,from token Baron1990
Baron_etal_1990_Table1,Colobus badius,Piliocolobus badius,from token Baron1990
Baron_etal_1990_Table1,Daubentoni madagascar.,Daubentonia madagascariensis,from token Baron1990
Baron_etal_1990_Table1,Gorilla gorilla,Gorilla sp.,from token Baron1990
Baron_etal_1990_Table1,Lemur albifrons,Eulemur fulvus,from token Baron1990
Baron_etal_1990_Table1,Microgale talazaci,Nesogale talazaci,from token Baron1990
Baron_etal_1990_Table1,Sylvisorex megalura,Suncus megalura,from token Baron1990
Baron_etal_1990_Table1,Talpa europea,Talpa europaea,from token Baron1990
Baron_etal_1990_Table1,Tarsius spp.,Tarsius sp.,from token Baron1990
Bauernfeind_etal_2013_Table1,Avahi laniger,Avahi occidentalis,from token Bauernfeind2013
Bauernfeind_etal_2013_Table1,Cercopithecus kandti,Cercopithecus mitis,from token Bauernfeind2013
Bauernfeind_etal_2013_Table1,Gorilla gorilla,Gorilla sp.,from token Bauernfeind2013
Bauernfeind_etal_2013_Table1,Pongo pygmaeus and Pongo abelii,Pongo sp.,from token Bauernfeind2013
Bauernfeind_etal_2013_Table2,Avahi laniger,Avahi occidentalis,from token Bauernfeind2013
Bauernfeind_etal_2013_Table2,Cercopithecus kandti,Cercopithecus mitis,from token Bauernfeind2013
Bauernfeind_etal_2013_Table2,Gorilla gorilla,Gorilla sp.,from token Bauernfeind2013
Bauernfeind_etal_2013_Table2,Pongo pygmaeus and Pongo abelii,Pongo sp.,from token Bauernfeind2013
Bush_Allman_2003_Table1,Applodontia rufa,Aplodontia rufa,from token Bush_Allman_2003
Bush_Allman_2003_Table1,Choloepus didactylis,Choloepus didactylus,from token Bush_Allman_2003
Bush_Allman_2003_Table1,Galictis vitatus,Galictis vittatus,from token Bush_Allman_2003
Bush_Allman_2003_Table1,Microcebus urinus,Microcebus murinus,from token Bush_Allman_2003
Bush_Allman_2003_Table1,Tamandua tatradactyla,Tamandua tetradactyla,from token Bush_Allman_2003
Bush_Allman_2003_Table1,Tarsius syricta,Tarsius syrichta,from token Bush_Allman_2003
Frahm_Zilles_1994_Table1,Avahi l. occidentalis,Avahi occidentalis,from token Frahm1994
Frahm_Zilles_1994_Table1,Avahi laniger laniger,Avahi laniger,from token Frahm1994
Frahm_Zilles_1994_Table1,Callimico goeldi,Callimico goeldii,from token Frahm1994
Frahm_Zilles_1994_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Frahm1994
Frahm_Zilles_1994_Table1,Cercocebus albigena,Lophocebus albigena,from token Frahm1994
Frahm_Zilles_1994_Table1,Colobus badius,Piliocolobus badius,from token Frahm1994
Frahm_Zilles_1994_Table1,Gorilla gorilla,Gorilla sp.,from token Frahm1994
Frahm_Zilles_1994_Table1,Lemur albifrons,Eulemur fulvus,from token Frahm1994
Frahm_Zilles_1994_Table1,Saguinus midas tamarin,Saguinus midas,from token Frahm1994
Frahm_Zilles_1994_Table1,Tarsius spec.,Tarsius sp.,from token Frahm1994
Frahm_etal_1982_Table2,Alouatta sp.,Alouatta seniculus,from token Frahm1982
Frahm_etal_1982_Table2,Avahi laniger occidentalis,Avahi occidentalis,from token Frahm1982
Frahm_etal_1982_Table2,Cebuella pygmaea,Callithrix pygmaea,from token Frahm1982
Frahm_etal_1982_Table2,Cebus sp.,Cebus albifrons,from token Frahm1982
Frahm_etal_1982_Table2,Colobus badius,Piliocolobus badius,from token Frahm1982
Frahm_etal_1982_Table2,Daubentonia madagascar.,Daubentonia madagascariensis,from token Frahm1982
Frahm_etal_1982_Table2,Erinaceus algirus,Atelerix algirus,from token Frahm1982
Frahm_etal_1982_Table2,Lemur albifrons,Eulemur fulvus,from token Frahm1982
Frahm_etal_1982_Table2,Microceblls murinus,Microcebus murinus,from token Frahm1982
Frahm_etal_1984_Table1,Alouatta sp.,Alouatta seniculus,from token Frahm_1984
Frahm_etal_1984_Table1,Avahi l. laniger,Avahi laniger,from token Frahm_1984
Frahm_etal_1984_Table1,Avahi laniger occidentalis,Avahi occidentalis,from token Frahm_1984
Frahm_etal_1984_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Frahm_1984
Frahm_etal_1984_Table1,Cebus sp.,Cebus albifrons,from token Frahm_1984
Frahm_etal_1984_Table1,Cercocebus albigena,Lophocebus albigena,from token Frahm_1984
Frahm_etal_1984_Table1,Colobus badius,Piliocolobus badius,from token Frahm_1984
Frahm_etal_1984_Table1,Daubentonia madagascar.,Daubentonia madagascariensis,from token Frahm_1984
Frahm_etal_1984_Table1,Gorilla gorilla,Gorilla sp.,from token Frahm_1984
Frahm_etal_1984_Table1,Lemur albifrons,Eulemur fulvus,from token Frahm_1984
Frahm_etal_1998_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Frahm98
Frahm_etal_1998_Table1,Cebus spec.,Cebus albifrons,from token Frahm98
Frahm_etal_1998_Table1,Cercocebus albigena,Lophocebus albigena,from token Frahm98
Frahm_etal_1998_Table1,Tarsius spec.,Tarsius sp.,from token Frahm98
MacLeod_etal_2003_,Cercocebus torquatus atys,Cercocebus torquatus,from token MacLeod2003
MacLeod_etal_2003_,Gorilla gorilla,Gorilla sp.,from token MacLeod2003
MacLeod_etal_2003_,Pongo pygmaeus,Pongo sp.,from token MacLeod2003
Matano_etal_1985_a_Table1,Avahi l. laniger,Avahi laniger,from token Matano1985a
Matano_etal_1985_a_Table1,Avahi l. occidentalis,Avahi occidentalis,from token Matano1985a
Matano_etal_1985_a_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Matano1985a
Matano_etal_1985_a_Table1,Cercocebus albigena,Lophocebus albigena,from token Matano1985a
Matano_etal_1985_a_Table1,Colobus badius,Piliocolobus badius,from token Matano1985a
Matano_etal_1985_a_Table1,Crocidura r. russula,Crocidura russula,from token Matano1985a
Matano_etal_1985_a_Table1,Daubentonia madagasc.,Daubentonia madagascariensis,from token Matano1985a
Matano_etal_1985_a_Table1,Gorilla gorilla,Gorilla sp.,from token Matano1985a
Matano_etal_1985_a_Table1,Hemicentetes semispin.,Hemicentetes semispinosus,from token Matano1985a
Matano_etal_1985_a_Table1,Lemur fulvus,Eulemur fulvus,from token Matano1985a
Matano_etal_1985_a_Table1,Tarsius spp.,Tarsius sp.,from token Matano1985a
Matano_etal_1985_b_Table1,Avahi l. occidentalis,Avahi occidentalis,from token Matano1985b
Matano_etal_1985_b_Table1,Avahi laniger laniger,Avahi laniger,from token Matano1985b
Matano_etal_1985_b_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Matano1985b
Matano_etal_1985_b_Table1,Cercocebus albigena,Lophocebus albigena,from token Matano1985b
Matano_etal_1985_b_Table1,Colobus badius,Piliocolobus badius,from token Matano1985b
Matano_etal_1985_b_Table1,Daubentonia madagasc.,Daubentonia madagascariensis,from token Matano1985b
Matano_etal_1985_b_Table1,Gorilla gorilla,Gorilla sp.,from token Matano1985b
Matano_etal_1985_b_Table1,Lemur fulvus,Eulemur fulvus,from token Matano1985b
Matano_etal_1985_b_Table1,Tarsius spp.,Tarsius sp.,from token Matano1985b
Rilling_Insel_1999_viaDeCasien,Eulemur fulvus fulvus,Eulemur fulvus,from token DeCasien
Rilling_Insel_1999_viaDeCasien,Gorilla gorilla gorilla,Gorilla sp.,from token DeCasien
Rilling_Insel_1999_viaDeCasien,Lagothrix lagotricha,Lagothrix lagothricha,from token DeCasien
Rilling_Insel_1999_viaDeCasien,Pan troglodytes troglodytes,Pan troglodytes,from token DeCasien
Rilling_Insel_1999_viaDeCasien,Tarsius syrichta,Tarsius sp.,from token DeCasien
Rilling_Insel_1999_viaDeCasien,Varecia variegata variegata,Varecia variegata,from token DeCasien
Semendeferi_etal_1998_Table2,Gorilla gorilla,Gorilla sp.,from token Semendeferi
Semendeferi_etal_1998_Table2,Pongo pygmaeus,Pongo sp.,from token Semendeferi
Semendeferi_etal_2001_Table2,Gorilla gorilla,Gorilla sp.,from token Semendeferi
Semendeferi_etal_2001_Table2,Pongo pygmaeus,Pongo sp.,from token Semendeferi
Sherwood_etal_2005_Table1,Avahi laniger laniger,Avahi laniger,from token Sherwood_2005
Sherwood_etal_2005_Table1,Avahi laniger occidentalis,Avahi occidentalis,from token Sherwood_2005
Sherwood_etal_2005_Table1,Cebuella pygmaea,Callithrix pygmaea,from token Sherwood_2005
Sherwood_etal_2005_Table1,Gorilla gorilla,Gorilla sp.,from token Sherwood_2005
Sherwood_etal_2005_Table1,Pongo pygmaeus,Pongo sp.,from token Sherwood_2005
Sherwood_etal_2005_Table1,Procolobus badius,Piliocolobus badius,from token Sherwood_2005
Sherwood_etal_2005_Table1,Tarsius syrichta,Tarsius sp.,from token Sherwood_2005
Smaers_etal_2011_SupplementaryTable1,Cercocebus albigena,Lophocebus albigena,from token Smaers2011
Smaers_etal_2011_SupplementaryTable1,Cercopithecus ascianus,Cercopithecus ascanius,from token Smaers2011
Smaers_etal_2011_SupplementaryTable1,Gorilla gorilla,Gorilla sp.,from token Smaers2011
Smaers_etal_2011_SupplementaryTable1,Lagothrix lagotricha,Lagothrix lagothricha,from token Smaers2011
Smaers_etal_2011_SupplementaryTable1,Pongo pygmaeus,Pongo sp.,from token Smaers2011
Smaers_etal_2011_SupplementaryTable1,Procolobus badius,Piliocolobus badius,from token Smaers2011
Stephan_etal_1970_Tables1-6,Aethechinus algirus,Atelerix algirus,from token Stephan1970
Stephan_etal_1970_Tables1-6,Aotes trivirgatus,Aotus trivirgatus,from token Stephan1970
Stephan_etal_1970_Tables1-6,Cercocebus albigena,Lophocebus albigena,from token Stephan1970
Stephan_etal_1970_Tables1-6,Cercopithecus talapoin,Miopithecus talapoin,from token Stephan1970
Stephan_etal_1970_Tables1-6,Chlorotalpa stuhlmanni,Chrysochloris stuhlmanni,from token Stephan1970
Stephan_etal_1970_Tables1-6,Colobus badius,Piliocolobus badius,from token Stephan1970
