accepted_name,ncbi_taxid,in_Stephan,in_HerculanoHouzel,in_Allman,Order_Stephan1981,Suborder_Stephan1981,Family_Stephan1981,code_Stephan1981,Order_MDD,Family_MDD,mdd_accepted_name,needs_taxonomy_review,Order_resolved,Family_resolved,taxonomy_source,order_matches_MDD
Sciurus carolinensis,30640,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Sciuridae,NCBI:taxid,NA
Scotonycteris zenkeri,1001563,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Pteropodidae,NCBI:taxid,NA
scutisorexãsomereni,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,Eulipotyphla,Soricidae,Scutisorex somereni,FALSE,Soricomorpha,Soricidae,GBIF,FALSE
ScutisorexÊsomereni,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,NA,NA,NA,TRUE,Soricomorpha,Soricidae,GBIF,NA
Semnopithecus entellus,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:name,NA
Setifer setosus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Tenrecinae,3,Afrosoricida,Tenrecidae,Setifer setosus,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Solenodon paradoxus,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,1,Eulipotyphla,Solenodontidae,Solenodon paradoxus,FALSE,Eulipotyphla,Solenodontidae,NCBI:name,TRUE
Sorex araneus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Soricidae,42,Eulipotyphla,Soricidae,Sorex araneus,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Sorex cinereus,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Sorex cinereus,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Sorex fumeus,62283,TRUE,TRUE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Sorex fumeus,FALSE,Eulipotyphla,Soricidae,NCBI:taxid,TRUE
Sorex minutus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Soricidae,41,Eulipotyphla,Soricidae,Sorex minutus,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Spalax ehrenbergi,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Spalacidae,NCBI:name,NA
Suncus etruscus,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Suncus etruscus,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Suncus megalura,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Suncus megalura,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Suncus murinus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Soricidae,63,Eulipotyphla,Soricidae,Suncus murinus,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Sus scrofa domesticus,9825,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Suidae,NCBI:taxid,NA
Sylvisorex granti,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Sylvisorex granti,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Symphalangus syndactylus,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Hylobatidae,NCBI:name,NA
Talpa europaea,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,81,Eulipotyphla,Talpidae,Talpa europaea,FALSE,Eulipotyphla,Talpidae,NCBI:name,TRUE
Tamandua tetradactyla,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Pilosa,Myrmecophagidae,NCBI:name,NA
Tarsius sp.,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Tarsiidae,147,Primates,Tarsiidae,Tarsius sp.,FALSE,Primates,Tarsiidae,NCBI:name,TRUE
Tarsius syrichta,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Tarsiidae,NCBI:name,NA
Tayassu tajacu,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Tayassuidae,NCBI:name,NA
Tenrec ecaudatus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Tenrecinae,2,Afrosoricida,Tenrecidae,Tenrec ecaudatus,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Trachypithecus francoisi,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:name,NA
Tragelaphus strepsiceros,9946,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Bovidae,NCBI:taxid,NA
Triaenops persicus,329870,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Rhinonycteridae,NCBI:taxid,NA
Tupaia glis,9395,TRUE,TRUE,FALSE,Scandentia,Prosimians,NA,102,Scandentia,Tupaiidae,Tupaia glis,FALSE,Scandentia,Tupaiidae,NCBI:taxid,TRUE
Tupaia minor,NA,TRUE,FALSE,FALSE,Scandentia,Prosimians,NA,104,Scandentia,Tupaiidae,Tupaia minor,FALSE,Scandentia,Tupaiidae,NCBI:name,TRUE
Urogale everetti,NA,TRUE,FALSE,FALSE,Scandentia,Prosimians,NA,106,Scandentia,Tupaiidae,Tupaia everetti,FALSE,Scandentia,Tupaiidae,NCBI:name,TRUE
Ursus arctos,9644,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Ursidae,NCBI:taxid,NA
Ursus maritimus,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Ursidae,NCBI:name,NA
Varecia variegata,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Lemuridae,124,Primates,Lemuridae,Varecia variegata,FALSE,Primates,Lemuridae,NCBI:name,TRUE
Vulpes zerda,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Canidae,NCBI:name,NA
Wallabia bicolor,9330,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Diprotodontia,Macropodidae,NCBI:taxid,NA
Zalophus californianus,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Otariidae,NCBI:name,NA
