accepted_name,ncbi_taxid,in_Stephan,in_HerculanoHouzel,in_Allman,Order_Stephan1981,Suborder_Stephan1981,Family_Stephan1981,code_Stephan1981,Order_MDD,Family_MDD,mdd_accepted_name,needs_taxonomy_review,Order_resolved,Family_resolved,taxonomy_source,order_matches_MDD
Epomophorus wahlbergi,58067,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Pteropodidae,NCBI:taxid,NA
Epomops franqueti,77231,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Pteropodidae,NCBI:taxid,NA
Equus burchelli,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Perissodactyla,Equidae,NCBI:name,NA
Erinaceus europaeus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Erinaceidae,22,Eulipotyphla,Erinaceidae,Erinaceus europaeus,FALSE,Eulipotyphla,Erinaceidae,NCBI:name,TRUE
Erythrocebus patas,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,234,Primates,Cercopithecidae,Erythrocebus patas,FALSE,Primates,Cercopithecidae,NCBI:name,TRUE
Eulemur fulvus,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Lemuridae,118,Primates,Lemuridae,Eulemur fulvus,FALSE,Primates,Lemuridae,NCBI:name,TRUE
Eulemur mongoz,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Lemuridae,NCBI:name,NA
Felis catus,9685,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Felidae,NCBI:taxid,NA
Fukomys anselli,261002,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Fukomys damarensis,885580,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Fukomys darlingi,63616,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Fukomys mechowii,423607,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Galago senegalensis,NA,TRUE,FALSE,TRUE,Primates,Prosimians,Lorisidae,143,Primates,Galagidae,Galago senegalensis,FALSE,Primates,Galagidae,NCBI:name,TRUE
Galagoides demidoff,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Lorisidae,142,Primates,Galagidae,Galagoides demidoff,FALSE,Primates,Galagidae,NCBI:name,TRUE
Galemys pyrenaicus,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,84,Eulipotyphla,Talpidae,Galemys pyrenaicus,FALSE,Eulipotyphla,Talpidae,NCBI:name,TRUE
Galictis vittatus,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Mustelidae,GBIF,NA
Georychus capensis,10177,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Giraffa camelopardalis,9894,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Giraffidae,NCBI:taxid,NA
Gorilla gorilla,9593,FALSE,TRUE,FALSE,NA,NA,NA,NA,Primates,Hominidae,Gorilla gorilla,FALSE,Primates,Hominidae,NCBI:taxid,TRUE
Gorilla sp.,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,279,Primates,Hominidae,Gorilla gorilla,FALSE,Primates,Hominidae,GBIF,TRUE
Heliophobius argenteocinereus,10179,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Hemicentetes semispinosus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Tenrecinae,4,Afrosoricida,Tenrecidae,Hemicentetes semispinosus,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Hemiechinus auritus,NA,TRUE,FALSE,FALSE,Insectivora,Basal Insectivora,Erinaceidae,23,Eulipotyphla,Erinaceidae,Hemiechinus auritus,FALSE,Eulipotyphla,Erinaceidae,NCBI:name,TRUE
Heterocephalus glaber,10181,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Bathyergidae,NCBI:taxid,NA
Homo sapiens,9606,TRUE,TRUE,TRUE,Primates,Simians,NA,280,Primates,Hominidae,Homo sapiens,FALSE,Primates,Hominidae,NCBI:taxid,TRUE
Hyaena hyaena,95912,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Hyaenidae,NCBI:taxid,NA
Hydrochoerus hydrochaeris,10149,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Hydrochaeridae,NCBI:taxid,NA
Hylobates lar,NA,TRUE,FALSE,TRUE,Primates,Simians,NA,271,Primates,Hylobatidae,Hylobates lar,FALSE,Primates,Hylobatidae,NCBI:name,TRUE
Hylobates muelleri,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Hylobatidae,NCBI:name,NA
Hylomys suillus,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,NA,NA,NA,TRUE,Eulipotyphla,Erinaceidae,NCBI:name,NA
Hypsignathus monstrosus,448084,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Pteropodidae,NCBI:taxid,NA
Indri indri,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Indriidae,133,Primates,Indriidae,Indri indri,FALSE,Primates,Indriidae,NCBI:name,TRUE
Lagothrix lagothricha,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,186,Primates,Atelidae,Lagothrix lagothricha,FALSE,Primates,Atelidae,NCBI:name,TRUE
Lama glama,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Camelidae,NCBI:name,NA
Lemur catta,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Lemuridae,NCBI:name,NA
Leontopithecus rosalia,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cebidae,NCBI:name,NA
Lepilemur ruficaudatus,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Lemuridae,117,Primates,Lepilemuridae,Lepilemur ruficaudatus,FALSE,Primates,Lepilemuridae,NCBI:name,TRUE
Lophocebus albigena,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,209,Primates,Cercopithecidae,Lophocebus albigena,FALSE,Primates,Cercopithecidae,NCBI:name,TRUE
Loris tardigradus,NA,TRUE,FALSE,FALSE,Primates,Prosimians,Lorisidae,137,Primates,Lorisidae,Loris tardigradus,FALSE,Primates,Lorisidae,NCBI:name,TRUE
Loxodonta africana,9785,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Proboscidea,Elephantidae,NCBI:taxid,NA
Macaca fascicularis,9541,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:taxid,NA
Macaca maura,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:name,NA
Macaca mulatta,9544,TRUE,TRUE,TRUE,Primates,Simians,NA,202,Primates,Cercopithecidae,Macaca mulatta,FALSE,Primates,Cercopithecidae,NCBI:taxid,TRUE
Macaca nemestrina,9545,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:taxid,NA
Macaca radiata,9548,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:taxid,NA
Macronycteris commersoni,110941,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Hipposideridae,NCBI:taxid,NA
Macropus fuliginosus,9316,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Diprotodontia,Macropodidae,NCBI:taxid,NA
Mandrillus sphinx,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:name,NA
Marmosa mitis,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Didelphimorphia,Didelphidae,GBIF,NA
Marmosops incanus,225404,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Didelphimorphia,Didelphidae,NCBI:taxid,NA
Megaloglossus woermanni,58073,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Pteropodidae,NCBI:taxid,NA
Mesocricetus auratus,10036,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Cricetidae,NCBI:taxid,NA
Metachirus nudicaudatus,42725,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Didelphimorphia,Didelphidae,NCBI:taxid,NA
Microcebus murinus,30608,TRUE,TRUE,TRUE,Primates,Prosimians,Cheirogaleiclae,114,Primates,Cheirogaleidae,Microcebus murinus,FALSE,Primates,Cheirogaleidae,NCBI:taxid,TRUE
Microgale cowani,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,7,Afrosoricida,Tenrecidae,Microgale cowani,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Microgale mergulus,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,8,Afrosoricida,Tenrecidae,Microgale mergulus,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Micropotamogale lamottei,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,14,Afrosoricida,Potamogalidae,Micropotamogale lamottei,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Micropotamogale ruwenzorii,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Afrosoricida,Potamogalidae,Micropotamogale ruwenzorii,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Microsorex hoyi,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Sorex hoyi,FALSE,Soricomorpha,Soricidae,GBIF,FALSE
Miniopterus schreibersii,9433,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Miniopteridae,NCBI:taxid,NA
Miopithecus talapoin,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,232,Primates,Cercopithecidae,Miopithecus talapoin,FALSE,Primates,Cercopithecidae,NCBI:name,TRUE
Mops pumilus,242384,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Molossidae,NCBI:taxid,NA
