Species,Order,Family
Sminthopsis leucopus,Dasyuromorphia,Dasyuridae
Sminthopsis murina,Dasyuromorphia,Dasyuridae
Solenodon paradoxus,Eulipotyphla,Solenodontidae
Sorex araneus,Eulipotyphla,Soricidae
Sorex cinereus,Eulipotyphla,Soricidae
Sorex fumeus,Eulipotyphla,Soricidae
Sorex minutus,Eulipotyphla,Soricidae
Spalax ehrenbergi,Rodentia,Spalacidae
Spermophilus tridecemlineatus,Rodentia,Sciuridae
Suncus etruscus,Eulipotyphla,Soricidae
Suncus megalura,Eulipotyphla,Soricidae
Suncus murinus,Eulipotyphla,Soricidae
Sus scrofa,Artiodactyla,Suidae
Sus scrofa domesticus,Artiodactyla,Suidae
Sylvisorex granti,Eulipotyphla,Soricidae
Sylvisorex negalura,Eulipotyphla,Soricidae
Symphalangus syndactylus,Primates,Hylobatidae
Tachyglossus aculeatus,Monotremata,Tachyglossidae
Tadarida cynocephala,Chiroptera,Molossidae
Talpa europaea,Eulipotyphla,Talpidae
Tamandua tetradactyla,Pilosa,Myrmecophagidae
Tamias sibiricus,Rodentia,Sciuridae
Tamias striatus,Rodentia,Sciuridae
Tamiasciurus hudsonicus,Rodentia,Sciuridae
Tapirus,Perissodactyla,Tapiridae
Tapirus bairdii,Perissodactyla,Tapiridae
Tapirus indicus,Perissodactyla,Tapiridae
Tapirus terrestris,Perissodactyla,Tapiridae
Tarsipes rostratus,Diprotodontia,Tarsipedidae
Tarsius,Primates,Tarsiidae
Tarsius bancanus,Primates,Tarsiidae
Tarsius dentatus,Primates,Tarsiidae
Tarsius sp.,Primates,Tarsiidae
Tarsius syrichta,Primates,Tarsiidae
Tarsius tarsier,Primates,Tarsiidae
Taxidea taxus,Carnivora,Mustelidae
Tayassu tajacu,Artiodactyla,Tayassuidae
Tenrec ecaudatus,Afrosoricida,Tenrecidae
Thallomys paedulcus,Rodentia,Muridae
Theropithecus gelada,Primates,Cercopithecidae
Thomomys talpoides,Rodentia,Geomyidae
Thylamys elegans,Didelphimorphia,Didelphidae
Thylogale stigmatica,Diprotodontia,Macropodidae
Thylogale thetis,Diprotodontia,Macropodidae
Trachypithecus auratus,Primates,Cercopithecidae
Trachypithecus delacouri,Primates,Cercopithecidae
Trachypithecus francoisi,Primates,Cercopithecidae
Trachypithecus hatinhensis,Primates,Cercopithecidae
Trachypithecus johnii,Primates,Cercopithecidae
Trachypithecus leucocephalus,Primates,Cercopithecidae
Trachypithecus obscurus,Primates,Cercopithecidae
Trachypithecus phayrei,Primates,Cercopithecidae
Trachypithecus poliocephalus,Primates,Cercopithecidae
Tragelaphus strepsiceros,Artiodactyla,Bovidae
Triaenops persicus,Chiroptera,Rhinonycteridae
Trichechus manatus,Sirenia,Trichechidae
Trichechus manatus latirostris,Sirenia,Trichechidae
Trichosurus arnhemensis,Diprotodontia,Phalangeridae
Trichosurus caninus,Diprotodontia,Phalangeridae
Trichosurus vulpecula,Diprotodontia,Phalangeridae
Tupaia belangeri,Scandentia,Tupaiidae
Tupaia glis,Scandentia,Tupaiidae
Tupaia minor,Scandentia,Tupaiidae
Tupaia sp.,Scandentia,Tupaiidae
Tupaia tana,Scandentia,Tupaiidae
Tursiops truncatus,Cetacea,Delphinidae
Urogale everetti,Scandentia,Tupaiidae
Ursus americanus,Carnivora,Ursidae
Ursus arctos,Carnivora,Ursidae
Ursus maritimus,Carnivora,Ursidae
Varecia rubra,Primates,Lemuridae
Varecia variegata,Primates,Lemuridae
Varecia variegata rubra,Primates,Lemuridae
Vicugna pacos,Artiodactyla,Camelidae
Vombatus ursinus,Diprotodontia,Vombatidae
Vulpes vulpes,Carnivora,Canidae
Vulpes zerda,Carnivora,Canidae
Wallabia bicolor,Diprotodontia,Macropodidae
Zaglossus bruijni,Monotremata,Tachyglossidae
Zaglossus bruijnii,Monotremata,Tachyglossidae
Zalophus californianus,Carnivora,Otariidae
Zalophus wollebaeki,Carnivora,Otariidae
