compat_key,canonical_structure,measure_class,n_variables,n_papers,papers,taxa,roles,poolable
Nucleus_amygdalae_basalis_pars_magnocellularis | volume,Nucleus_amygdalae_basalis_pars_magnocellularis,volume,2,2,Stephan_etal_1981; Stephan_etal_1987,"Insectivora & Primates; Insectivora, Scandentia & Primates",primary,TRUE
Nucleus_tractus_olfactorius | volume,Nucleus_tractus_olfactorius,volume,2,2,Stephan_etal_1981; Stephan_etal_1987,"Insectivora & Primates; Insectivora, Scandentia & Primates",primary,TRUE
Pallidum | volume,Pallidum,volume,2,2,Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo)",primary,TRUE
Prepiriform_cortex | volume,Prepiriform_cortex,volume,2,2,Baron_etal_1987; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo)",primary,TRUE
WholeBrain | ECV.ml,WholeBrain,ECV.ml,2,2,Caspar_etal_2022; Heldstab_etal_2016,Primates,primary,TRUE
(structure-agnostic; see data columns) | value,(structure-agnostic; see data columns),value,32,1,Lewitus_etal_2014,Mammals,primary,FALSE
Diet | percentage (relative),Diet,percentage (relative),10,1,Wilman_etal_2014,mammals,primary,FALSE
M1_GLIprofile | GLI.profile.moment,M1_GLIprofile,GLI.profile.moment,10,1,Sherwood_etal_2004_I,,primary,FALSE
M1 | percentage (relative),M1,percentage (relative),8,1,Young_etal_2013,Primates,info; primary,FALSE
FrontalWhite | volume,FrontalWhite,volume,6,1,Smaers_etal_2011,Primates,both,FALSE
(structure-agnostic; see data columns) | age.yBP,(structure-agnostic; see data columns),age.yBP,5,1,Kochiyama_etal_2018,Homo,info; primary; secondary,FALSE
(structure-agnostic; see data columns) | (per measure),(structure-agnostic; see data columns),(per measure),4,1,Kaufman__2004,Mammals,primary,FALSE
Cerebellum | surface area,Cerebellum,surface area,4,1,Ashwell__2020,Mammalia,primary,FALSE
Insula | volume,Insula,volume,4,1,Bauernfeind_etal_2013,Primates,primary,FALSE
Internal carotid foramen | diam.mm,Internal carotid foramen,diam.mm,4,1,Seymour_etal_2019,Great Apes & Homo,primary,FALSE
Internal carotid foramen | radius.mm,Internal carotid foramen,radius.mm,4,1,Seymour_etal_2019,Great Apes & Homo,primary,FALSE
M1 | Density.per_g,M1,Density.per_g,4,1,Young_etal_2013,Primates,info; primary,FALSE
M1 | Density.per_mm2,M1,Density.per_mm2,4,1,Young_etal_2013,Primates,info; primary,FALSE
Neocortex | Density.per_mm2,Neocortex,Density.per_mm2,4,1,Collins_etal_2010,Primates,primary,FALSE
Neocortex | density (per mass/volume),Neocortex,density (per mass/volume),4,1,Lewitus_etal_2013,Mammals,secondary,FALSE
(structure-agnostic; see data columns) | regression,(structure-agnostic; see data columns),regression,3,1,Balzeau_etal_2012,Homo,secondary,FALSE
Activity | binary,Activity,binary,3,1,Wilman_etal_2014,mammals,info,FALSE
BasolateralDivision | volume,BasolateralDivision,volume,3,1,Barger_etal_2007,Apes & humans,primary,FALSE
Region | CMRgl,Region,CMRgl,3,1,Heiss_etal_2004,Homo sapiens,primary; secondary,FALSE
V1_AreaStriata | volume,V1_AreaStriata,volume,3,1,deSousa_etal_2010,Primates,primary,FALSE
(per Region) | CBF,(per Region),CBF,2,1,Kaufman__2004,Mammals,primary,FALSE
(per Region) | CMRO2,(per Region),CMRO2,2,1,Kaufman__2004,Mammals,primary,FALSE
(per Region) | CMRgl,(per Region),CMRgl,2,1,Kaufman__2004,Mammals,primary,FALSE
(structure-agnostic; see data columns) | Structure,(structure-agnostic; see data columns),Structure,2,1,Kaufman__2004,Mammals,primary,FALSE
AccessoryOlfactoryBulb | per mille (relative),AccessoryOlfactoryBulb,per mille (relative),2,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb | volume,AccessoryOlfactoryBulb,volume,2,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
Agranular_insular_cortex | volume,Agranular_insular_cortex,volume,2,1,Bauernfeind_etal_2013,Primates,primary,FALSE
AssociationCortex | volume,AssociationCortex,volume,2,1,Smaers_etal_2017,Primates,both,FALSE
Behaviour | size index (allometric),Behaviour,size index (allometric),2,1,Caspar_etal_2022,Primates,primary,FALSE
Cerebellum | CerebellumSize.g,Cerebellum,CerebellumSize.g,2,1,Heldstab_etal_2016,Primates,primary,FALSE
Cerebrum | volume,Cerebrum,volume,2,1,Kochiyama_etal_2018,Homo,primary,FALSE
Cortex | Thickness.mm,Cortex,Thickness.mm,2,1,Mota_etal_2015,Mammals,primary; secondary,FALSE
Cortex | size index (allometric),Cortex,size index (allometric),2,1,Mota_etal_2015,Mammals,primary; secondary,FALSE
Cortex | surface area,Cortex,surface area,2,1,Mota_etal_2015,Mammals,primary; secondary,FALSE
Diet | category,Diet,category,2,1,Wilman_etal_2014,mammals,primary,FALSE
Dysgranular_insular_cortex | volume,Dysgranular_insular_cortex,volume,2,1,Bauernfeind_etal_2013,Primates,primary,FALSE
Facial_motor_nucleus | volume,Facial_motor_nucleus,volume,2,1,Sherwood_etal_2005,,primary; secondary,FALSE
FrontalCortex | surface area,FrontalCortex,surface area,2,1,Semendeferi_etal_2002,Apes & humans,primary,FALSE
FrontalMotor | volume,FrontalMotor,volume,2,1,Smaers_etal_2017,Primates,both,FALSE
Granular_insular_cortex | volume,Granular_insular_cortex,volume,2,1,Bauernfeind_etal_2013,Primates,primary,FALSE
Hypoglossal_nucleus | volume,Hypoglossal_nucleus,volume,2,1,Sherwood_etal_2005,,primary; secondary,FALSE
Hypothalamus | volume,Hypothalamus,volume,2,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Internal carotid foramen | surface area,Internal carotid foramen,surface area,2,1,Seymour_etal_2019,Great Apes & Homo,primary,FALSE
Locomotion | percentage (relative),Locomotion,percentage (relative),2,1,Wimberly_etal_2021,mammals,primary,FALSE
M1 | mass,M1,mass,2,1,Young_etal_2013,Primates,info; primary,FALSE
M1 | surface area,M1,surface area,2,1,Young_etal_2013,Primates,info; primary,FALSE
M1_cortex | GLI,M1_cortex,GLI,2,1,Sherwood_etal_2004_I,,primary; secondary,FALSE
M1_layerII | GLI,M1_layerII,GLI,2,1,Sherwood_etal_2004_I,,primary; secondary,FALSE
M1_layerIII | GLI,M1_layerIII,GLI,2,1,Sherwood_etal_2004_I,,primary; secondary,FALSE
M1_layerV | GLI,M1_layerV,GLI,2,1,Sherwood_etal_2004_I,,primary; secondary,FALSE
M1_layerVI | GLI,M1_layerVI,GLI,2,1,Sherwood_etal_2004_I,,primary; secondary,FALSE
Neocortex | Neocortex.residual,Neocortex,Neocortex.residual,2,1,Iwaniuk_etal_2001,Primates,primary,FALSE
Neocortex | NeocortexSize.g,Neocortex,NeocortexSize.g,2,1,Heldstab_etal_2016,Primates,primary,FALSE
Neocortex | thickness.mm,Neocortex,thickness.mm,2,1,Lewitus_etal_2013,Mammals,primary,FALSE
NetBrain | mass,NetBrain,mass,2,1,Weaver_2001,"monkeys, apes, fossil hominids, humans",secondary,FALSE
OlfactoryBulb | per mille (relative),OlfactoryBulb,per mille (relative),2,1,Baron_etal_1983,"Insectivora, Scandentia & Primates",primary,FALSE
PosteriorCranialFossa | volume,PosteriorCranialFossa,volume,2,1,Weaver_2001,hominoids,primary,FALSE
PrefrontalCortex | volume,PrefrontalCortex,volume,2,1,Smaers_etal_2017,Primates,both,FALSE
PrimaryVisualCortex | volume,PrimaryVisualCortex,volume,2,1,Smaers_etal_2017,Primates,both,FALSE
Region | CMRgl.asymmetry,Region,CMRgl.asymmetry,2,1,Heiss_etal_2004,Homo sapiens,secondary,FALSE
Thalamus | volume,Thalamus,volume,2,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Trigeminal_motor_nucleus | volume,Trigeminal_motor_nucleus,volume,2,1,Sherwood_etal_2005,,primary; secondary,FALSE
VisualCortex | G.p.N.Stereology,VisualCortex,G.p.N.Stereology,2,1,Lewitus_etal_2014,Mammals,secondary,FALSE
WholeBrain | BrainSize.residual,WholeBrain,BrainSize.residual,2,1,Iwaniuk_etal_2001,Primates; Rodentia,primary,FALSE
WholeBrain | EQ,WholeBrain,EQ,2,1,Iwaniuk_etal_2001,Mammals; Marsupialia,primary,FALSE
fronto_insular_cortex | volume,fronto_insular_cortex,volume,2,1,Bauernfeind_etal_2013,Primates,primary,FALSE
(structure-agnostic; see data columns) | ActivityPattern,(structure-agnostic; see data columns),ActivityPattern,1,1,Bush_Allman_2004_a,,secondary,FALSE
(structure-agnostic; see data columns) | CellType,(structure-agnostic; see data columns),CellType,1,1,BarbeitoAndres_etal_2019,,primary,FALSE
(structure-agnostic; see data columns) | CommonName,(structure-agnostic; see data columns),CommonName,1,1,Ashwell__2020,Mammalia,primary,FALSE
(structure-agnostic; see data columns) | Condition,(structure-agnostic; see data columns),Condition,1,1,BarbeitoAndres_etal_2019,,primary,FALSE
(structure-agnostic; see data columns) | CorrectionFactor,(structure-agnostic; see data columns),CorrectionFactor,1,1,deSousa_etal_2010,,primary,FALSE
(structure-agnostic; see data columns) | Diet,(structure-agnostic; see data columns),Diet,1,1,Bush_Allman_2004_a,,secondary,FALSE
(structure-agnostic; see data columns) | Group,(structure-agnostic; see data columns),Group,1,1,Bush_Allman_2003,,primary,FALSE
(structure-agnostic; see data columns) | GroupSize,(structure-agnostic; see data columns),GroupSize,1,1,Bush_Allman_2004_a,,secondary,FALSE
(structure-agnostic; see data columns) | Grouping,(structure-agnostic; see data columns),Grouping,1,1,Heiss_etal_2004,Homo sapiens,primary,FALSE
(structure-agnostic; see data columns) | MeasureType,(structure-agnostic; see data columns),MeasureType,1,1,BarbeitoAndres_etal_2019,,primary,FALSE
(structure-agnostic; see data columns) | Reference,(structure-agnostic; see data columns),Reference,1,1,Kaufman__2004,Mammals,info,FALSE
(structure-agnostic; see data columns) | SocialGroup,(structure-agnostic; see data columns),SocialGroup,1,1,Bush_Allman_2004_a,,secondary,FALSE
(structure-agnostic; see data columns) | Stat,(structure-agnostic; see data columns),Stat,1,1,Heiss_etal_2004,Homo sapiens,secondary,FALSE
(structure-agnostic; see data columns) | Taxon,(structure-agnostic; see data columns),Taxon,1,1,Stephan_etal_1987,Insectivora–Primates (incl. Homo),primary,FALSE
(structure-agnostic; see data columns) | TaxonGroup,(structure-agnostic; see data columns),TaxonGroup,1,1,Ashwell__2020,Mammalia,primary,FALSE
(structure-agnostic; see data columns) | Units,(structure-agnostic; see data columns),Units,1,1,BarbeitoAndres_etal_2019,,primary,FALSE
(structure-agnostic; see data columns) | Value,(structure-agnostic; see data columns),Value,1,1,BarbeitoAndres_etal_2019,,primary,FALSE
(structure-agnostic; see data columns) | length,(structure-agnostic; see data columns),length,1,1,Burish_etal_2010,Primates (+ other mammals),review,FALSE
AccessoryOlfactoryBulb | size index (allometric),AccessoryOlfactoryBulb,size index (allometric),1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layer_6 | percentage (relative),AccessoryOlfactoryBulb_layer_6,percentage (relative),1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layer_6 | size index (allometric),AccessoryOlfactoryBulb_layer_6,size index (allometric),1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layer_6 | volume,AccessoryOlfactoryBulb_layer_6,volume,1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layers_1_2 | percentage (relative),AccessoryOlfactoryBulb_layers_1_2,percentage (relative),1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layers_1_2 | size index (allometric),AccessoryOlfactoryBulb_layers_1_2,size index (allometric),1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layers_1_2 | volume,AccessoryOlfactoryBulb_layers_1_2,volume,1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layers_3_5 | percentage (relative),AccessoryOlfactoryBulb_layers_3_5,percentage (relative),1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layers_3_5 | size index (allometric),AccessoryOlfactoryBulb_layers_3_5,size index (allometric),1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
AccessoryOlfactoryBulb_layers_3_5 | volume,AccessoryOlfactoryBulb_layers_3_5,volume,1,1,Stephan_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
Activity | category,Activity,category,1,1,Wilman_etal_2014,mammals,primary,FALSE
AnteriorCommissure | volume,AnteriorCommissure,volume,1,1,Baron_etal_1987,"Insectivora, Scandentia & Primates",primary,FALSE
Area10 | volume,Area10,volume,1,1,Semendeferi_etal_2001,Apes & humans,primary,FALSE
Area13 | volume,Area13,volume,1,1,Semendeferi_etal_1998,Apes & humans,primary,FALSE
Area_striata_lamina_1 | volume,Area_striata_lamina_1,volume,1,1,Frahm_etal_1984,Insectivora & Primates,primary,FALSE
Area_striata_laminae_2_6 | volume,Area_striata_laminae_2_6,volume,1,1,Frahm_etal_1984,Insectivora & Primates,primary,FALSE
Area_striata_white_matter | volume,Area_striata_white_matter,volume,1,1,Frahm_etal_1984,Insectivora & Primates,primary,FALSE
AssociationCortex | surface area,AssociationCortex,surface area,1,1,Smaers_etal_2017,Primates,both,FALSE
BasalNucleusMagnocellular | volume,BasalNucleusMagnocellular,volume,1,1,Stephan_etal_1987,Insectivora–Primates (incl. Homo),primary,FALSE
Behaviour | ManipulationComplexity,Behaviour,ManipulationComplexity,1,1,Heldstab_etal_2016,Primates,primary,FALSE
Body | length,Body,length,1,1,Wimberly_etal_2021,mammals,secondary,FALSE
Brain | Brain.size.mixed,Brain,Brain.size.mixed,1,1,Zilles_etal_2013,Mammals,secondary,FALSE
Brain | CMR.ml/g/min,Brain,CMR.ml/g/min,1,1,Karbowski__2007,Mammals,secondary,FALSE
Brain | Rate.ml/min,Brain,Rate.ml/min,1,1,Karbowski__2007,Mammals,secondary,FALSE
Brain | Rate.umol/min,Brain,Rate.umol/min,1,1,Karbowski__2007,Mammals,secondary,FALSE
Brain_weight | size index (allometric),Brain_weight,size index (allometric),1,1,Stephan_etal_1988,"Insectivora, Scandentia & Primates",primary,FALSE
Bulbus_olfactorius_accessorius | volume,Bulbus_olfactorius_accessorius,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
CA1 | volume,CA1,volume,1,1,Frahm_Zilles_1994,Insectivora & Primates,primary,FALSE
CA2 | volume,CA2,volume,1,1,Frahm_Zilles_1994,Insectivora & Primates,primary,FALSE
CA3 | volume,CA3,volume,1,1,Frahm_Zilles_1994,Insectivora & Primates,primary,FALSE
Capsula_interna | volume,Capsula_interna,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
CentralNucleus | volume,CentralNucleus,volume,1,1,Barger_etal_2014,Apes & humans,primary,FALSE
CentromedialAmygdala | volume,CentromedialAmygdala,volume,1,1,Stephan_etal_1987,Insectivora–Primates (incl. Homo),primary,FALSE
CerebellarCortex | volume,CerebellarCortex,volume,1,1,Ashwell__2020,Mammalia,primary,FALSE
CerebellarOrganization | Ratio,CerebellarOrganization,Ratio,1,1,Ashwell__2020,Mammalia,derived,FALSE
