compat_key,canonical_structure,measure_class,n_variables,n_papers,papers,taxa,roles,poolable
Neocortex_lamina_1 | volume,Neocortex_lamina_1,volume,1,1,Frahm_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
Neocortex_laminae_2_6 | volume,Neocortex_laminae_2_6,volume,1,1,Frahm_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
Neocortex_white_matter | percentage (relative),Neocortex_white_matter,percentage (relative),1,1,Frahm_etal_1982,"Insectivora, Scandentia & Primates",primary,FALSE
NetBrain | size index (allometric),NetBrain,size index (allometric),1,1,Weaver_2001,"monkeys, apes, fossil hominids, humans",secondary,FALSE
NucleusLateralOlfactoryTract | volume,NucleusLateralOlfactoryTract,volume,1,1,Stephan_etal_1987,Insectivora–Primates (incl. Homo),primary,FALSE
Nucleus_habenularis_medialis | volume,Nucleus_habenularis_medialis,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Nucleus_septalis_triangularis | volume,Nucleus_septalis_triangularis,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Nucleus_subthalamicus | volume,Nucleus_subthalamicus,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Nucleus_vestibularis_descendens | volume,Nucleus_vestibularis_descendens,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Nucleus_vestibularis_lateralis | volume,Nucleus_vestibularis_lateralis,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Nucleus_vestibularis_medialis | volume,Nucleus_vestibularis_medialis,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Nucleus_vestibularis_superior | volume,Nucleus_vestibularis_superior,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
OccipitalLobe | percentage (relative),OccipitalLobe,percentage (relative),1,1,Balzeau_etal_2012,Homo,secondary,FALSE
OccipitalLobe | regression,OccipitalLobe,regression,1,1,Balzeau_etal_2012,Homo,secondary,FALSE
OccipitalLobe | surface area,OccipitalLobe,surface area,1,1,Balzeau_etal_2012,Homo,secondary,FALSE
OlfactoryBulb | size index (allometric),OlfactoryBulb,size index (allometric),1,1,Baron_etal_1983,"Insectivora, Scandentia & Primates",primary,FALSE
OlfactoryTubercle | volume,OlfactoryTubercle,volume,1,1,Baron_etal_1987,"Insectivora, Scandentia & Primates",primary,FALSE
Palaeocortex_plus_amygdala | volume,Palaeocortex_plus_amygdala,volume,1,1,Stephan_etal_1970,,primary,FALSE
Parieto-TemporalLobe | percentage (relative),Parieto-TemporalLobe,percentage (relative),1,1,Balzeau_etal_2012,Homo,secondary,FALSE
Parieto-TemporalLobe | regression,Parieto-TemporalLobe,regression,1,1,Balzeau_etal_2012,Homo,secondary,FALSE
Parieto-TemporalLobe | surface area,Parieto-TemporalLobe,surface area,1,1,Balzeau_etal_2012,Homo,secondary,FALSE
Pons | volume,Pons,volume,1,1,Zilles__Rehkamper_1988,Primates (Pongo),primary,FALSE
PontinePrecerebellarNuclei | volume,PontinePrecerebellarNuclei,volume,1,1,Ashwell__2020,Mammalia,primary,FALSE
PrefrontalCortex | surface area,PrefrontalCortex,surface area,1,1,Smaers_etal_2017,Primates,both,FALSE
Primary motor cortex (M1) | surface area,Primary motor cortex (M1),surface area,1,1,__merging_cortical_areas,Primates,primary,FALSE
PrimaryVisualCortex | surface area,PrimaryVisualCortex,surface area,1,1,Smaers_etal_2017,Primates,both,FALSE
Retrobulbar_cortex | volume,Retrobulbar_cortex,volume,1,1,Baron_etal_1987,"Insectivora, Scandentia & Primates",primary,FALSE
Subiculum | volume,Subiculum,volume,1,1,Frahm_Zilles_1994,Insectivora & Primates,primary,FALSE
Substantia_innominata | volume,Substantia_innominata,volume,1,1,Baron_etal_1987,"Insectivora, Scandentia & Primates",primary,FALSE
Subthalamus | volume,Subthalamus,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
Tractus_opticus | volume,Tractus_opticus,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
V1 | length,V1,length,1,1,Bush_Allman_2004_b,,primary,FALSE
V1 | surface area,V1,surface area,1,1,Bush_Allman_2004_b,,primary,FALSE
V1 | volume,V1,volume,1,1,Bush_Allman_2004_b,,primary,FALSE
V1_AreaStriata | count (number),V1_AreaStriata,count (number),1,1,deSousa_etal_2010,Primates,metadata,FALSE
Ventral_pons | volume,Ventral_pons,volume,1,1,Matano_etal_1985_b,"Insectivora, Scandentia & Primates",primary,FALSE
Ventricle | volume,Ventricle,volume,1,1,Lewitus_etal_2013,Mammals,secondary,FALSE
Ventricles | volume,Ventricles,volume,1,1,Stephan_etal_1981,"Insectivora, Scandentia & Primates",primary,FALSE
VestibularComplex | volume,VestibularComplex,volume,1,1,Baron_etal_1988,"Insectivora, Scandentia & Primates",primary,FALSE
VestibularNucleusDescending | volume,VestibularNucleusDescending,volume,1,1,Baron_etal_1988,"Insectivora, Scandentia & Primates",primary,FALSE
VestibularNucleusLateral | volume,VestibularNucleusLateral,volume,1,1,Baron_etal_1988,"Insectivora, Scandentia & Primates",primary,FALSE
VestibularNucleusMedial | volume,VestibularNucleusMedial,volume,1,1,Baron_etal_1988,"Insectivora, Scandentia & Primates",primary,FALSE
VestibularNucleusSuperior | volume,VestibularNucleusSuperior,volume,1,1,Baron_etal_1988,"Insectivora, Scandentia & Primates",primary,FALSE
VisualArea17 | surface area,VisualArea17,surface area,1,1,Krubitzer_Kaas_1990,Primates,primary,FALSE
VisualArea18 | surface area,VisualArea18,surface area,1,1,Krubitzer_Kaas_1990,Primates,primary,FALSE
WholeBrain | count (number),WholeBrain,count (number),1,1,deSousa_etal_2010,Primates,metadata,FALSE
see structure col | CMR.umol/g/min,see structure col,CMR.umol/g/min,1,1,Karbowski__2007,Mammals,secondary,FALSE
