status,recommended_action,kind,source_publication,source_printed_name,proposed_accepted_name,decasien_taxon,basis,authority,evidence,n_cells,max_pct_diff,ref_ids,ref_is_stephan,adopted_from,corroborated_by,decided_by,decided_date,seeded_date,note
proposed,review,congeneric_diff_species,Rilling_Insel_1998_viaDeCasien,pan paniscus,pan troglodytes,pan troglodytes,reident,10kTrees_v3,value_match,5,1.695,61;64,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Sherwood_etal_2004_viaDeCasien,gorilla beringei,gorilla sp,gorilla sp,reident,10kTrees_v3,value_match,2,0.879,65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Sherwood_etal_2004_viaDeCasien,pongo pygmaeus,pongo abelii,pongo abelii,reident,10kTrees_v3,value_match,1,0.938,43,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Sherwood_etal_2005_Table1,callithrix jacchus,callithrix pygmaea,callithrix pygmaea,reident,10kTrees_v3,value_match,1,0.0,53,FALSE,DeCasien_Higham_2019,,,,2026-06-25,exact value match; different epithet — verify synonym vs value coincidence before adopting
proposed,adopt,sp_to_species,Sherwood_etal_2005_Table1,pongo sp,pongo pygmaeus,pongo pygmaeus,reident,10kTrees_v3,value_match,1,0.0,53,FALSE,DeCasien_Higham_2019,,,,2026-06-25,exact value match
proposed,review,congeneric_diff_species,Stephan_etal_1970_Tables1-6,avahi laniger,avahi occidentalis,avahi occidentalis,reident,10kTrees_v3,value_match,2,0.0,24;51;52,TRUE,DeCasien_Higham_2019,,,,2026-06-25,exact value match; different epithet — verify synonym vs value coincidence before adopting
proposed,adopt,sp_to_species,Stephan_etal_1970_Tables1-6,cebus sp,cebus albifrons,cebus albifrons,reident,10kTrees_v3,value_match,1,0.159,34,FALSE,DeCasien_Higham_2019,,,,2026-06-25,
proposed,review,subspecies,Stephan_etal_1970_Tables1-6,gorilla gorilla,gorilla gorilla graueri,gorilla gorilla graueri,reident,10kTrees_v3,value_match,1,1.193,65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,"CONFLICT: source name proposed to >1 species: gorilla gorilla graueri, gorilla sp"
proposed,review,congeneric_diff_species,Stephan_etal_1970_Tables1-6,gorilla gorilla,gorilla sp,gorilla sp,reident,10kTrees_v3,value_match,3,1.399,60;65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,"CONFLICT: source name proposed to >1 species: gorilla gorilla graueri, gorilla sp; different epithet — verify synonym vs value coincidence before adopting"
proposed,review,congeneric_diff_species,Stephan_etal_1970_Tables1-6,tarsius syrichta,tarsius sp,tarsius sp,reident,10kTrees_v3,value_match,1,0.0,24;51;52,TRUE,DeCasien_Higham_2019,,,,2026-06-25,exact value match; different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Stephan_etal_1981_Table1,eulemur fulvus,eulemur mongoz,eulemur mongoz,reident,10kTrees_v3,value_match,1,1.45,54;55,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Stephan_etal_1981_Table1,pan troglodytes,pan paniscus,pan paniscus,reident,10kTrees_v3,value_match,4,0.969,43;56;57;60;61,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,review,congeneric_diff_species,Stimpson_etal_2015_viaDeCasien,pan paniscus,pan troglodytes,pan troglodytes,reident,10kTrees_v3,value_match,4,1.23,56;57;58;64,FALSE,DeCasien_Higham_2019,,,,2026-06-25,different epithet — verify synonym vs value coincidence before adopting
proposed,adopt,sp_to_species,Zilles_Rehkämper_1988_Table12-2,pongo sp,pongo pygmaeus,pongo pygmaeus,reident,10kTrees_v3,value_match,13,0.466,59;60;61,FALSE,DeCasien_Higham_2019,,,,2026-06-25,
proposed,adopt,sp_to_species,deSousa_etal_2010_Table1,gorilla sp,gorilla beringei,gorilla beringei,reident,10kTrees_v3,value_match,4,1.543,65,FALSE,DeCasien_Higham_2019,,,,2026-06-25,
proposed,adopt,sp_to_species,deSousa_etal_2010_Table1,pongo sp,pongo pygmaeus,pongo pygmaeus,reident,10kTrees_v3,value_match,5,0.754,60;64,FALSE,DeCasien_Higham_2019,,,,2026-06-25,
