"Group","Region_raw","Structure","Hemisphere","n","mean.mm3","sd.mm3","se.mm3"
"UK","lh_bankssts","bankssts","L",21,2597.048,413.326,90.195
"UK","lh_caudalanteriorcingulate","caudalanteriorcingulate","L",21,1621.333,489.674,106.856
"UK","lh_caudalmiddlefrontal","caudalmiddlefrontal","L",21,6772.476,1031.325,225.054
"UK","lh_cuneus","cuneus","L",21,3165.048,502.564,109.669
"UK","lh_entorhinal","entorhinal","L",21,1968.952,437.731,95.521
"UK","lh_fusiform","fusiform","L",21,10507.286,1379.352,300.999
"UK","lh_inferiorparietal","inferiorparietal","L",21,12813.048,1597.531,348.61
"UK","lh_inferiortemporal","inferiortemporal","L",21,11994.81,1594.196,347.882
"UK","lh_isthmuscingulate","isthmuscingulate","L",21,2774.286,322.559,70.388
"UK","lh_lateraloccipital","lateraloccipital","L",21,13111,1428.858,311.802
"UK","lh_lateralorbitofrontal","lateralorbitofrontal","L",21,7938.714,991.186,216.295
"UK","lh_lingual","lingual","L",21,6748.333,769.29,167.873
"UK","lh_medialorbitofrontal","medialorbitofrontal","L",21,5242.238,736.781,160.779
"UK","lh_middletemporal","middletemporal","L",21,12156.81,1360.703,296.93
"UK","lh_parahippocampal","parahippocampal","L",21,2233.524,251.3,54.838
"UK","lh_paracentral","paracentral","L",21,3543.905,456.18,99.547
"UK","lh_parsopercularis","parsopercularis","L",21,5576.238,1301.647,284.043
"UK","lh_parsorbitalis","parsorbitalis","L",21,2664.429,383.853,83.764
"UK","lh_parstriangularis","parstriangularis","L",21,4398.286,795.657,173.627
"UK","lh_pericalcarine","pericalcarine","L",21,2284.524,506.948,110.625
"UK","lh_postcentral","postcentral","L",21,10217.19,1160.538,253.25
"UK","lh_posteriorcingulate","posteriorcingulate","L",21,3151.048,462.098,100.838
"UK","lh_precentral","precentral","L",21,14585.81,1559.204,340.246
"UK","lh_precuneus","precuneus","L",21,10056.381,1281.637,279.676
"UK","lh_rostralanteriorcingulate","rostralanteriorcingulate","L",21,2543.095,485.894,106.031
"UK","lh_rostralmiddlefrontal","rostralmiddlefrontal","L",21,17088,2270.042,495.364
"UK","lh_superiorfrontal","superiorfrontal","L",21,23639.714,3092.519,674.843
"UK","lh_superiorparietal","superiorparietal","L",21,14005.19,1432.391,312.573
"UK","lh_superiortemporal","superiortemporal","L",21,14001.667,1965.539,428.916
"UK","lh_supramarginal","supramarginal","L",21,12888.238,1995.897,435.541
"UK","lh_frontalpole","frontalpole","L",21,1119.762,151.363,33.03
"UK","lh_temporalpole","temporalpole","L",21,2363.524,427.745,93.342
"UK","lh_transversetemporal","transversetemporal","L",21,1280.19,255.799,55.82
"UK","lh_insula","insula","L",21,7114.524,678.975,148.165
"UK","BrainSegVolNotVent.x","BrainSegVolNotVent.x",NA,21,1177242.095,109776.588,23955.215
"UK","eTIV.x","eTIV.x",NA,21,1475979.872,134821.505,29420.464
"UK","rh_bankssts","bankssts","R",21,2301.571,436.322,95.213
"UK","rh_caudalanteriorcingulate","caudalanteriorcingulate","R",21,2125.143,478.683,104.457
"UK","rh_caudalmiddlefrontal","caudalmiddlefrontal","R",21,6217.762,1246.243,271.953
"UK","rh_cuneus","cuneus","R",21,3550.81,502.611,109.679
"UK","rh_entorhinal","entorhinal","R",21,1926.143,335.971,73.315
"UK","rh_fusiform","fusiform","R",21,9982.952,1542.363,336.571
"UK","rh_inferiorparietal","inferiorparietal","R",21,15833.286,2263.261,493.884
"UK","rh_inferiortemporal","inferiortemporal","R",21,11071.905,1863.189,406.581
"UK","rh_isthmuscingulate","isthmuscingulate","R",21,2608.476,363.769,79.381
"UK","rh_lateraloccipital","lateraloccipital","R",21,13670.571,1859.956,405.876
"UK","rh_lateralorbitofrontal","lateralorbitofrontal","R",21,7738.762,982.784,214.461
"UK","rh_lingual","lingual","R",21,7454.19,1083.346,236.405
"UK","rh_medialorbitofrontal","medialorbitofrontal","R",21,5324.19,598.113,130.519
"UK","rh_middletemporal","middletemporal","R",21,12898.238,1436.27,313.42
"UK","rh_parahippocampal","parahippocampal","R",21,2160.238,259.259,56.575
"UK","rh_paracentral","paracentral","R",21,3886.667,640.875,139.85
"UK","rh_parsopercularis","parsopercularis","R",21,4457.286,826.22,180.296
"UK","rh_parsorbitalis","parsorbitalis","R",21,3127.762,419.648,91.575
"UK","rh_parstriangularis","parstriangularis","R",21,4838.524,586.198,127.919
"UK","rh_pericalcarine","pericalcarine","R",21,2284.619,390.891,85.299
"UK","rh_postcentral","postcentral","R",21,9603.905,1338.854,292.162
"UK","rh_posteriorcingulate","posteriorcingulate","R",21,3490.095,480.034,104.752
"UK","rh_precentral","precentral","R",21,13562.857,2045.804,446.431
"UK","rh_precuneus","precuneus","R",21,10532.286,1147.041,250.305
"UK","rh_rostralanteriorcingulate","rostralanteriorcingulate","R",21,2064.952,411.006,89.689
"UK","rh_rostralmiddlefrontal","rostralmiddlefrontal","R",21,16644.381,2407.832,525.432
"UK","rh_superiorfrontal","superiorfrontal","R",21,22345.619,2822.188,615.852
"UK","rh_superiorparietal","superiorparietal","R",21,13884.667,1854.789,404.748
"UK","rh_superiortemporal","superiortemporal","R",21,12127.667,1761.304,384.348
"UK","rh_supramarginal","supramarginal","R",21,10534.81,1475.119,321.897
"UK","rh_frontalpole","frontalpole","R",21,1365.381,188.806,41.201
"UK","rh_temporalpole","temporalpole","R",21,2528.81,490.481,107.032
"UK","rh_transversetemporal","transversetemporal","R",21,979.667,157.901,34.457
"UK","rh_insula","insula","R",21,7057.762,869.244,189.685
"Romanian","lh_bankssts","bankssts","L",67,2350.627,510.048,62.312
"Romanian","lh_caudalanteriorcingulate","caudalanteriorcingulate","L",67,1480.075,327.827,40.05
"Romanian","lh_caudalmiddlefrontal","caudalmiddlefrontal","L",67,6063.299,1019.256,124.522
"Romanian","lh_cuneus","cuneus","L",67,2864.567,631.07,77.097
"Romanian","lh_entorhinal","entorhinal","L",67,2106.373,356.305,43.53
"Romanian","lh_fusiform","fusiform","L",67,9546.642,1227.665,149.983
"Romanian","lh_inferiorparietal","inferiorparietal","L",67,11467.09,1661.388,202.971
"Romanian","lh_inferiortemporal","inferiortemporal","L",67,11610,1750.92,213.909
"Romanian","lh_isthmuscingulate","isthmuscingulate","L",67,2405.582,333.054,40.689
"Romanian","lh_lateraloccipital","lateraloccipital","L",67,12169.06,1820.57,222.418
"Romanian","lh_lateralorbitofrontal","lateralorbitofrontal","L",67,7524.955,829.731,101.368
"Romanian","lh_lingual","lingual","L",67,6445.672,1039.235,126.963
"Romanian","lh_medialorbitofrontal","medialorbitofrontal","L",67,4917.91,660.884,80.74
"Romanian","lh_middletemporal","middletemporal","L",67,10997.701,1564.961,191.19
"Romanian","lh_parahippocampal","parahippocampal","L",67,2265.701,362.142,44.243
"Romanian","lh_paracentral","paracentral","L",67,3364.075,392.165,47.911
"Romanian","lh_parsopercularis","parsopercularis","L",67,4697.925,697.911,85.263
"Romanian","lh_parsorbitalis","parsorbitalis","L",67,2494.836,378.379,46.226
"Romanian","lh_parstriangularis","parstriangularis","L",67,3641.791,617.144,75.396
"Romanian","lh_pericalcarine","pericalcarine","L",67,2020.567,519.059,63.413
"Romanian","lh_postcentral","postcentral","L",67,9109.09,1080.541,132.009
"Romanian","lh_posteriorcingulate","posteriorcingulate","L",67,2958.896,443.749,54.213
"Romanian","lh_precentral","precentral","L",67,13383.433,1490.194,182.056
"Romanian","lh_precuneus","precuneus","L",67,8796.552,1121.029,136.955
"Romanian","lh_rostralanteriorcingulate","rostralanteriorcingulate","L",67,2256.851,449.957,54.971
"Romanian","lh_rostralmiddlefrontal","rostralmiddlefrontal","L",67,14983.134,2286.078,279.289
"Romanian","lh_superiorfrontal","superiorfrontal","L",67,21778.746,2654.647,324.317
"Romanian","lh_superiorparietal","superiorparietal","L",67,12410.403,1652.823,201.924
"Romanian","lh_superiortemporal","superiortemporal","L",67,12228.537,1458.315,178.162
"Romanian","lh_supramarginal","supramarginal","L",67,11146.164,2092.92,255.691
"Romanian","lh_frontalpole","frontalpole","L",67,1048.91,154.581,18.885
"Romanian","lh_temporalpole","temporalpole","L",67,2383.552,421.139,51.45
"Romanian","lh_transversetemporal","transversetemporal","L",67,1033.597,207.659,25.37
"Romanian","lh_insula","insula","L",67,6587.507,803.517,98.165
"Romanian","BrainSegVolNotVent.x","BrainSegVolNotVent.x",NA,67,1062345.254,104579.455,12776.414
"Romanian","eTIV.x","eTIV.x",NA,67,1348043.166,133464.803,16305.321
"Romanian","rh_bankssts","bankssts","R",67,2039.791,327.283,39.984
"Romanian","rh_caudalanteriorcingulate","caudalanteriorcingulate","R",67,1829.866,362.293,44.261
"Romanian","rh_caudalmiddlefrontal","caudalmiddlefrontal","R",67,5744.657,982.998,120.092
"Romanian","rh_cuneus","cuneus","R",67,3005.597,565.81,69.125
"Romanian","rh_entorhinal","entorhinal","R",67,2090.776,433.81,52.998
"Romanian","rh_fusiform","fusiform","R",67,9291.91,1238.536,151.311
"Romanian","rh_inferiorparietal","inferiorparietal","R",67,14068.328,2049.765,250.419
"Romanian","rh_inferiortemporal","inferiortemporal","R",67,11014.239,1587.737,193.973
"Romanian","rh_isthmuscingulate","isthmuscingulate","R",67,2418.194,401.906,49.101
"Romanian","rh_lateraloccipital","lateraloccipital","R",67,12325.507,1766.151,215.77
"Romanian","rh_lateralorbitofrontal","lateralorbitofrontal","R",67,7401.045,832.622,101.721
"Romanian","rh_lingual","lingual","R",67,6710.134,947.187,115.717
"Romanian","rh_medialorbitofrontal","medialorbitofrontal","R",67,5099.582,685.052,83.692
"Romanian","rh_middletemporal","middletemporal","R",67,11660.597,1501.167,183.397
"Romanian","rh_parahippocampal","parahippocampal","R",67,2104.552,294.254,35.949
"Romanian","rh_paracentral","paracentral","R",67,3752.97,453.662,55.424
"Romanian","rh_parsopercularis","parsopercularis","R",67,3697.731,565.811,69.125
"Romanian","rh_parsorbitalis","parsorbitalis","R",67,2896.537,435.903,53.254
"Romanian","rh_parstriangularis","parstriangularis","R",67,4110.03,684.099,83.576
"Romanian","rh_pericalcarine","pericalcarine","R",67,2099.672,498.757,60.933
"Romanian","rh_postcentral","postcentral","R",67,8596.239,1226.603,149.853
"Romanian","rh_posteriorcingulate","posteriorcingulate","R",67,3083.896,393.435,48.066
"Romanian","rh_precentral","precentral","R",67,12917.134,1458.708,178.21
"Romanian","rh_precuneus","precuneus","R",67,9451.642,1164.924,142.318
"Romanian","rh_rostralanteriorcingulate","rostralanteriorcingulate","R",67,1757.642,369.415,45.131
"Romanian","rh_rostralmiddlefrontal","rostralmiddlefrontal","R",67,14415.881,2092.608,255.653
"Romanian","rh_superiorfrontal","superiorfrontal","R",67,20341.657,2304.685,281.562
"Romanian","rh_superiorparietal","superiorparietal","R",67,12188.731,1506.53,184.052
"Romanian","rh_superiortemporal","superiortemporal","R",67,11277.09,1346.071,164.449
"Romanian","rh_supramarginal","supramarginal","R",67,9522.687,1583.271,193.427
"Romanian","rh_frontalpole","frontalpole","R",67,1249.179,174.671,21.339
"Romanian","rh_temporalpole","temporalpole","R",67,2461.254,411.181,50.234
"Romanian","rh_transversetemporal","transversetemporal","R",67,834.134,141.428,17.278
"Romanian","rh_insula","insula","R",67,6598.194,889.176,108.63
