"Standard_old","DosSantos2017_old","JardimMessender2017_old","Original_Term","Standardized_Term"
"CerebralCortexGreyMatter_ON","O/NGM",NA,"Cerebral cortex Grey matter O/N","CerebralCortexGrey_O.p.N"
"DiencephalonStriatum_Mass_g","MD+S",NA,"Diencephalon+Striatum Mass, g","DiencephalonStriatum_Mass.g"
"DiencephalonStriatum_N_n","ND+S",NA,"Diencephalon+Striatum N, n","DiencephalonStriatum_N.n"
"DiencephalonStriatum_Nmg","DND + S",NA,"Diencephalon+Striatum N/mg","DiencephalonStriatum_N.p.mg"
"DiencephalonStriatum_O_n","",NA,"Diencephalon+Striatum O, n","DiencephalonStriatum_O.n"
"DiencephalonStriatum_ON","O/ND+S",NA,"Diencephalon+Striatum O/N","DiencephalonStriatum_O.p.N"
"Hippocampus_Mass_g","MHP","MHP.g","Hippocampus Mass, g","Hippocampus_Mass.g"
"Hippocampus_N_n","NHP","NHP","Hippocampus N, n","Hippocampus_N.n"
"Hippocampus_Nmg","DNHP","DNHP","Hippocampus N/mg","Hippocampus_N.p.mg"
"Hippocampus_O_n","","OHP","Hippocampus O, n","Hippocampus_O.n"
"Hippocampus_ON","O/NHP","O/NHP","Hippocampus O/N","Hippocampus_O.p.N"
"Mesencephalon_Mass_g","MMES",NA,"Mesencephalon Mass, g","Mesencephalon_Mass.g"
"Mesencephalon_N_n","NMES",NA,"Mesencephalon N, n","Mesencephalon_N.n"
"Mesencephalon_Nmg","DNMES",NA,"Mesencephalon N/mg","Mesencephalon_N.p.mg"
"Mesencephalon_O_n","",NA,"Mesencephalon O, n","Mesencephalon_O.n"
"Mesencephalon_ON","O/NMES",NA,"Mesencephalon O/N","Mesencephalon_O.p.N"
"MesencephalonDiencephalonStriatum_Mass_g","MMES+D+S",NA,"Mesencephalon+Diencephalon+Striatum Mass, g","MesencephalonDiencephalonStriatum_Mass.g"
"MesencephalonDiencephalonStriatum_N_n","NMES+D+S",NA,"Mesencephalon+Diencephalon+Striatum N, n","MesencephalonDiencephalonStriatum_N.n"
"MesencephalonDiencephalonStriatum_Nmg","DNMES+D+S",NA,"Mesencephalon+Diencephalon+Striatum N/mg","MesencephalonDiencephalonStriatum_N.p.mg"
"MesencephalonDiencephalonStriatum_O_n","",NA,"Mesencephalon+Diencephalon+Striatum O, n","MesencephalonDiencephalonStriatum_O.n"
"MesencephalonDiencephalonStriatum_ON","O/NMES+D+S",NA,"Mesencephalon+Diencephalon+Striatum O/N","MesencephalonDiencephalonStriatum_O.p.N"
"OlfactoryBulb_Mass_g","MOB","MOB.g","Olfactory bulb Mass, g","OlfactoryBulb_Mass.g"
"OlfactoryBulb_Mass_g_SD","",NA,"Olfactory bulb Mass, g SD","OlfactoryBulb_Mass.g_SD"
"OlfactoryBulb_n","",NA,"Olfactory bulb n","OlfactoryBulb_n"
"OlfactoryBulb_N_n","NOB","NOB","Olfactory bulb N, n","OlfactoryBulb_N.n"
"OlfactoryBulb_N_n_SD","",NA,"Olfactory bulb N, n SD","OlfactoryBulb_N.n_SD"
"OlfactoryBulb_Nmg","DNOB","DNOB","Olfactory bulb N/mg","OlfactoryBulb_N.p.mg"
"OlfactoryBulb_Nmg_SD","",NA,"Olfactory bulb N/mg SD","OlfactoryBulb_N.p.mg_SD"
"OlfactoryBulb_O_n","","OOB","Olfactory bulb O, n","OlfactoryBulb_O.n"
"OlfactoryBulb_O_n_SD","",NA,"Olfactory bulb O, n SD","OlfactoryBulb_O.n_SD"
"OlfactoryBulb_Omg","",NA,"Olfactory bulb O/mg","OlfactoryBulb_O.p.mg"
"OlfactoryBulb_Omg_SD","",NA,"Olfactory bulb O/mg SD","OlfactoryBulb_O.p.mg_SD"
"OlfactoryBulb_ON","O/NOB","O/NOB","Olfactory bulb O/N","OlfactoryBulb_O.p.N"
"OlfactoryBulb_ON_SD","",NA,"Olfactory bulb O/N SD","OlfactoryBulb_O.p.N_SD"
"OlfactoryBulb_Source","",NA,"Olfactory bulb Source","OlfactoryBulb_Source"
"Order","",NA,"Order","Order"
