"Standard_old","DosSantos2017_old"
"Cerebellum_ON","O/NCB"
"OlfactoryBulb_Mass_g","MOB"
"WholeBrain_ON","O/NBR"
"OlfactoryBulb_ON","O/NOB"
"Cerebellum_Mass_g","MCB"
"WholeBrain_n",""
"OlfactoryBulb_n",""
"CerebralCortex_ON","O/NCX"
"RoB_Mass_g","MROB"
"CerebralCortex_Mass_g","MCX"
"WholeBrain_Mass_g","MBR"
"WholeBrain_percent_Neurons",""
"Body_Mass_g","MBD"
"RoB_Nmg","DNROB"
"CerebralCortex_Nmg","DNCX"
"CerebralCortex_Omg",""
"RoB_Omg",""
"Cerebellum_Omg",""
"OlfactoryBulb_Nmg","DNOB"
"OlfactoryBulb_Omg",""
"Cerebellum_Nmg","DNCB"
"RoB_N_n","NROB"
"OlfactoryBulb_N_n","NOB"
"OlfactoryBulb_O_n",""
"CerebralCortex_N_n","NCX"
"Cerebellum_O_n",""
"RoB_O_n",""
"CerebralCortex_O_n",""
"Cerebellum_N_n","NCB"
"WholeBrain_N_n","NBR"
"WholeBrain_O_n",""
"Order",""
"OlfactoryBulb_Source",""
"Cerebellum_Source",""
"CerebralCortex_Source",""
"RoB_Source",""
"WholeBrain_Source",""
"DiencephalonStriatum_Mass_g","MD+S"
"Hippocampus_Mass_g","MHP"
"Mesencephalon_Mass_g","MMES"
"MesencephalonDiencephalonStriatum_Mass_g","MMES+D+S"
"PonsMedulla_Mass_g","MP+M"
"CerebralCortexGreyMatter_Nmg","DNGM"
"DiencephalonStriatum_Nmg","DND + S"
"Hippocampus_Nmg","DNHP"
"Mesencephalon_Nmg","DNMES"
"MesencephalonDiencephalonStriatum_Nmg","DNMES+D+S"
"PonsMedulla_Nmg","DNP+M"
"CerebralCortexGreyMatter_N_n","NGM"
"DiencephalonStriatum_N_n","ND+S"
"Hippocampus_N_n","NHP"
"Mesencephalon_N_n","NMES"
"MesencephalonDiencephalonStriatum_N_n","NMES+D+S"
"PonsMedulla_N_n","NP+M"
"CerebralCortexGreyMatter_O_n",""
"DiencephalonStriatum_O_n",""
"Hippocampus_O_n",""
"Mesencephalon_O_n",""
"MesencephalonDiencephalonStriatum_O_n",""
"PonsMedulla_O_n",""
"CerebralCortexGreyMatter_ON","O/NGM"
"DiencephalonStriatum_ON","O/ND+S "
"Hippocampus_ON","O/NHP"
"Mesencephalon_ON","O/NMES"
"MesencephalonDiencephalonStriatum_ON","O/NMES+D+S"
"PonsMedulla_ON","O/NP+M"
"Cerebellum_ON_SD",""
"CerebralCortex_ON_SD",""
"OlfactoryBulb_Mass_g_SD",""
"OlfactoryBulb_ON_SD",""
"RoB_Mass_g_SD",""
"CerebralCortex_Nmg_SD",""
"OlfactoryBulb_Omg_SD",""
"CerebralCortex_Mass_g_SD",""
"WholeBrain_Mass_g_SD",""
"OlfactoryBulb_Nmg_SD",""
"OlfactoryBulb_O_n_SD",""
"Body_Mass_g_SD",""
"CerebralCortex_N_n_SD",""
"Cerebellum_O_n_SD",""
"Cerebellum_Nmg_SD",""
"OlfactoryBulb_N_n_SD",""
"Cerebellum_N_n_SD",""
"Cerebellum_Omg_SD",""
"CerebralCortex_Omg_SD",""
"CerebralCortex_O_n_SD",""
"WholeBrain_Nmg",""
"WholeBrain_Omg",""
"RoB_ON","O/NROB"
"RoB_ON_SD",""
"RoB_N_n_SD",""
"RoB_Omg_SD",""
"WholeBrain_N_n_SD",""
"RoB_O_n_SD",""
"RoB_Nmg_SD",""
"WholeBrain_O_n_SD",""
"Cerebellum_Mass_g_SD",""
"WholeBrain_percent_Neurons_SD",""
