accepted_name,ncbi_taxid,variant_name,source_datasets
Amblysomus hottentotus,9391,Amblysomus hottentotus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Antidorcas marsupialis,59523,Antidorcas marsupialis,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Aotus trivirgatus,9505,Aotus trivirgatus,"Burish_etal_2010_Table1, DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Balaenoptera acutorostrata,9767,Balaenoptera acutorostrata,AvelinodeSouza_etal_2025_TABLE1
Bathyergus suillus,10172,Bathyergus suillus,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Blarina brevicauda,9387,Blarina brevicauda,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Callimico goeldii,9495,Callimico goeldii,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table3"
Callithrix jacchus,9483,Callithrix jacchus,"Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Canis lupus familiaris,9615,Canis familiaris,"DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1"
Cardioderma cor,270764,Cardioderma cor,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Casinycteris argynnis,1091509,Casinycteris argynnis,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Cavia porcellus,10141,Cavia porcellus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Sapajus apella,9515,Cebus apella,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Mops pumilus,242384,Chaerephon pumilus,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Coleura afra,907075,Coleura afra,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
