standardized_term,structure,measure,original_term_variant,reference
Amygdala_Mass.g,Amygdala,Mass.g,"Amygdala_Mass, g",AvelinodeSouza_etal_2025_TABLE1
Amygdala_N.n,Amygdala,N.n,Amygdala_Neurons,AvelinodeSouza_etal_2025_TABLE1
Amygdala_N.p.mg,Amygdala,N.p.mg,Amygdala_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
Amygdala_O.n,Amygdala,O.n,Amygdala_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
Amygdala_O.p.N,Amygdala,O.p.N,Amygdala_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
Amygdala_O.p.mg,Amygdala,O.p.mg,Amygdala_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
Amygdala_Vol.mm3,Amygdala,Vol.mm3,Amygdala_Vol.mm3,Kverkova_etal_2018_TableS1
Amygdala_Vol.mm3_SD,Amygdala_Vol.mm3,SD,Amygdala_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Amygdala_p.C.Brain,Amygdala,p.C.Brain,Amygdala_p.C.Brain,Kverkova_etal_2018_TableS1
Body_Mass.g,Body,Mass.g,"Body mass, g",Burish_etal_2010_Table1
Body_Mass.g,Body,Mass.g,"Body mass, g",DosSantos_etal_2017_TableS1
Body_Mass.g,Body,Mass.g,"Body mass, g",HerculanoHouzel_etal_2015_Table5
Body_Mass.g,Body,Mass.g,"Body mass, g",HerculanoHouzel_etal_2020_TABLE1
Body_Mass.g,Body,Mass.g,"Body mass, g",Kverkova_etal_2018_TableS1
Body_Mass.g,Body,Mass.g,Body_Mass.g,Burish_etal_2010_Table1
Body_Mass.g,Body,Mass.g,Body_Mass.g,DosSantos_etal_2017_TableS1
Body_Mass.g,Body,Mass.g,Body_Mass.g,HerculanoHouzel_etal_2015_Table5
Body_Mass.g,Body,Mass.g,Body_Mass.g,HerculanoHouzel_etal_2020_TABLE1
