"species","group","Epithalamus","Thalamus","Hypothalamus","Subthalamus","Pallidum","Nucleus_subthalamicus","Capsula_interna","Tractus_opticus","source"
"Tenrec ecaudatus","Insectivore",2.7,62.1,51.4,11.5,11,0.481,13.2,2.73,"Stephan_etal_1981_TableVII"
"Setifer setosus","Insectivore",1.62,41.5,38.3,5.81,5.49,0.316,8.57,1.07,"Stephan_etal_1981_TableVII"
"Hemicentetes semispinosus","Insectivore",1.16,19,17.1,3.31,3.12,0.188,2.81,0.507,"Stephan_etal_1981_TableVII"
"Echinops telfairi","Insectivore",0.977,17.9,16.4,2.68,2.44,0.242,2.23,0.605,"Stephan_etal_1981_TableVII"
"Erinaceus europaeus","Insectivore",3.71,117,79.9,14.2,13.3,0.903,18.8,3.94,"Stephan_etal_1981_TableVII"
"Sorex minutus","Insectivore",0.161,3.92,3.07,0.707,0.65,0.0569,0.288,0.106,"Stephan_etal_1981_TableVII"
"Sorex araneus","Insectivore",0.264,7.25,5.17,1.09,0.979,0.105,0.61,0.144,"Stephan_etal_1981_TableVII"
"Crocidura occidentalis","Insectivore",0.657,14.6,9.77,1.78,1.63,0.142,2.19,0.252,"Stephan_etal_1981_TableVII"
"Crocidura russula","Insectivore",0.368,7.48,4.61,0.87,0.781,0.0889,0.727,0.116,"Stephan_etal_1981_TableVII"
"Suncus murinus","Insectivore",0.53,12.3,9.67,1.7,1.58,0.116,1.18,0.232,"Stephan_etal_1981_TableVII"
