"code","group","Species","n_1_18","Body_weight","Brain_weight","Ventricles","Meninges_hypophysis_nerves_etc.","Total_brain_net_volume","Medulla_oblongata","Cerebellum","Mesencephalon","Diencephalon","Telencephalon","Bulbus_olfactorius","Bulbus_olfactorius_accessorius","Lobus_piriformis","Septum","Striatum","Schizo_cortex","Hippocampus","Neocortex","n_19_26","Epithalamus","Thalamus","Hypothalamus","Subthalamus","Pallidum","Nucleus_subthalamicus","Capsula_interna","Tractus_opticus","n_27_28","Area_striata","Corpus_geniculatum_laterale","n_29_34","Palaeocortex","Amygdala","Complexus_centromedialis","Nucleus_tractus_olfactorius","Complexus_corticobasolateralis","Nucleus_amygdalae_basalis_pars_magnocellularis","n_35_39","Complexus_vestibularis_unilateral","Nucleus_vestibularis_superior_unilateral","Nucleus_vestibularis_lateralis_unilateral","Nucleus_vestibularis_medialis_unilateral","Nucleus_vestibularis_descendens_unilateral","n_40_44","Nucleus_septalis_triangularis","Corpus_subfornicale","Nucleus_habenularis_medialis","Corpus_pineal","Corpus_subcommissurale"
"1","Insectivore","Solenodon paradoxus",2,900,4670,56.4,169,4282,466,753,206,269,2486,465,0.218,689,65.4,255,156,296,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.87,0.083,2.08,1.27,0.0435
"2","Insectivore","Tenrec ecaudatus",3,832,2570,65.3,101,2315,313,309,132,153,1407,314,0.715,464,36.9,98.1,76.5,146,271,2,2.7,62.1,51.4,11.5,11,0.481,13.2,2.73,NA,NA,NA,1,364,88.1,39.9,3.18,48.1,8.9,2,7.59,1.23,1.33,2.68,2.35,1,0.704,0.124,0.988,0.48,0.0112
"3","Insectivore","Setifer setosus",2,248,1510,21.3,32.3,1404,183,142,75.7,99.7,903,209,0.534,336,26,56.6,41.9,99.2,134,1,1.62,41.5,38.3,5.81,5.49,0.316,8.57,1.07,NA,NA,NA,2,269,67.2,30.9,2.71,36.2,7.46,1,3.75,0.689,0.483,1.44,1.14,1,0.329,0.06,0.426,0.445,0.0031
"4","Insectivore","Hemicentetes semispinosus",1,110,830,15.5,29,757,108,117,44.8,48.5,438,93.6,0.196,148,12.8,29.8,17.4,63.7,73.4,1,1.16,19,17.1,3.31,3.12,0.188,2.81,0.507,NA,NA,NA,1,125,22.3,10.4,1.3,11.9,2.39,1,2.5,0.384,0.552,0.852,0.709,1,0.338,0.032,0.425,0.181,0.00382
"5","Insectivore","Echinops telfairi",2,87.5,620,8.34,23.9,566,89.9,57.9,43.8,40.1,335,71.2,0.249,116,11.5,24.1,13.1,46.4,51.5,1,0.977,17.9,16.4,2.68,2.44,0.242,2.23,0.605,NA,NA,NA,1,93.1,22.1,10.8,0.71,11.3,3.19,1,1.69,0.291,0.281,0.615,0.505,1,0.338,0.029,0.365,0.243,0.000212
"6","Insectivore","Oryzorictes talpoides",1,44.2,580,4.83,17.3,538,61,81.3,26.6,36.9,332,46.9,0.12,88,10,32.5,23.5,64.3,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.331,0.018,0.257,0.051,0.000694
"7","Insectivore","Microgale cowani",1,15.2,420,7.12,6.4,392,45.3,49.5,24,25.4,248,35.9,0.162,79,6.08,19.4,13.5,36.4,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.216,0.0116,0.147,0.0152,0.00129
"8","Insectivore","Limnogale mergulus",1,92,1150,12.6,51,1046,204,176,67.4,81,518,42.9,0.323,87.4,19.5,57.9,36.4,78.2,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.602,0.0194,0.469,0.122,0.00202
"9","Insectivore","Nesogale dobsoni",1,32.6,560,5.31,21.9,513,59,57.3,37.9,32.8,326,53.6,0.178,93.5,9.58,23.1,16.3,67,62.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.28,0.0076,0.242,0.0356,0.00095
"10","Insectivore","Nesogale talazaci",1,50.4,790,6.02,16,741,85.3,92.3,47.2,43.8,472,74.3,0.369,139,11.2,31.2,20.7,98.9,96.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.378,0.0191,0.381,0.0894,0.00147
