"species_as_published","region","solver_type","n_group","nonneurons_per_field_mean","nonneurons_per_field_sem","neuron_total_per_field_mean","neuron_total_per_field_sem","von_economo_neurons_per_field_mean","von_economo_neurons_per_field_sem","fork_neurons_per_field_mean","fork_neurons_per_field_sem","pct_von_economo_neurons_mean","pct_von_economo_neurons_sem","pct_all_neurons_mean","pct_all_neurons_sem","sampling_field_um","source"
"Procyon lotor","anterior frontoinsular cortex (layer V)","Nonsolver",5,88.84,8.17,34.11,3.31,2.3,0.62,0.26,0.13,6.88,1.8,27.75,0.84,"200 x 300","Jacob_etal_2021 TABLE 2"
"Procyon lotor","anterior frontoinsular cortex (layer V)","Solver",7,74.25,1.96,30.55,1.27,2.82,0.36,0.18,0.08,9.51,1.62,29.12,0.77,"200 x 300","Jacob_etal_2021 TABLE 2"
