Species,log brain volume (mmˆ3),log # areas
star-nosed mole,3.15,0.6
hedgehog,3.53,0.78
tenrec,2.79,0.78
echidna,4.04,1
opossum,3.89,1
quoll,3.67,1.04
squirrel,3.88,1.15
marmoset,4.6,1.34
cat,4.49,1.38
owl monkey,4.81,1.45
macaque,4.97,1.45
human,6.13,1.7
