,,,Bulbus_olfactoris_Baron87,Retrobulbar_cortex,Prepiriform_cortex,Tuberculum_olfactorium,Tractus_olfactorius_lateralis,Commissura_anterior,Substantia_innominata
Order_Baron1987,Species,Species_Baron1987,BOL,RB,PRPI,TOL,TRL,COA,SIN
MACROSCELIDEA,Elephantulus fuscipes,Elephantulus fuscipes,63.3,10,48.7,17.5,2.9,2.8,2.5
MACROSCELIDEA,Rhynchocyon cirnei,Rhynchocyon cirnei,426,77.4,301.5,87.8,23.4,21.6,17.5
INSECTIVORA,Solenodon paradoxus,Solenodon paradoxus,464.3,71.8,312.7,115.6,19.3,20.9,15
INSECTIVORA,Tenrec ecaudatus,Tenrec ecaudatus,313.7,50.1,225.5,51,15.1,24.1,9.8
INSECTIVORA,Setifer setosus,Setifer setosus,209.1,40.1,148.9,46.5,12.4,11.1,8.2
INSECTIVORA,Hemicentetes semispinosus,Hemicentetes semispinosus,93.6,16,74.7,21.7,4.5,3.4,4.8
INSECTIVORA,Echinops telfairi,Echinops telfairi,71.2,12.3,58.1,15.1,2.9,2.4,3.2
INSECTIVORA,Oryzorictes talpoides,Oryzorictes talpoides,46.9,9.8,37.3,14.2,2.1,1.3,2.7
INSECTIVORA,Microgale cowani,Microgale cowani,35.9,7.7,40.3,12.4,1.8,1.1,0.9
INSECTIVORA,Microgale dobsoni,Microgale dobsoni,53.6,10.2,48,13,2.4,1.4,1.6
INSECTIVORA,Microgale talazaci,Microgale talazaci,74.3,14.5,71.6,18.5,3.9,2.8,1.9
INSECTIVORA,Limnogale mergulus,Limnogale mergulus,42.9,7.9,33.4,13.2,3.1,1.4,1.6
INSECTIVORA,Potamogale velox,Potamogale velox,81.9,18.2,71.7,17.6,5,6.2,9.8
INSECTIVORA,Micropotamogale lamottei,Micropotamogale lamottei,34.1,7.7,27.1,8.7,2.4,0.92,1.4
INSECTIVORA,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,33.9,7.5,33.8,11.7,1.7,1.9,3.2
INSECTIVORA,Chrysochloris asiatica,Chrysochloris asiatica,58.5,14.1,52.3,20.7,3,2.4,2.3
INSECTIVORA,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,60.6,15,60,24.6,3.3,2.6,2.4
INSECTIVORA,Erinaceus algirus,Erinaceus algirus,284.5,52.8,216.4,53.3,12.8,13.6,9
INSECTIVORA,Erinaceus europaeus,Erinaceus europaeus,332,61.6,227.6,56.2,14.7,23.3,13.2
INSECTIVORA,Hemiechinus auritus,Hemiechinus auritus,175.1,21.8,128.8,35.8,6.9,7.8,6.5
INSECTIVORA,Sorex araneus,Sorex araneus,17,3.9,15.8,6,0.67,0.53,0.8
INSECTIVORA,Sorex cinereus,Sorex cinereus,11.6,3.2,12.4,4.8,0.48,0.63,0.53
INSECTIVORA,Sorex fumeus,Sorex fumeus,15,4.4,17,6,0.52,0.74,0.66
INSECTIVORA,Sorex minutus,Sorex minutus,9,1.8,7.6,4,3.6,0.38,0.61
INSECTIVORA,Microsoex hoyi,Microsoex hoyi,6.8,2,6.1,3,0.31,0.26,0.49
INSECTIVORA,Neomys fodiens,Neomys fodiens,16.2,4.3,12.4,6,0.71,0.84,1.7
INSECTIVORA,Blarina brevicauda,Blarina brevicauda,28.8,6.9,23.4,9.6,1.4,1.5,1.5
INSECTIVORA,Crocidura flavescens,Crocidura flavescens,36.2,8.4,28.4,7.4,1.7,2,1.7
INSECTIVORA,Crocidura hildegardea,Crocidura hildegardea,19.4,4.5,17.9,6.1,0.71,0.66,0.62
INSECTIVORA,Crocidura jacksoni,Crocidura jacksoni,19.3,4.5,18.6,5.3,1,0.95,0.55
INSECTIVORA,Crocidura russula,Crocidura russula,15.5,3.5,13,4.4,0.64,0.57,0.71
INSECTIVORA,Suncus etruscus,Suncus etruscus,4.7,1.2,4,1.4,0.2,0.14,0.15
INSECTIVORA,Suncus murinus,Suncus murinus,36,7.2,28.6,6.6,1.3,0.98,1.6
INSECTIVORA,Sylvisorex granti,Sylvisorex granti,15.4,3.3,14.1,4.4,0.56,0.57,0.49
INSECTIVORA,Sylvisorex negalura,Sylvisorex negalura,16.6,3.2,15.3,4.8,0.55,0.55,0.5
INSECTIVORA,Ruwensorisorex suncoides,Ruwensorisorex suncoides,17.5,4.1,17.8,5.1,0.71,0.63,0.63
INSECTIVORA,Myosorex babaulti,Myosorex babaulti,34.5,7.3,30,11,1.4,1.4,1.2
INSECTIVORA,Scuisorex somereni,Scuisorex somereni,58.3,13,48.9,13.8,3.5,2.2,1.9
INSECTIVORA,Desmana moschata,Desmana moschata,141.4,34.3,135.8,40,6.7,4.4,8.4
INSECTIVORA,Galemys pyrenaicus,Galemys pyrenaicus,39,8,36.5,18.8,1.8,0.93,4.1
INSECTIVORA,Talpa europaea,Talpa europaea,59.6,11.7,45.4,19.1,2.5,4,2.9
SCADENTIA,Tupaia glis,Tupaia glis,131.6,29,104.7,28.3,7.2,7.1,5.3
