code,Stephan_Order,Species,Stephan81_Species,Eye HSE mm (1),Eye Origin of data (2),Eye n (3), Nervus opticus NOA mm2 (4),Nervus opticus origin of data (5), Nervus opticus n (6),Chiasma opticum CH II mm2 (7),Chiasma opticum n (8),Tractus opticus TRO mm3 (9),Corpus gen lat CGL mm3 (10),Corpus gen lat n (11),CGL data deviate from  STEPHAN et al. (1981)+
3312,Simians,Saguinus oed. geoffroyi,Saguinus oed. geoffroyi,484,7,2*,_,_,_,_,_,_,_,_,
3324,Simians,Cebus sp.,Cebus spp.,1197,"13, S",3*,10.9,"13, S",9*,8.34,1,207,137,2,
3325,Simians,Aotus trivirgatus,Aotus trivirgatus,1193,"7,13, S",8*,3.53,S,10,3.58,1,_,32.9,2,32.9+
3327,Simians,Callicebus moloch,Callicebus moloch,_,_,_,_,_,_,_,_,_,54.2,1,54.2+
3333,Simians,Saimiri oerstedi,Saimiri oerstedi,586,7,1*,_,_,_,_,_,_,_,_,
3335,Simians,Saimiri sciureus,Saimiri sciureus,698,"13, S",11,6.31,"13, S",11,6.11,2,117,62.9,1,
3341,Simians,Pithecia monachus,Pithecia monachus,_,_,_,_,_,_,_,_,_,76.3,1,76.3+
3366,Simians,Alouatta sp.,Alouatta spp.,962,"7, S",4*,7.65,S,6,6.21,3,_,87.4,1,87.4+
3371,Simians,Ateles geoffroyi,Ateles geoffroyi,1143,7,1*,9.6,S,2,8.63,2,204,151,1,
3379,Simians,Lagothrix lagothricha,Lagothrix lagothricha,1186,S,6,8.87,S,9,9.21,1,203,164,1,164+
3387,Simians,Macaca fascicularis,Macaca fascicularis,985,"7, 13",22*,8.36,S,1,9.8,3,_,_,_,
3391,Simians,Macaca mulatta,Macaca mulatta,1283,"7,10,13,S",12*,9.47,"13, S",8*,7.36,2,_,158,1,
3393,Simians,Macaca nemestrina,Macaca nemestrina,1293,7,4*,_,_,_,_,_,308,_,_,
3407,Simians,Cercocebus albigena,Cercocebus albigena,-1187,_,_,13.4,S,2,11.9,1,_,182,1,
3414,Simians,Cercocebus sp.,Cercocebus spp.,1187,13,10*,18.4,13,10*,_,_,_,_,_,
3415,Simians,Papio anubis,Papio anubis,1527,13,6*,27,"13, S",10*,14.7,1,601,395,1,
3421,Simians,Papio papio,Papio papio,1265,13,3*,26.4,13,2*,_,_,_,_,_,
3427,Simians,Mandrillus sphinx,Mandrillus sphinx,1660,7,1*,_,_,_,_,_,_,_,_,
3431,Simians,Cercopithecus aethiops,Cercopithecus aethiops,1143,"7,13",4*,14.1,13,3*,_,_,_,_,_,
3433,Simians,Cercopithecus ascanius,Cercopithecus ascanius,-1007,_,_,13.9,S,2,12,2,320,147,1,
3453,Simians,Cercopithecus mitis,Cercopithecus mitis,1217,13,3*,13,"13, S",3*,10.2,1,_,150,1,
3459,Simians,Cercopithecus nictitans,Cercopithecus nictitans,1007,13,9*,12.3,13,9*,_,_,_,_,_,
3468,Simians,Cercopithecus spec.,Cercopithecus spec.,1196,7,1*,_,_,_,_,_,_,_,_,
3469,Simians,Miopithecus talapoin,Miopithecus talapoin,840,S,4,6.29,S,7,5.71,1,_,109,1,109+
3473,Simians,Erythrocebus patas,Erythrocebus patas,1605,"13, S",5*,13.7,"13, S",8*,14.7,1,_,_,_,
3477,Simians,Colobus badius,Colobus badius,_,_,_,10.1,S,4,11.4,1,261,128,2,
3499,Simians,Nasalis larvatus,Nasalis larvatus,1120,7,23*,12.1,S,2,10.6,1,304,_,_,
