,,,,,Species_note,In these species both sexes are present,n,volume in mm3,Figures slightly different from those given by STEPHAN et al. (1981 a) because of re-examination and/or additional data.
Order_Baron1983,Clade_Baron1983,code number_Baron1983,Species,Species_Baron1983,,,Number_of_individuals_Bulbus_olfactorius,Bulbus_olfactorius_Baron83,
Primates,Simians,3366,Alouatta seniculus,Alouatta spp.,,,2,41.4,
Primates,Simians,3325,Aotus trivirgatus,Aotus trivirgatus,,,3,61,+
Primates,Simians,3371,Ateles geoffroyi,Ateles geoffroyi,,,1,90.4,
Primates,Prosimians,3244,Avahi laniger occidentalis,Avahi I. occidentalis,,*,2*,70.1,
Primates,Prosimians,3243,Avahi laniger laniger,Avahi laniger laniger,,,2,89.2,
Primates,Simians,3327,Callicebus moloch,Callicebus moloch,,*,2*,19.2,
Primates,Simians,3315,Callimico goeldii,Callimico goeldii,,,1,27,
Primates,Simians,3287,Callithrix jacchus,Callithrix jacchus,,,3,22.6,+
Primates,Simians,3289,Cebuella pygmaea,Cebuella pygmaea,,,2,12.3,
Primates,Simians,3324,Cebus albifrons,Cebus spp.,,*,2*,39.9,
Primates,Simians,3433,Cercopithecus ascanius,Cercopithecus ascanius,,,1,99.5,
Primates,Simians,3453,Cercopithecus mitis,Cercopithecus mitis,,,1,117,
Primates,Simians,3407,Cercocebus albigena,Cercocebus albigena,,,1,121,
Primates,Prosimians,3203,Cheirogaleus major,Cheirogaleus major,,,2,158,
Primates,Prosimians,3205,Cheirogaleus medius,Cheirogaleus medius,,,2,102,
,Progressive Insectivora,643,Chrysochloris asiatica,Chrysochloris asiatica,,,1,58.5,
,Progressive Insectivora,645,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,5,*,2*,60.6,
Primates,Simians,3477,Procolobus badius,Colobus badius,,,2,51.3,
,Basal Insectivora,943,Crocidura flavescens,Crocidura flavescens,2,,2,37.6,
,Basal Insectivora,1071,Crocidura russula,Crocidura russula,,*,2*,16.3,
Primates,Prosimians,3251,Daubentonia madagascariensis,Daubentonia madagascar.,,,1,685,
,Progressive Insectivora,1205,Desmana moschata,Desmana moschata,,,1,141,
,Basal Insectivora,585,Echinops telfairi,Echinops telfairi,,*,2*,71.2,
,Macroscelidea,7993,Elephantulus fuscipes,Elephantulus fuscipes,,,2,63.3,
,Basal Insectivora,689,Erinaceus algirus,Erinaceus algirus,1,,3,285,
,Basal Insectivora,695,Erinaceus europaeus,Erinaceus europaeus,,*,5*,332,
Primates,Simians,3473,Erythrocebus patas,Erythrocebus patas,,,2,51.8,
Primates,Prosimians,3265,Galago senegalensis,Galago senegalensis,,,1,79.2,
Primates,Prosimians,3275,Galagoides demidoff,Galagoides demidoff,9,*,2*,83.1,
,Progressive Insectivora,1207,Galemys pyrenaicus,Galemys pyrenaicus,,,2,39,
Primates,Simians,3551,Gorilla gorilla,Gorilla gorilla,,,1,316,
,Basal Insectivora,581,Hemicentetes semispinosus,Hemicentetes semispin.,,,1,93.6,
,Basal Insectivora,701,Hemiechinus auritus,Hemiechinus auritus,,,3,175,
Primates,Simians,3553,Homo sapiens,Homo sapiens,,,1,114,
Primates,Simians,3539,Hylobates lar,Hylobates lar,,,1,43.9,
Primates,Prosimians,3249,Indri indri,Indri indri,,*,2*,168,
Primates,Simians,3379,Lagothrix lagothricha,Lagothrix lagothricha,,,3,73.4,
Primates,Prosimians,3215,Eulemur albifrons,Lemur albifrons,6,,3,207,
Primates,Prosimians,3239,Lepilemur ruficaudatus,Lepilemur ruficaudatus,,,3,113,
,Progressive Insectivora,633,Limnogale mergulus,Limnogale mergulus,,,1,42.9,
Primates,Prosimians,3253,Loris tardigradus,Loris tardigradus,,,1,85.8,
Primates,Simians,3391,Macaca mulatta,Macaca mulatta,,,1,84.3,
Primates,Prosimians,3199,Microcebus murinus,Microcebus murinus,,*,6*,43,
,Progressive Insectivora,595,Microgale cowani,Microgale cowani,,,1,35.9,
,Progressive Insectivora,601,Microgale dobsoni,Microgale dobsoni,3,,1,53.6,
,Progressive Insectivora,629,Microgale talazaci,Microgale talazaci,4,,1,74.3,
,Progressive Insectivora,639,Micropotamogale lamottei,Micropotamogale lamottei,,,3,34.1, +
Primates,Simians,3469,Miopithecus talapoin,Miopithecus talapoin,11,*,2*,27.8,
Primates,Simians,3499,Nasalis larvatus,Nasalis larvatus,,,1,30.3,
,Progressive Insectivora,839,Neomys fodiens,Neomys fodiens,,,2,15.8,
Primates,Prosimians,3255,Nycticebus coucang,Nycticebus coucang,,,2,159,
Primates,Prosimians,3267,Otolemur crassicaudatus,Otolemur crassicaudatus,8,,2,166,
,Progressive Insectivora,589,Oryzorictes talpoides,Oryzoricles talpoides,,,1,46.9,
Primates,Simians,3549,Pan troglodytes,Pan troglodytes,,,1,257,
Primates,Simians,3415,Papio anubis,Papio anubis,,*,2*,287,
Primates,Prosimians,3259,Perodicticus potto,Perodicticus potto,,,2,310,
Primates,Simians,3341,Pithecia monachus,Pithecia monachus,,,2,34.8,
,Progressive Insectivora,637,Potamogale velox,Potamogale velox,,,2,86,
Primates,Prosimians,3247,Propithecus verreauxi,Propithecus verreauxi,,*,2*,147,
Primates,Simians,3493,Pygathrix nemaeus,Pygathrix nemaeus,,,1,10.7,
,Macroscelidea,8011,Rhynchocyon cirnei,Rhynchocyon cirnei,12,,2,426,
Primates,Simians,3306,Saguinus midas,Saguinus midas,10,*,2*,17.3,
Primates,Simians,3311,Saguinus oedipus,Saguinus oedipus,,*,3*,19.1,
Primates,Simians,3335,Saimiri sciureus,Saimiri sciureus,,,1,26.8,
,Basal Insectivora,579,Setifer setosus,Setifer setosus,,,2,209,
,Progressive Insectivora,575,Solenodon paradoxus,Solenodon paradoxus,,*,2*,464, +
,Basal Insectivora,715,Sorex araneus,Sorex araneus,,*,5*,15.7,
,Basal Insectivora,769,Sorex minutus,Sorex minutus,,,1,8.65,
,Basal Insectivora,1137,Suncus murinus,Suncus murinus,,,1,34.2,
,Progressive Insectivora,1215,Talpa europaea,Talpa europaea,,*,2*,59.6,
Primates,Prosimians,3282,Tarsius sp.,Tarsius spp.,,,2,18.8,
,Basal Insectivora,577,Tenrec ecaudatus,Tenrec ecaudatus,,,3,314,
Scandentia,,1263,Tupaia glis,Tupaia glis,,*,20*,131,
