0,Order_Stephan1987,Species,Species_Stephan1987,Amygdala_87,Complexus_corticobasolateralis_87,Nucleus_amygdalae_basalis_pars_magnocellularis_87,Complexus_centromedialis_87,Nucleus_tractus_olfactorius_87
73,SIMIANS,Pithecia monachus,Pithecia monachus,365.3,273.7,31.7,91.6,0
14,INSECTIVORA,Potamogale velox,Potamogale velox,62.3,33.6,5.3,28.7,0.46
84,SIMIANS,Procolobus badius,Colobus badius,500.9,377.3,47.7,123.6,0
54,PROSIMIANS,Propithecus verreauxi,Propithecus verreauxi,302.2,206.4,22.5,95.8,1.1
85,SIMIANS,Pygathrix nemaeus,Pygathrix nemaeus,489.2,337.5,51.2,151.6,0
3,MACROSCELIDEA,Rhynchocyon cirnei,Rhynchocyon cirnei,176,93.2,5.4,82.9,6.1
37,INSECTIVORA,Ruwenzorisorex suncoides,Ruwenzorisorex suncoides,10.2,5.5,0.69,4.7,0.18
66,SIMIANS,Saguinus midas,Saguinus midas tamarin,144.9,106.1,8.8,38.8,0
67,SIMIANS,Saguinus oedipus,Saguinus oedipus,141.8,110.2,11.4,31.6,0.12
72,SIMIANS,Saimiri sciureus,Saimiri sciureus,242.4,188.3,15.5,54.1,0
39,INSECTIVORA,Scutisorex somereni,Scutisorex somereni,17.8,9.8,1.7,8,0.79
6,INSECTIVORA,Setifer setosus,Setifer setosus,68.7,36.6,8.1,34.5,2.9
4,INSECTIVORA,Solenodon paradoxus,Solenodon paradoxus,133.8,83.1,14.1,50.7,2.5
22,INSECTIVORA,Sorex araneus,Sorex araneus,7.7,3.9,0.76,3.7,0.27
23,INSECTIVORA,Sorex cinereus,Sorex cinereus,4.9,2.5,0.54,2.4,0.24
24,INSECTIVORA,Sorex fumeus,Sorex fumeus,7.4,3.8,0.64,3.7,0.33
25,INSECTIVORA,Sorex minutus,Sorex minutus,3.7,1.7,0.61,1.9,0.19
33,INSECTIVORA,Suncus etruscus,Suncus etruscus,1.7,0.81,0.12,0.91,0.08
34,INSECTIVORA,Suncus murinus,Suncus murinus,10.9,5.6,0.78,5.3,0.43
35,INSECTIVORA,Sylvisorex granti,Sylvisorex granti,5.1,2.6,0.54,2.4,0.32
36,INSECTIVORA,Suncus megalura,Sylvisorex megalura,5.5,2.6,0.45,2.9,0.26
42,INSECTIVORA,Talpa europaea,Talpa europaea,26.3,15,3.5,11.3,0.56
63,PROSIMIANS,Tarsius sp.,Tarsius spp.,53.4,39.7,3.3,13.7,0.09
5,INSECTIVORA,Tenrec ecaudatus,Tenrec ecaudatus,88.2,49.1,9.1,39.1,3.1
43,SCANDENTIA,Tupaia glis,Tupaia glis,87.3,59.3,4.6,28,2.2
44,SCANDENTIA,Tupaia minor,Tupaia minor,66.6,43,3.3,23.6,0.88
45,SCANDENTIA,Urogale everetti,Urogale everetti,105.2,69,10.6,36.2,2.2
50,PROSIMIANS,Varecia variegata,Varecia variegata,368.2,253.5,22.9,114.7,2.6
